f9dcfae4cd7a66ef72a3a592106e246a67d902a6be302b1aad6182d125b8f3d5,fcfceb798bc9851d5b8d9154287812b6bec0d2d406316b1803195f6472353d4a,3f7a12cc88bf8259049b429e0f8959e721399d157257fef0c81cee13ac7cbf3c,9b0cc9d9415c0693056abe3ac11e5f5427c7745c7041ffbd3db289253b8a2604,4b87ab1183e5b172709003e28589863c4589280981e71795c9302ee335adadd5,4764ba56e33e636dd902dc12e008d1b87ebad2dad10e89379cf475bc10e67c77
"10036","5035004","5035005","0","0","0"
"10059","5058004","5058005","0","0","0"
"10063","0","0","10062","10062115","1006201"
"10085","0","0","10084","10084115","1008401"
"10087","0","0","10086","10086115","1008601"
"10111","0","0","10110","10110115","1011001"
"10113","0","0","10112","10112115","1011201"
"10137","0","0","10136","10136110","1013601"
"10139","0","0","10138","10138115","1013801"
"20034","0","0","20033","20033115","2003301"
"20047","0","0","20046","20046115","2004601"
