aa52be76696febc258205fe59e636030f6e309e5573dad7cfa7fb8b280ea42a3,d5b13aacf1389a2036476dc465ce7febcfa68eb0d1a47c2d66df5537026930fd,720713ef2499a37cca6aa1a0bba2ec5d17d380b77126b1c458a0ec7340e23147,0b58253997f7939777b11440b8f8fbdae9e61783d6202b2ea1a7e79e1b1a135d,13518b88719a3c49f4ea839c47b6d8a714d9825273fc8932ccc3799aa853823d
"1","0","0","0","0"
"2","0","0","0","0"
"3","0","0","0","0"
"4","0","2","0","0"
"5","0","2","0","0"
"6","0","2","0","0"
"7","0","3","0","0"
"8","0","3","0","0"
"9","0","3","0","0"
"10","0","4","0","0"
"11","0","4","0","0"
"12","0","4","0","0"
"13","0","0","0","0"
"14","0","0","0","0"
"15","0","0","0","0"
"16","0","0","2","0"
"17","0","0","2","0"
"18","0","0","2","0"
"19","0","0","3","0"
"20","0","0","3","0"
"21","0","0","3","0"
"22","0","3","0","0"
"23","0","3","0","0"
"24","0","2","0","0"
"25","0","2","0","0"
"26","0","0","2","0"
"27","0","0","2","0"
"28","0","2","0","3"
"29","0","2","0","3"
"30","0","3","2","0"
"31","0","3","2","0"
"32","0","3","3","0"
"33","0","0","3","0"
"34","0","3","0","4"
"35","0","0","0","0"
"36","0","2","2","0"
"37","0","2","2","0"
"38","0","4","3","0"
