511108697187ad011254e51d636c9abe49ac294bd73515609ac65b33d760b196,d643cb7690b7b521c4d3117ed52b92fef8ed58516e64f7143ef52f26a05781c6,a9d6708fd3b6467bf39bf3945f30af78f8ce7d3b1f4a14679a300c364095f756,2e1f830fb67a96542171f62cd542a488d70d7bcf6bfd25ab47cd34d3ea1f99f4,7f3e738bbd155ec8385b9c924512a8dc3f4ddfd402bf89b7546730af24986f4e,0aeb13e89bb360aeeab91cb5acbe0b8dde42af6ff069ef8de59fbfc0cdb0ac4e,1c798a872b89dd10d13abb1c534a8b7312a0a3c181cab35a7de079dc4a1bb05c,09f8c49331bd7d7252737b5d0817eb43c420fbf3ef0188c791c6050255095eae,ff6c6180ab515754bd38df2c27676833d00e5e935b86d0f45c3c1fe01edccce4,ef4bbe0198d27062ce11edfe320bfca354577a73ac45835d0ec214ca39c741e0,5bb39f00447b92d7471d2315f8de7bb556f4e182f99457a4b0a16d4c2392f9ab
"1010010001","","","se_travel","1001","","","0","23","","se_travel_finish_assemble"
"1010010002","0","-275","1","1001","-160","travel_exdrama_r_100_run","1","1","1.46","1000001"
"1010010003","0","-575","1","1001","-200","travel_exdrama_r_100_run","2","1","1.46","1000002"
"1010010004","0","-750","1","1001","-250","travel_exdrama_r_100_run","3","1","1.46","1000003"
"1010010005","1","575","1","1001","-175","travel_exdrama_r_100_run","4","1","1.46","1000004"
"1010010006","1","750","1","1001","-250","travel_exdrama_r_100_run","5","1","1.46","1000005"
"1010010007","","1","1000001","1001","0","","-160","2","","-100"
"1010010008","","1","1000002","1001","0","","-200","2","","-275"
"1010010009","","1","1000003","1001","0","","-250","2","","-450"
"1010010010","","1","1000004","1001","0","","-175","2","","275"
"1010010011","","1","1000005","1001","0","","-250","2","","450"
"1010010012","","0","1","1001","0","","0","93","","0"
"1010010013","0","","1000001","1001","0","","0","3","0.2","travel_exdrama_r_100_raiseup"
"1010010014","0","","1000002","1001","0","","1","3","0","travel_exdrama_r_100_idle"
"1010010015","0","","1000003","1001","0","","1","3","0","travel_exdrama_r_100_idle"
"1010010016","0","","1000004","1001","0","","1","3","0","travel_exdrama_r_100_idle"
"1010010017","0","","1000005","1001","0","","1","3","0","travel_exdrama_r_100_idle"
"1010010018","0","-100","1","1001","-160","travel_exdrama_r_100_raiseup","11","5","1.46","1"
"1010010019","","","1","1001","","","","93","","0"
"1010010020","","","1000001","1001","0","","","6","0.12",""
"1010010021","","","1000002","1001","0","","","6","0.12",""
"1010010022","","","1000003","1001","0","","","6","0.12",""
"1010010023","","","1000004","1001","0","","","6","0.12",""
"1010010024","","","1000005","1001","0","","","6","0.12",""
"1010010025","","","1","1001","0","","","6","0.12",""
"1010010026","","","0.12","1001","","","","93","","0"
"1010010027","","","0","1001","","","","91","",""
"1010020001","","","se_travel","1002","","","0","23","","se_travel_finish_assemble"
"1010020002","0","-275","1","1002","-160","travel_exdrama_r_100_run","1","1","1.46","1000001"
