ac4f49b3f5f0fe8d81bc7f63a8b3331c3a51a00480aedb1a4c2596842fb2383c,cf9512f3431d8ad5fce0da434cc819d2a92eb6b4374bcaf42c779b430b44eb30,0cdc7740deab3776eceadd60043bb59db6ff5ebf3fb6a9d51d5544fba8aaf732,c511c1b62f40a9e498f41094aa9d2d6c332b36a176c2c26900f929e09e2bfc9f,797c1a6b2ad567267567e47c4b7924657b1ed12932da6731e190227d2507171f,794fbe9015e5b6b15625fdf8f25d6dd7d58118bd4263d6903cc3511342042f16,966191ec027c0a1a2fcd98396bd447494de2c317de7f17b1d0b3267cb149145f,4672251640c9b2356dcabb030c489eb66a5d1f131dd739a18b5f2c9fa468fe78
"20000","1","96001","1","1","21952","2","1"
"10000","1","96001","1","2","21904","2","1"
"10000","1","96001","1","3","41000","2","1"
"2000","5","96001","5","4","31803","2","1"
"1500","5","96001","5","5","31215","2","1"
"1500","5","96001","5","6","31210","2","1"
"1500","5","96001","5","7","31211","2","1"
"1250","10","96001","5","8","90005","2","1"
"500","20","96001","10","9","140001","4","1"
"500","10","96001","5","10","25001","2","1"
"100","5","96001","5","11","150003","4","1"
"130","5","96001","5","12","150004","4","1"
"150","5","96001","5","13","150005","4","1"
"180","5","96001","5","14","150006","4","1"
"200","5","96001","5","15","150007","4","1"
"230","5","96001","5","16","150008","4","1"
"500","5","96001","100","17","20004","2","1"
"200","5","96001","100","18","22003","2","1"
"1000","0","96001","100","19","20004","2","1"
"400","0","96001","100","20","22003","2","1"
"20000","1","96002","1","21","21952","2","2"
"10000","1","96002","1","22","21904","2","2"
"10000","1","96002","1","23","41000","2","2"
"1500","5","96002","5","24","31233","2","2"
"1500","5","96002","5","25","31229","2","2"
"1500","5","96002","5","26","31225","2","2"
"1250","10","96002","5","27","90005","2","2"
"500","20","96002","10","28","140001","4","2"
"500","10","96002","5","29","25001","2","2"
"100","5","96002","5","30","150003","4","2"
"130","5","96002","5","31","150004","4","2"
"150","5","96002","5","32","150005","4","2"
"180","5","96002","5","33","150006","4","2"
"200","5","96002","5","34","150007","4","2"
"230","5","96002","5","35","150008","4","2"
"500","5","96002","100","36","20004","2","2"
"200","5","96002","100","37","22003","2","2"
"1000","0","96002","100","38","20004","2","2"
"400","0","96002","100","39","22003","2","2"
"20000","1","96003","1","40","21952","2","3"
"10000","1","96003","1","41","21905","2","3"
"10000","1","96003","1","42","41000","2","3"
"2000","5","96003","5","43","31805","2","3"
"1500","5","96003","5","44","31240","2","3"
"1500","5","96003","5","45","31238","2","3"
"1500","5","96003","5","46","31236","2","3"
"2500","5","96003","10","47","90005","2","3"
"2500","5","96003","50","48","140001","4","3"
"500","5","96003","5","49","25001","2","3"
"500","5","96003","30","50","150003","4","3"
"650","5","96003","30","51","150004","4","3"
"750","5","96003","30","52","150005","4","3"
"900","5","96003","30","53","150006","4","3"
"1000","5","96003","30","54","150007","4","3"
"1150","5","96003","30","55","150008","4","3"
"2500","5","96003","500","56","20004","2","3"
"1000","5","96003","500","57","22003","2","3"
"1000","0","96003","100","58","20004","2","3"
"400","0","96003","100","59","22003","2","3"
"20000","1","96004","1","60","21952","2","4"
"10000","1","96004","1","61","21905","2","4"
"10000","2","96004","1","62","41000","2","4"
"2000","5","96004","5","63","31807","2","4"
"1500","5","96004","5","64","31245","2","4"
"1500","5","96004","5","65","31248","2","4"
"1500","5","96004","5","66","31250","2","4"
"1500","5","96004","5","67","31091","2","4"
"2500","5","96004","10","68","90005","2","4"
"2500","10","96004","50","69","140001","4","4"
"1000","10","96004","10","70","25001","2","4"
"500","5","96004","30","71","150003","4","4"
"650","5","96004","30","72","150004","4","4"
"750","5","96004","30","73","150005","4","4"
"900","5","96004","30","74","150006","4","4"
"1000","5","96004","30","75","150007","4","4"
"1150","5","96004","30","76","150008","4","4"
"1300","5","96004","30","77","150009","4","4"
"2500","5","96004","500","78","20004","2","4"
"1000","5","96004","500","79","22003","2","4"
"1000","0","96004","100","80","20004","2","4"
"400","0","96004","100","81","22003","2","4"
"20000","1","96005","1","82","25101","2","5"
"20000","1","96005","1","83","21952","2","5"
"10000","1","96005","1","84","21905","2","5"
"10000","2","96005","1","85","41000","2","5"
"1500","5","96005","5","86","31200","2","5"
"1500","5","96005","5","87","31253","2","5"
"1500","5","96005","5","88","31255","2","5"
"1500","5","96005","5","89","31256","2","5"
"2500","5","96005","10","90","90005","2","5"
"2500","10","96005","50","91","140001","4","5"
"1000","10","96005","10","92","25001","2","5"
"500","5","96005","30","93","150003","4","5"
"650","5","96005","30","94","150004","4","5"
"750","5","96005","30","95","150005","4","5"
"900","5","96005","30","96","150006","4","5"
"1000","5","96005","30","97","150007","4","5"
"1150","5","96005","30","98","150008","4","5"
"1300","5","96005","30","99","150009","4","5"
"2500","5","96005","500","100","20004","2","5"
"1000","5","96005","500","101","22003","2","5"
"1000","0","96005","100","102","20004","2","5"
"400","0","96005","100","103","22003","2","5"
"20000","1","96006","1","104","25101","2","6"
"20000","1","96006","1","105","21952","2","6"
"10000","1","96006","1","106","21905","2","6"
"10000","2","96006","1","107","41000","2","6"
"1500","5","96006","5","108","31262","2","6"
"1500","5","96006","5","109","31266","2","6"
"1500","5","96006","5","110","31269","2","6"
"1500","5","96006","5","111","31271","2","6"
"2500","5","96006","10","112","90005","2","6"
"2500","10","96006","50","113","140001","4","6"
"1000","10","96006","10","114","25001","2","6"
"500","5","96006","30","115","150003","4","6"
