f7c807a5a0180a1bced9424558ba55c114db2f1eb2028f186276718055a03547,d728d63660d0fe63d1b8b8967d305f7a5d4511ad757db911bcc9c839998b308f,dd63649d397c7ab710dd0dc46d657e8922b6e732e585f398641214a96f4bd78d,62036ac1e0ac1b53d81adc3942c1f9444403cdf20abf35c86dc872e93d808bbc,140f9c2166e634b679d458002e38042655dd29b14950af5c381b430cc02d32f9,89e2c16941dd91758da3c51decf65d7f9b2615f02b774b12c560f1f76c9018a7,7ddb9fbf01fc634482fd473adade76242d1f874b6418805b219957ce8c7efd05,f0560196a60f9b8888e15f5510eb3b01efe0a83d50faed48fb36328caedc67e8,a45aac1ed547972d8f88a0c43602faea0eebeca6cf60380cbbdf9e2179c29b39,84261072d8618fa3790f9e8074cd5e0d327a497bb94621265dc941c8386b2f3f
"90001","12000","10","1","1","0","10000","30000","0","90043"
"90002","24000","20","2","2","0","10000","30000","0","90047"
"90002","24000","20","3","3","0","10000","30000","0","90047"
"90002","24000","20","4","4","0","10000","30000","0","90047"
"90002","24000","20","5","5","0","10000","30000","0","90047"
"90002","24000","20","6","6","0","10000","30000","0","90047"
"90002","24000","20","7","7","0","10000","30000","0","90047"
"90002","24000","20","8","8","0","10000","30000","0","90047"
"90002","24000","20","9","9","0","10000","30000","0","90047"
"90002","24000","20","10","10","1","10000","30000","0","90047"
"90003","48000","40","11","11","2","10000","30000","90011","90051"
"90003","48000","40","12","12","3","10000","30000","90011","90051"
"90003","48000","40","13","13","4","10000","30000","90011","90051"
"90003","48000","40","14","14","5","10000","30000","90011","90051"
"90003","48000","40","15","15","6","10000","30000","90011","90051"
"90003","48000","40","16","16","7","10000","30000","90011","90051"
"90003","48000","40","17","17","8","10000","30000","90011","90051"
"90003","48000","40","18","18","9","10000","30000","90011","90051"
"90003","48000","40","19","19","10","10000","30000","90011","90051"
"90003","48000","40","20","20","11","10000","30000","90011","90051"
"90004","72000","60","21","21","12","10000","30000","90015","90055"
"90004","72000","60","22","22","13","10000","30000","90015","90055"
"90004","72000","60","23","23","14","10000","30000","90015","90055"
"90004","72000","60","24","24","15","10000","30000","90015","90055"
"90004","72000","60","25","25","16","10000","30000","90015","90055"
"90004","72000","60","26","26","17","10000","30000","90015","90055"
"90004","72000","60","27","27","18","10000","30000","90015","90055"
"90004","72000","60","28","28","19","10000","30000","90015","90055"
"90004","72000","60","29","29","20","10000","30000","90015","90055"
"90004","72000","60","30","30","21","10000","30000","90015","90055"
"90005","96000","80","31","31","22","10000","30000","90015","90059"
"90005","96000","80","32","32","23","10000","30000","90015","90059"
"90005","96000","80","33","33","24","10000","30000","90015","90059"
"90005","96000","80","34","34","25","10000","30000","90015","90059"
"90005","96000","80","35","35","26","10000","30000","90015","90059"
"90005","96000","80","36","36","27","10000","30000","90015","90059"
"90005","96000","80","37","37","28","10000","30000","90015","90059"
"90005","96000","80","38","38","29","10000","30000","90015","90059"
"90005","96000","80","39","39","30","10000","30000","90015","90059"
"90005","96000","80","40","40","31","10000","30000","90015","90059"
"90005","144000","120","41","41","33","10000","30000","90017","90063"
"90005","144000","120","42","42","35","10000","30000","90017","90063"
"90005","144000","120","43","43","37","10000","30000","90017","90063"
"90005","144000","120","44","44","39","10000","30000","90017","90063"
"90005","144000","120","45","45","41","10000","30000","90017","90063"
"90005","144000","120","46","46","43","10000","30000","90017","90063"
"90005","144000","120","47","47","45","10000","30000","90017","90063"
"90005","144000","120","48","48","47","10000","30000","90017","90063"
"90005","144000","120","49","49","49","10000","30000","90017","90063"
"90005","144000","120","50","50","51","10000","30000","90017","90063"
"90006","180000","150","51","51","53","10000","30000","90019","90067"
"90006","180000","150","52","52","55","10000","30000","90019","90067"
"90006","180000","150","53","53","57","10000","30000","90019","90067"
"90006","180000","150","54","54","59","10000","30000","90019","90067"
"90006","180000","150","55","55","61","10000","30000","90019","90067"
"90006","180000","150","56","56","63","10000","30000","90019","90067"
"90006","180000","150","57","57","65","10000","30000","90019","90067"
"90006","180000","150","58","58","67","10000","30000","90019","90067"
"90006","180000","150","59","59","69","10000","30000","90019","90067"
"90006","180000","150","60","60","71","10000","30000","90019","90067"
"90007","216000","180","61","61","74","10000","30000","90021","90071"
"90007","216000","180","62","62","77","10000","30000","90021","90071"
"90007","216000","180","63","63","80","10000","30000","90021","90071"
"90007","216000","180","64","64","83","10000","30000","90021","90071"
"90007","216000","180","65","65","86","10000","30000","90021","90071"
"90007","216000","180","66","66","89","10000","30000","90021","90071"
"90007","216000","180","67","67","92","10000","30000","90021","90071"
"90007","216000","180","68","68","95","10000","30000","90021","90071"
"90007","216000","180","69","69","98","10000","30000","90021","90071"
"90007","216000","180","70","70","101","10000","30000","90021","90071"
