45b3c3d8b7bc733591a8feced3247d1cef7c5581582622314725c55ecff096a5,1068c8bee6aa6ab1748989ff098280a5e6d4ead49fec5ee017a88ebd1c463cc6,932d5ba0c34fc18419e1d3c64be2467a3065a6069ba1357dbcd6d63b0ec606c8,38cb956271971a50bdd823051cec79f01406128a1d8f9b3dd7aa8ca78680f65b,6575571ea9fd4e4fe629f4e95343ca58e0a724bd0cede096830f7250cefc0249,a1d64eb40b631d33e741b5152c519352e098458ae69d31cf061cc71b63c123be,1b2da940aa690c28b1275f080ade0a3896c19a0599ceeb1e7690180ebd268af3,334d85fff2c75be2b880ddfd672f1cd2f936c93b9424def43f57ce7bce45e588,1c2149c703942a239dcd3cc89862b7f99fc1df6f3f3c8c2e8441a0e8f7a1bad0,a90ed994914b66e1762789622dbea49a26a2896b58120da45ae9a79d4593dce6,9c4b72ad0ad46b6d6378b0c46ffaed22424ec9449aaec1e4686b49b17c829777,fa1cae15b0b7842eb76856b3292261a2a0d3ad101ea257282c872810e51fbe0d,1d4a23bc4e8197bacb6d6b96b0c733245c46b1ab8be3641af941bd61a283c44d,54c89997d47c1e51aa358c7eb201c432f8d045d3bb3abc38bb8248cc6354a45c,ae2b6f82d3106ec0010e337e3352d0cfdc17e2d1eb4439f60099cd4e1c3e757e
"195","10","400","1","4003001","31001","0","400","雲海山脈","4003002","501010001","雲霧繚繞的山脈","11002012","45","200010"
"-110","10","300","1","4003003","31002","0","300","密林大樹","4003004","501010002","立於森林深處的一棵大樹","11005013","30","200020"
"-570","10","200","1","4003005","31003","0","200","斷崖遺跡","4003006","501010003","位於斷崖絕壁處的遺跡","11007014","-190","200030"
"750","10","100","1","4003007","31004","0","100","蒼海孤塔","4003008","501010004","矗立於大海中謎樣的巨塔","11011017","-30","200040"
"465","10","100","1","4003009","31005","0","100","毒瘴闇稜","4003010","501010005","受瘴氣籠罩的暗闇孤峰","11014014","20","200050"
"360","10","100","1","4003011","31006","0","100","綠龍骸嶺","4003012","501010006","佇立於山頂的龍之寢床","11026014","90","200060"
"130","10","100","1","4003013","31007","0","100","天上浮游城","4003014","501010007","天空守衛靜靜沉眠的聖城","11035014","90","200070"
"-50","10","100","1","4003017","31008","0","100","砂瀑底都","4003018","501010008","沙之大瀑布墜落盡頭的都市","11047014","120","200080"
"-360","10","100","1","4003019","31009","0","100","蔚藍王寨","4003020","501010009","聳立於蔚藍海底的海王城寨","11057014","70","200090"
"0","10","100","1","4003021","31010","0","0","四彩的靈峰","4003022","501010010","四季繽紛的靈狐仙境","11062014","0","0"
"0","10","100","1","4003015","32001","31006","100","特殊地下城","4003016","0","挑戰完成期間限定地下城","0","0","0"
"0","10","100","1","0","32002","31006","100","特殊地下城","0","0","挑戰完成期間限定地下城","0","0","0"
"0","10","100","1","0","32003","31006","100","特殊地下城","0","0","挑戰完成期間限定地下城","0","0","0"
"0","10","100","1","0","32004","31006","100","特殊地下城","0","0","挑戰完成期間限定地下城","0","0","0"
"0","10","100","1","0","32005","31006","100","特殊地下城","0","0","挑戰完成期間限定地下城","0","0","0"
"0","10","100","1","0","32006","31006","100","特殊地下城","0","0","挑戰完成期間限定地下城","0","0","0"
"0","10","100","1","0","32007","31006","100","特殊地下城","0","0","挑戰完成期間限定地下城","0","0","0"
"0","10","100","1","0","32008","31006","100","特殊地下城","0","0","挑戰完成期間限定地下城","0","0","0"
"0","10","100","1","0","32009","31006","100","特殊地下城","0","0","挑戰完成期間限定地下城","0","0","0"
"0","10","100","1","0","32010","31006","100","特殊地下城","0","0","挑戰完成期間限定地下城","0","0","0"
"0","10","100","1","0","32011","31006","100","特殊地下城","0","0","挑戰完成期間限定地下城","0","0","0"
"0","10","100","1","0","32012","31006","100","特殊地下城","0","0","挑戰完成期間限定地下城","0","0","0"
"0","10","100","1","0","32013","31006","100","特殊地下城","0","0","挑戰完成期間限定地下城","0","0","0"
"0","10","100","1","0","32014","31006","100","特殊地下城","0","0","挑戰完成期間限定地下城","0","0","0"
