76b56f48eb9f3b8d44a2c9b510595db2e1d1701c2217063e1242477b9f413883,a3b0a598a4e78757018bb7059479739b8dfdad583d967c8fc238e79bc8d00376,a8d4c9618f32f8f562521e04d826194f018c8349b6acf87e41ccc50782cec441,29cfe62951459ad05de7d5a59f5d62ffd3aac4c7e47740dccf4b1de8f6167b0d,5418c37b6a5a290bc740b25463b3750d7b681a1df06951bf6c0e348659042586,b138d50a8f1d27b17961065ac40a440e9ee10c3fdbd48c903e85fe764c6fd9fb,6e494a80bedd93ddf703338259369ecd61ea1e65907b737008c794ea468d059f,56ca69040e268321383d61ad118cce3102e4fdedeb8582f3f7d8594f09f36a9c,66e69ac70e48b5a72b8111a2fa650bf9e9efb445f561084a496450517fca7e5a,b8c3837c57ac89d987c5eb78776e3e94849f6e0bef8bd1ece1b04dc7c88b7520,a4891a15a46948638fbde065f3324e41ae516d2c6cc58d4d83315535e0ba32a5,f8b5678bdf4222d1a83ed5ea02242805b3bb909c58ff2dbff49fe957a1b9faa8,62aed2955375d4a248d2ce601f67d00afc3792da07c00a85a8e3da29664f8a59,8b68e1dd8a6de9d0364b0ccb7573aa843216d029556af4f58a01b1ecacd716df,547e32c5007c83a12652366b2fe9a592b249a6346f753b41a4ad588c96003fb1,683f66349f53e8fa33a1f942c78d5a5765a1410a604a8e7d4a06ace82b8c5c95,483d1cc54d34bd9ef635ef75548276b40e961435b6eb93bba496e360fd0a3531,3a5617a3c99a8700835bcff4466071e188a63e16e7b2c6f0827581c38a28a874
"0","1","0","0","0","0","分數累積獲得 20000 分","12","20000","0","0","94002","0","0","0","0","5000","0"
"0","2","0","0","0","0","分數累積獲得 40000 分","12","40000","0","0","94002","0","0","0","0","10000","0"
"0","3","0","0","0","0","分數累積獲得 60000 分","12","60000","0","0","94002","0","0","0","0","15000","0"
"0","4","0","0","0","0","分數累積獲得 80000 分","12","80000","0","0","94002","0","0","0","0","20000","0"
"5","5","0","0","0","0","分數累積獲得 100000 分","8","100000","23001","0","91002","0","2","0","0","50","0"
"0","6","0","0","0","0","分數累積獲得 120000 分","12","120000","0","0","94002","0","0","0","0","25000","0"
"0","7","0","0","0","0","分數累積獲得 140000 分","12","140000","0","0","94002","0","0","0","0","30000","0"
"0","8","0","0","0","0","分數累積獲得 160000 分","12","160000","0","0","94002","0","0","0","0","35000","0"
"0","9","0","0","0","0","分數累積獲得 180000 分","12","180000","0","0","94002","0","0","0","0","40000","0"
"5","10","0","0","0","0","分數累積獲得 200000 分","8","200000","23001","0","91002","0","2","0","0","50","0"
"0","11","0","0","0","0","分數累積獲得 220000 分","12","220000","0","0","94002","0","0","0","0","55000","0"
"0","12","0","0","0","0","分數累積獲得 240000 分","12","240000","0","0","94002","0","0","0","0","35000","0"
"0","13","0","0","0","0","分數累積獲得 260000 分","12","260000","0","0","94002","0","0","0","0","40000","0"
"0","14","0","0","0","0","分數累積獲得 280000 分","12","280000","0","0","94002","0","0","0","0","45000","0"
"10","15","0","0","0","0","分數累積獲得 300000 分","8","300000","23001","0","91002","0","2","0","0","150","0"
