45d372efd26c25b3d037862fd83ec193c774a3e5286258ec64dd441e227e1169,e1510fd505a8eb5ffce761b6e5f981cf0f81cabe18110d5843a23bf9ee2a85ac,f2e7ca0cbd8110475bf36e986506c6b074ddd6fb14eb39b129fe2ab242160682,9195137bb54b81bc2c8e37d2f88c8e472e3f28e8879ded5c65fa9526b30f8b50,7f64683be50072868929c2f1c97d922181355a6caebce22e71df8f59e1797f26,8861cd2202c43064648fd063ea6d77f6d38376c4d6a185a3f7d8eaee6a3160d6
"20001","20001201","20001115","0","2000101","2000102"
"20001","0","0","2000101","2000102","2000103"
"20001","0","0","2000102","2000103","0"
"20002","20002201","20002115","0","2000201","2000202"
"20002","0","0","2000201","2000202","2000203"
"20002","0","0","2000202","2000203","0"
"20003","20003201","20003115","0","2000301","2000302"
"20003","0","0","2000301","2000302","2000303"
"20003","0","0","2000302","2000303","0"
"20004","20004201","20004115","0","2000401","2000402"
"20004","0","0","2000401","2000402","2000403"
"20004","0","0","2000402","2000403","0"
"20005","20005201","20005115","0","2000501","2000502"
"20005","0","0","2000501","2000502","2000503"
"20005","0","0","2000502","2000503","0"
"20006","20006201","20006115","0","2000601","2000602"
"20006","0","0","2000601","2000602","2000603"
"20006","0","0","2000602","2000603","0"
"20007","20007201","20007115","0","2000701","2000702"
"20007","0","0","2000701","2000702","2000703"
"20007","0","0","2000702","2000703","0"
"20008","20008201","20008115","0","2000801","2000802"
"20008","0","0","2000801","2000802","2000803"
"20008","0","0","2000802","2000803","0"
"20009","20009201","20009115","0","2000901","2000902"
"20009","0","0","2000901","2000902","2000903"
"20009","0","0","2000902","2000903","0"
"20010","20010201","20010115","0","2001001","2001002"
"20010","0","0","2001001","2001002","2001003"
"20010","0","0","2001002","2001003","0"
"20011","20011201","20011115","0","2001101","2001102"
"20011","0","0","2001101","2001102","2001103"
"20011","0","0","2001102","2001103","0"
"20012","20012201","20012115","0","2001201","2001202"
"20012","0","0","2001201","2001202","2001203"
"20012","0","0","2001202","2001203","0"
"20013","20013201","20013115","0","2001301","2001302"
"20013","0","0","2001301","2001302","2001303"
"20013","0","0","2001302","2001303","0"
"20014","20014201","20014115","0","2001401","2001402"
"20014","0","0","2001401","2001402","2001403"
"20014","0","0","2001402","2001403","0"
"20015","20015201","20015115","0","2001501","2001502"
"20015","0","0","2001501","2001502","2001503"
"20015","0","0","2001502","2001503","0"
"20016","20016201","20016115","0","2001601","2001602"
"20016","0","0","2001601","2001602","2001603"
"20016","0","0","2001602","2001603","0"
"20017","20017201","20017115","0","2001701","2001702"
"20017","0","0","2001701","2001702","2001703"
"20017","0","0","2001702","2001703","0"
"20018","20018201","20018115","0","2001801","2001802"
"20018","0","0","2001801","2001802","2001803"
"20018","0","0","2001802","2001803","0"
"20019","20019201","20019115","0","2001901","2001902"
"20019","0","0","2001901","2001902","2001903"
"20019","0","0","2001902","2001903","0"
"20020","20020201","20020115","0","2002001","2002002"
"20020","0","0","2002001","2002002","2002003"
"20020","0","0","2002002","2002003","0"
"20021","20021201","20021115","0","2002101","2002102"
"20021","0","0","2002101","2002102","2002103"
"20021","0","0","2002102","2002103","0"
"20022","20022201","20022115","0","2002201","2002202"
"20022","0","0","2002201","2002202","2002203"
"20022","0","0","2002202","2002203","0"
"20023","20023201","20023115","0","2002301","2002302"
"20023","0","0","2002301","2002302","2002303"
"20023","0","0","2002302","2002303","0"
"20024","20024201","20024115","0","2002401","2002402"
"20024","0","0","2002401","2002402","2002403"
"20024","0","0","2002402","2002403","0"
"20025","20025201","20025115","0","2002501","2002502"
"20025","0","0","2002501","2002502","2002503"
"20025","0","0","2002502","2002503","0"
"20026","20026201","20026115","0","2002601","2002602"
"20026","0","0","2002601","2002602","2002603"
"20026","0","0","2002602","2002603","0"
"20027","20027201","20027115","0","2002701","2002702"
"20027","0","0","2002701","2002702","2002703"
"20027","0","0","2002702","2002703","0"
"20028","20028201","20028115","0","2002801","2002802"
"20028","0","0","2002801","2002802","2002803"
"20028","0","0","2002802","2002803","0"
"20029","20029201","20029115","0","2002901","2002902"
"20029","0","0","2002901","2002902","2002903"
"20029","0","0","2002902","2002903","0"
"20030","20030201","20030115","0","2003001","2003002"
"20030","0","0","2003001","2003002","2003003"
"20030","0","0","2003002","2003003","0"
"20031","20031201","20031115","0","2003101","2003102"
"20031","0","0","2003101","2003102","2003103"
"20031","0","0","2003102","2003103","0"
"20032","20032201","20032115","0","2003201","2003202"
"20032","0","0","2003201","2003202","2003203"
"20032","0","0","2003202","2003203","0"
"20033","20033201","20033115","0","2003301","2003302"
"20033","0","0","2003301","2003302","2003303"
"20033","0","0","2003302","2003303","0"
"20034","20034201","20034115","0","2003401","2003402"
"20034","0","0","2003401","2003402","2003403"
"20034","0","0","2003402","2003403","0"
"20035","20035201","20035115","0","2003501","2003502"
"20035","0","0","2003501","2003502","2003503"
"20035","0","0","2003502","2003503","0"
"20036","20036201","20036115","0","2003601","2003602"
"20036","0","0","2003601","2003602","2003603"
"20036","0","0","2003602","2003603","0"
"20037","20037201","20037115","0","2003701","2003702"
"20037","0","0","2003701","2003702","2003703"
"20037","0","0","2003702","2003703","0"
"20038","20038201","20038115","0","2003801","2003802"
"20038","0","0","2003801","2003802","2003803"
