ab0647cc34cce62ba461a578dfab1130e46e04e5fe30be3cf730114f970b5ec7,4ef1e6becfa7cb0cc7dd28343456c19312c2dbf9dc30204a0bebcde4862d271b,4f62b9907df24c566c4c451870609648c70341a735fc60d0761fca820ffcb9ff,2b64a2bb1192a3f5f45c3ec4d8b3eeba23eaae84a15fc77ff8a2e73c3274cdd5,23033cce20f6137f04abfbbde5aa70fba83fc20def55b0203671e89e193f689a,d9f02b6be6bf402c3ba2c3956a09f7dbf41cd589608f92a8b55af6454de3d5e7,58a0b6927d29f36d98ffe512988552a064df02cd824e1a1b043570f881353652,ccf89b4f41e3c39cb7493541b72a05dfad1638e58c735e0f71f62db12d87772e,635c09f14b4a9910121fed34025b2a4d10b23c5183a3d8afb2a4a654b749f7a2,4c19f98b7c8ecd85166af4c1d441cac8b6569b4927fd59b77919a6ac3b54a58f
"30000","10000","0","10","90043","1","1","12000","0","90001"
"30000","10000","0","20","90047","2","2","24000","0","90002"
"30000","10000","0","20","90047","3","3","24000","0","90002"
"30000","10000","0","20","90047","4","4","24000","0","90002"
"30000","10000","0","20","90047","5","5","24000","0","90002"
"30000","10000","0","20","90047","6","6","24000","0","90002"
"30000","10000","0","20","90047","7","7","24000","0","90002"
"30000","10000","0","20","90047","8","8","24000","0","90002"
"30000","10000","0","20","90047","9","9","24000","0","90002"
"30000","10000","1","20","90047","10","10","24000","0","90002"
"30000","10000","2","40","90051","11","11","48000","90011","90003"
"30000","10000","3","40","90051","12","12","48000","90011","90003"
"30000","10000","4","40","90051","13","13","48000","90011","90003"
"30000","10000","5","40","90051","14","14","48000","90011","90003"
"30000","10000","6","40","90051","15","15","48000","90011","90003"
"30000","10000","7","40","90051","16","16","48000","90011","90003"
"30000","10000","8","40","90051","17","17","48000","90011","90003"
"30000","10000","9","40","90051","18","18","48000","90011","90003"
"30000","10000","10","40","90051","19","19","48000","90011","90003"
"30000","10000","11","40","90051","20","20","48000","90011","90003"
"30000","10000","12","60","90055","21","21","72000","90015","90004"
"30000","10000","13","60","90055","22","22","72000","90015","90004"
"30000","10000","14","60","90055","23","23","72000","90015","90004"
"30000","10000","15","60","90055","24","24","72000","90015","90004"
"30000","10000","16","60","90055","25","25","72000","90015","90004"
"30000","10000","17","60","90055","26","26","72000","90015","90004"
"30000","10000","18","60","90055","27","27","72000","90015","90004"
"30000","10000","19","60","90055","28","28","72000","90015","90004"
"30000","10000","20","60","90055","29","29","72000","90015","90004"
"30000","10000","21","60","90055","30","30","72000","90015","90004"
"30000","10000","22","80","90059","31","31","96000","90015","90005"
"30000","10000","23","80","90059","32","32","96000","90015","90005"
"30000","10000","24","80","90059","33","33","96000","90015","90005"
"30000","10000","25","80","90059","34","34","96000","90015","90005"
"30000","10000","26","80","90059","35","35","96000","90015","90005"
"30000","10000","27","80","90059","36","36","96000","90015","90005"
"30000","10000","28","80","90059","37","37","96000","90015","90005"
"30000","10000","29","80","90059","38","38","96000","90015","90005"
"30000","10000","30","80","90059","39","39","96000","90015","90005"
"30000","10000","31","80","90059","40","40","96000","90015","90005"
"30000","10000","33","120","90063","41","41","144000","90017","90005"
"30000","10000","35","120","90063","42","42","144000","90017","90005"
"30000","10000","37","120","90063","43","43","144000","90017","90005"
"30000","10000","39","120","90063","44","44","144000","90017","90005"
"30000","10000","41","120","90063","45","45","144000","90017","90005"
"30000","10000","43","120","90063","46","46","144000","90017","90005"
"30000","10000","45","120","90063","47","47","144000","90017","90005"
"30000","10000","47","120","90063","48","48","144000","90017","90005"
"30000","10000","49","120","90063","49","49","144000","90017","90005"
"30000","10000","51","120","90063","50","50","144000","90017","90005"
"30000","10000","53","150","90067","51","51","180000","90019","90006"
"30000","10000","55","150","90067","52","52","180000","90019","90006"
"30000","10000","57","150","90067","53","53","180000","90019","90006"
"30000","10000","59","150","90067","54","54","180000","90019","90006"
"30000","10000","61","150","90067","55","55","180000","90019","90006"
"30000","10000","63","150","90067","56","56","180000","90019","90006"
"30000","10000","65","150","90067","57","57","180000","90019","90006"
"30000","10000","67","150","90067","58","58","180000","90019","90006"
"30000","10000","69","150","90067","59","59","180000","90019","90006"
"30000","10000","71","150","90067","60","60","180000","90019","90006"
"30000","10000","74","180","90071","61","61","216000","90021","90007"
"30000","10000","77","180","90071","62","62","216000","90021","90007"
"30000","10000","80","180","90071","63","63","216000","90021","90007"
"30000","10000","83","180","90071","64","64","216000","90021","90007"
"30000","10000","86","180","90071","65","65","216000","90021","90007"
"30000","10000","89","180","90071","66","66","216000","90021","90007"
"30000","10000","92","180","90071","67","67","216000","90021","90007"
"30000","10000","95","180","90071","68","68","216000","90021","90007"
"30000","10000","98","180","90071","69","69","216000","90021","90007"
"30000","10000","101","180","90071","70","70","216000","90021","90007"
