17c83508cd7fc50d07697530b16ba2eb12aedd07f50dd0f588ab89b9f57ba5ba,bab5246fe0bdb5fee871e14a69a6f71b4ccf15bdc8f71b54057910a33cf53158,49c7256e9c5b76274c30b51134aa07867f1b5c049941bb415691fc98780de0db,b9c0b275ee15220ce8d0776b2d15b969d48b5cc681e002648a954da837252e90,037f765aa4fdbd07acd81ad4d2cc6b763c32aa9adeb2cf5a1c6ce87163b9ecf4,5fe48d5e6c940c83e554a648849e06d9a6be30371f7064e5d71730ad57250edf,4e62cd0a89cbd82009ae58c2fb760e808fd4be9aa341c015b382021e44e3f966,83f6e137b8f00cdb9cfe1c4383a771039526544c7fa397f0e90f6a2615485b67,8882c2496ecd2540080821eb16e1e8fb06cd3a046f6d3d26eef61b83d89902dd,c83bd8ad3477d99144af4097bf94dffc46637813f1d125e9ccd80313d7ee5be9,d801b81bef5ca7a894cc943db2680d18ea3bafc0e0e571feeef1b39482d54132,caaec4843fa1363edab0ba085647712dad26729578bf47a10eebfbfd29a50091
"105901","5146061","106001","8","105801","91002","2024/10/01 16:00:00","大蜂蜜雲霄飛車1","1","1","10146","20"
"0","5146062","0","8","100901","91002","2024/10/02 16:00:00","大蜂蜜雲霄飛車2","1","1","10146","20"
"0","5146063","0","8","106601","91002","2024/10/04 16:00:00","大蜂蜜雲霄飛車3","1","1","10146","20"
"131501","5146064","0","8","105801","91002","2024/10/02 16:00:00","漂浮之花摩天輪1","1","2","10146","20"
"131001","5146065","0","8","130901","91002","2024/10/04 16:00:00","漂浮之花摩天輪2","1","2","10146","20"
"0","5146066","0","8","104001","91002","2024/10/03 16:00:00","漂浮之花摩天輪3","1","2","10146","20"
"106601","5146067","0","8","106501","91002","2024/10/01 16:00:00","莓果糖咖啡杯1","1","3","10146","20"
"106001","5146068","0","8","105801","91002","2024/10/03 16:00:00","莓果糖咖啡杯2","1","3","10146","20"
"131401","5146069","0","8","131301","91002","2024/10/02 16:00:00","莓果糖咖啡杯3","1","3","10146","20"
"0","5146070","0","8","102101","91002","2024/10/03 16:00:00","潛入3D世界1","1","4","10146","20"
"0","5146071","0","8","130901","91002","2024/10/01 16:00:00","潛入3D世界2","1","4","10146","20"
"0","5146072","0","8","0","91002","2024/10/01 16:00:00","表演者介紹：植物羊","2","0","10146","20"
"0","5146073","0","8","0","91002","2024/10/01 16:00:00","表演者介紹：啾二＆啾三","2","0","10146","20"
"0","5146074","0","8","0","91002","2024/10/01 16:00:00","表演者介紹：玩具王","2","0","10146","20"
"0","5146075","0","8","0","91002","2024/10/01 16:00:00","表演者介紹：招財貓","2","0","10146","20"
"0","5146901","0","15","0","11001313","2024/10/01 16:00:00","魔物遊行","3","0","10146","1"
