18235a3f77e99d816a5d756c5d3bcf4a73a52289cac0c0833193efe99538026e,9c54d80c8a489d8f85cebd082fd4211107271aacb6129f91613894becb19f2ee,113f847cb867d2ddf2c55b74d25ae2a93fc6c80b0c4e6a169cf16576a9180ca5,d1e679432318db57a13fc8e4b581fa5d38574c5b7a6c60efc69d29ea70534f05,b7ac3dda520731cac2ebd0e0ca4a9100688504211dcd1163677145e534a82dd8,eb5924d823aa6dd7a0379ab6aa3aac7c0adc6a64967ce3d6a633793883a20c92,6482c81e62ea0601e2ceb6753de778a293c8faf6c01769bc2171ad4ae4076f5f,8301f5f5926c37ca17357215ed3711a357df43697ce2820add87b3e453a23a35
"111","90110001","110001","1","0","70000","110001","完成石像鬼（EASY）"
"112","90110002","110001","1","0","70000","110002","完成石像鬼（NORMAL）"
"113","90110003","110001","1","0","70000","110003","完成石像鬼（HARD）"
"114","90110004","110001","1","0","70000","110004","完成石像鬼（VERY HARD）"
"115","90110005","110001","1","0","70000","110005","完成石像鬼（EXTREME）"
"121","90120001","110001","1","0","70000","120001","完成法師石像鬼（EASY）"
"122","90120002","110001","1","0","70000","120002","完成法師石像鬼（NORMAL）"
"123","90120003","110001","1","0","70000","120003","完成法師石像鬼（HARD）"
"124","90120004","110001","1","0","70000","120004","完成法師石像鬼（VERY HARD）"
"125","90120005","110001","1","0","70000","120005","完成法師石像鬼（EXTREME）"
"131","90130001","110001","1","0","70000","130001","完成守衛石像鬼（EASY）"
"132","90130002","110001","1","0","70000","130002","完成守衛石像鬼（NORMAL）"
"133","90130003","110001","1","0","70000","130003","完成守衛石像鬼（HARD）"
"134","90130004","110001","1","0","70000","130004","完成守衛石像鬼（VERY HARD）"
"135","90130005","110001","1","0","70000","130005","完成守衛石像鬼（EXTREME）"
"141","90140001","110001","1","0","70000","140001","完成石像鬼‧炸裂（EASY）"
"142","90140002","110001","1","0","70000","140002","完成石像鬼‧炸裂（NORMAL）"
"143","90140003","110001","1","0","70000","140003","完成石像鬼‧炸裂（HARD）"
"144","90140004","110001","1","0","70000","140004","完成石像鬼‧炸裂（VERY HARD）"
"145","90140005","110001","1","0","70000","140005","完成石像鬼‧炸裂（EXTREME）"
"151","90150001","110001","1","0","70000","150001","完成石像鬼‧魔幻（EASY）"
"152","90150002","110001","1","0","70000","150002","完成石像鬼‧魔幻（NORMAL）"
"153","90150003","110001","1","0","70000","150003","完成石像鬼‧魔幻（HARD）"
"154","90150004","110001","1","0","70000","150004","完成石像鬼‧魔幻（VERY HARD）"
"155","90150005","110001","1","0","70000","150005","完成石像鬼‧魔幻（EXTREME）"
