abe436a2995571c1e56a3928bd1553d59af57158a4124301e6c8299e6bdd76b0,54121ce52625f7d6ff26d329afd02185d56fc42c0fdb1f38c745b8f94f0b78d6,08e372e7d42c9edef6bb51c2ae1fe007b792c527c4de1f8c6b1e03032e25bc0d,be02009963f33741d5d36a5f525a75f2be642f291f8d176c0afca1eda3c92945,b319dc8bccd28b75ac3f0e5653fe4782898078f4aea1b95298e45104e1439d70
"1","0","1","1001","0"
"1","0","2","1002","0"
"1","0","3","1003","0"
"2","0","1","2001","0"
"2","0","2","2002","0"
"2","0","3","2003","0"
"2","0","1","2101","1"
"2","0","2","2102","1"
"2","0","3","2103","1"
"2","10001","11","2111","2"
"2","10001","12","2112","2"
"2","10001","13","2113","2"
"3","0","1","3001","0"
"3","0","2","3002","0"
"3","0","3","3003","0"
"4","0","1","4001","0"
"4","0","2","4002","0"
"4","0","3","4003","0"
"4","0","100","4005","0"
"5","0","10101","5010","1"
"5","1","10201","5020","2"
"5","2","10202","5021","2"
"5","0","10301","5030","3"
"5","1","10301","5031","3"
"5","0","10302","5040","4"
"5","0","10303","5050","5"
"5","0","10304","5060","6"
"6","0","90001","6001","1"
"6","0","90001","6002","2"
"6","1","90001","6003","2"
"6","0","90001","6006","3"
"6","1","91101","6007","3"
"6","2","91201","6008","3"
"6","3","91301","6009","3"
"6","0","90001","6010","4"
"6","1","91101","6011","4"
"6","2","91201","6012","4"
"6","3","91301","6013","4"
"6","0","90001","6014","5"
"6","1","91101","6015","5"
"6","2","91201","6016","5"
"6","3","91301","6017","5"
"7","0","90002","7000","0"
"7","1","90002","7001","0"
"7","2","90003","7002","0"
"7","1","90002","7003","2"
"7","2","90003","7004","2"
"7","1","91102","7005","3"
"7","2","91103","7006","3"
"7","1","91102","7007","4"
"7","2","91103","7008","4"
"7","1","91102","7009","5"
"7","2","91103","7010","5"
"9","0","20101","9001","0"
"10","0","20201","10001","0"
"10","0","20202","10002","1"
"100","0","1","100001","1"
"100","0","1","100002","2"
"100","0","2","100003","3"
"100","0","2","100004","4"
"100","0","2","100005","5"
"101","0","10301","980001","98001"
"101","2","10402","980002","98001"
"101","1","10401","980011","98011"
"101","2","10402","980012","98012"
