c72913c17f155c2bc38cf88a8db15c31f22b8c30ca10d59782c43accfb5fc410,f0527df5dacab67bffaa0ca96b1a393b799430f025f5775f35f62effddd70c4a,d16ece8eb896be3013a8087a64e57aad40b0d3875f5a0c54da04bb3d30886a91,38b950bf4f963e633c68a45aee17882a283bf93081f242be7f807abd8b9697b3,45e14ddb661bcb4fc2e72f39ae05ebefc61e5aecd83b4fec3fa37285425c3ae8,2397dbdba7f72e6ade2e15792b2e28cc023e10a9333e7984bc51f1b68ce1121a,20a8cdc0f86ccb948150f14280a67dc0c3ef2bbd2298aceb7ebb302eb96bc7ea,b2dc62038e9002278195c15210974aa58aa71476d96299296b2a1dc5e5a752ad,1f84c4db69e8ba6a51fbc1bc2c593d3898b0f379e07bb61a53a83381a3f7f395,b399c3f32976a00723e2a25ece4a70094945c3fa855af4772c8ad541c9b9927c
"220","2","0","0","111","500000","101","25021","0","0"
"220","2","0","0","121","500000","102","25021","0","0"
"220","2","0","0","131","500000","103","25021","0","0"
"220","2","0","0","141","500000","104","25021","0","0"
"220","2","0","0","151","500000","105","25021","0","0"
"220","2","0","0","211","500000","201","25021","0","0"
"220","2","0","0","221","500000","202","25021","0","0"
"220","2","0","0","231","500000","203","25021","0","0"
"220","2","0","0","241","500000","204","25021","0","0"
"220","2","0","0","251","500000","205","25021","0","0"
"220","2","0","0","311","500000","301","25021","0","0"
"220","2","0","0","321","500000","302","25021","0","0"
"220","2","0","0","331","500000","303","25021","0","0"
"220","2","0","0","341","500000","304","25021","0","0"
"220","2","0","0","351","500000","305","25021","0","0"
"220","2","0","0","411","500000","401","25021","0","0"
"220","2","0","0","421","500000","402","25021","0","0"
"220","2","0","0","431","500000","403","25021","0","0"
"220","2","0","0","441","500000","404","25021","0","0"
"220","2","0","0","451","500000","405","25021","0","0"
"220","2","0","0","511","500000","501","25021","0","0"
"220","2","0","0","521","500000","502","25021","0","0"
"220","2","0","0","531","500000","503","25021","0","0"
"220","2","0","0","541","500000","504","25021","0","0"
"220","2","0","0","551","500000","505","25021","0","0"
"220","2","0","0","611","500000","601","25021","0","0"
"220","2","0","0","621","500000","602","25021","0","0"
"220","2","0","0","631","500000","603","25021","0","0"
"220","2","0","0","641","500000","604","25021","0","0"
