07b790787fbc94878180b2edd2ae88504597c5d38a739dfc368014f5da6e0bc1,debdc86b5151cb50fe19d561464441a2ea174c8d8adfd093cbedf82bc12e16ab,78db4bb2b867a29d1e74bbaa2f5b1d3339b59c3896125c25ac4ffea9e8cd34f9,54230f7824512273a0ac67c9e0c3f36cc6c585f85da044d6d8f10cf9c97dbc5d,3b22da3a17bc37cd2499af6d2d3e34955e51d9ce8e29985ebf79f32f988a42c9,dc67030e58351023bd45639ab204c098ba504f2a604d07ae29ffbbf12d5a7655,bad54be32a72a0ceac0f6a80cdf905815710e8e8ab0f368355bfe40672d4b1df,67c986220b27673cc67564ac6deaeb30f7ac6182ba56982659b1e1c500669dd0
"1","20000","1","1","21952","96001","1","2"
"1","10000","1","1","21904","96001","2","2"
"1","10000","1","1","41000","96001","3","2"
"1","2000","5","5","31803","96001","4","2"
"1","1500","5","5","31215","96001","5","2"
"1","1500","5","5","31210","96001","6","2"
"1","1500","5","5","31211","96001","7","2"
"1","1250","5","10","90005","96001","8","2"
"1","500","10","20","140001","96001","9","4"
"1","500","5","10","25001","96001","10","2"
"1","100","5","5","150003","96001","11","4"
"1","130","5","5","150004","96001","12","4"
"1","150","5","5","150005","96001","13","4"
"1","180","5","5","150006","96001","14","4"
"1","200","5","5","150007","96001","15","4"
"1","230","5","5","150008","96001","16","4"
"1","500","100","5","20004","96001","17","2"
"1","200","100","5","22003","96001","18","2"
"1","1000","100","0","20004","96001","19","2"
"1","400","100","0","22003","96001","20","2"
"2","20000","1","1","21952","96002","21","2"
"2","10000","1","1","21904","96002","22","2"
"2","10000","1","1","41000","96002","23","2"
"2","1500","5","5","31233","96002","24","2"
"2","1500","5","5","31229","96002","25","2"
"2","1500","5","5","31225","96002","26","2"
"2","1250","5","10","90005","96002","27","2"
"2","500","10","20","140001","96002","28","4"
"2","500","5","10","25001","96002","29","2"
"2","100","5","5","150003","96002","30","4"
"2","130","5","5","150004","96002","31","4"
"2","150","5","5","150005","96002","32","4"
"2","180","5","5","150006","96002","33","4"
"2","200","5","5","150007","96002","34","4"
"2","230","5","5","150008","96002","35","4"
"2","500","100","5","20004","96002","36","2"
"2","200","100","5","22003","96002","37","2"
"2","1000","100","0","20004","96002","38","2"
"2","400","100","0","22003","96002","39","2"
"3","20000","1","1","21952","96003","40","2"
"3","10000","1","1","21905","96003","41","2"
"3","10000","1","1","41000","96003","42","2"
"3","2000","5","5","31805","96003","43","2"
"3","1500","5","5","31240","96003","44","2"
"3","1500","5","5","31238","96003","45","2"
"3","1500","5","5","31236","96003","46","2"
"3","2500","10","5","90005","96003","47","2"
"3","2500","50","5","140001","96003","48","4"
"3","500","5","5","25001","96003","49","2"
"3","500","30","5","150003","96003","50","4"
"3","650","30","5","150004","96003","51","4"
"3","750","30","5","150005","96003","52","4"
"3","900","30","5","150006","96003","53","4"
"3","1000","30","5","150007","96003","54","4"
"3","1150","30","5","150008","96003","55","4"
"3","2500","500","5","20004","96003","56","2"
"3","1000","500","5","22003","96003","57","2"
"3","1000","100","0","20004","96003","58","2"
"3","400","100","0","22003","96003","59","2"
"4","20000","1","1","21952","96004","60","2"
"4","10000","1","1","21905","96004","61","2"
"4","10000","1","2","41000","96004","62","2"
"4","2000","5","5","31807","96004","63","2"
"4","1500","5","5","31245","96004","64","2"
"4","1500","5","5","31248","96004","65","2"
"4","1500","5","5","31250","96004","66","2"
"4","1500","5","5","31091","96004","67","2"
"4","2500","10","5","90005","96004","68","2"
"4","2500","50","10","140001","96004","69","4"
"4","1000","10","10","25001","96004","70","2"
"4","500","30","5","150003","96004","71","4"
"4","650","30","5","150004","96004","72","4"
"4","750","30","5","150005","96004","73","4"
"4","900","30","5","150006","96004","74","4"
"4","1000","30","5","150007","96004","75","4"
"4","1150","30","5","150008","96004","76","4"
"4","1300","30","5","150009","96004","77","4"
"4","2500","500","5","20004","96004","78","2"
"4","1000","500","5","22003","96004","79","2"
"4","1000","100","0","20004","96004","80","2"
"4","400","100","0","22003","96004","81","2"
"5","20000","1","1","25101","96005","82","2"
"5","20000","1","1","21952","96005","83","2"
"5","10000","1","1","21905","96005","84","2"
"5","10000","1","2","41000","96005","85","2"
"5","1500","5","5","31200","96005","86","2"
"5","1500","5","5","31253","96005","87","2"
"5","1500","5","5","31255","96005","88","2"
"5","1500","5","5","31256","96005","89","2"
"5","2500","10","5","90005","96005","90","2"
"5","2500","50","10","140001","96005","91","4"
"5","1000","10","10","25001","96005","92","2"
"5","500","30","5","150003","96005","93","4"
"5","650","30","5","150004","96005","94","4"
"5","750","30","5","150005","96005","95","4"
"5","900","30","5","150006","96005","96","4"
"5","1000","30","5","150007","96005","97","4"
"5","1150","30","5","150008","96005","98","4"
"5","1300","30","5","150009","96005","99","4"
"5","2500","500","5","20004","96005","100","2"
"5","1000","500","5","22003","96005","101","2"
"5","1000","100","0","20004","96005","102","2"
"5","400","100","0","22003","96005","103","2"
"6","20000","1","1","25101","96006","104","2"
"6","20000","1","1","21952","96006","105","2"
"6","10000","1","1","21905","96006","106","2"
"6","10000","1","2","41000","96006","107","2"
"6","1500","5","5","31262","96006","108","2"
"6","1500","5","5","31266","96006","109","2"
"6","1500","5","5","31269","96006","110","2"
"6","1500","5","5","31271","96006","111","2"
"6","2500","10","5","90005","96006","112","2"
"6","2500","50","10","140001","96006","113","4"
"6","1000","10","10","25001","96006","114","2"
"6","500","30","5","150003","96006","115","4"
"6","650","30","5","150004","96006","116","4"
"6","750","30","5","150005","96006","117","4"
"6","900","30","5","150006","96006","118","4"
"6","1000","30","5","150007","96006","119","4"
"6","1150","30","5","150008","96006","120","4"
"6","1300","30","5","150009","96006","121","4"
"6","2500","500","5","20004","96006","122","2"
"6","1000","500","5","22003","96006","123","2"
"6","1000","100","0","20004","96006","124","2"
"6","400","100","0","22003","96006","125","2"
"7","20000","1","1","25101","96007","126","2"
"7","20000","1","1","21952","96007","127","2"
"7","10000","1","1","21905","96007","128","2"
"7","10000","1","2","41000","96007","129","2"
"7","1500","5","5","31272","96007","130","2"
"7","2000","5","5","31808","96007","131","2"
"7","1500","5","5","31275","96007","132","2"
"7","2500","10","5","90005","96007","133","2"
"7","2500","50","10","140001","96007","134","4"
"7","1000","10","10","25001","96007","135","2"
"7","500","30","5","150003","96007","136","4"
"7","650","30","5","150004","96007","137","4"
"7","750","30","5","150005","96007","138","4"
"7","900","30","5","150006","96007","139","4"
"7","1000","30","5","150007","96007","140","4"
"7","1150","30","5","150008","96007","141","4"
"7","1300","30","5","150009","96007","142","4"
"7","2500","500","5","20004","96007","143","2"
"7","1000","500","5","22003","96007","144","2"
"7","1000","100","0","20004","96007","145","2"
"7","400","100","0","22003","96007","146","2"
