a10aa8de3cb6a4e4965ddb60236c7b8ad6a35f6cb964d1b64ba92ec8cf4e2481,207ed425af39a03669142f6788b984fdcf4b0660364aedef22be6df7d0959d0f,01270e01a40d46702b479c90d0d5f9dbfd53d70070f9a2ef05adf25810e8e113,b50ed39e2325bbd1fefc36d444378b8aa8df3cab110bca97a45c867c52834f98,c3d8a584bc949107d3cdcd1a9cedaf38e232e7423e23b860a38e78e4c40c01ee
"3001","803100201","1","3","0"
"3001","803100202","2","3","0"
"3001","803100203","3","3","0"
"3002","803100204","1","3","0"
"3002","803100205","2","3","0"
"3002","803100206","3","3","0"
"3003","803100207","1","3","0"
"3003","803100208","2","3","0"
"3003","803100209","3","3","0"
"3004","803100210","1","3","0"
"3004","803100211","2","3","0"
"3004","803100212","3","3","0"
"3005","803100213","1","3","0"
"3005","803100214","2","3","0"
"3005","803100215","3","3","0"
"3006","803100216","1","3","0"
"3006","803100217","2","3","0"
"3006","803100218","3","3","0"
"3007","803100219","1","3","0"
"3007","803100220","2","3","0"
"3007","803100221","3","3","0"
