229e77df2f638ded7710c810ca032c24c9f9830e0646f8c49c239f86e1efb79d,f447ddecaab1b2ca6459e750f94909bf80bde7d7616144ae770c927e3000fc54,c22d1eda1c479158f7bf3b5f5fceacd037eefc66139bf5f772d27c25e67877a3,6d92c67d79f41da514da9c3b78ae6346e8228b03707c8b058fb14df3fc16aacc,4d51f6f4fd9e53a93b382f04496715faa60cad8a818c15b0b5fb3a98e04764d3,4f4b027528005eb32f6b0b87eae90a3b86f91fbd584f4164b270fa107b70e7a4,68a9380e9427ae76064c0d81f6f08803d53539847f967849848272049fb23c3d
"1","0","10201","5201401","10201101","2025/06/01 16:00:00","10201101"
"1","0","10201","5201402","10201102","2025/06/07 16:00:00","10201151"
"2","5201010","10201","5201411","10201201","2025/06/01 16:00:00","23"
"3","0","10201","5201601","10201401","2025/06/07 16:00:00","0"
"1","0","10202","5202401","10202101","2025/07/01 16:00:00","10202101"
"2","0","10202","5202411","10202201","2025/07/01 16:00:00","23"
"1","0","10203","5203401","10203101","2025/08/01 16:00:00","10203101"
"2","5203007","10203","5203411","10203201","2025/08/01 16:00:00","23"
"1","0","10204","5204401","10204101","2025/09/01 16:00:00","10204101"
"2","5204006","10204","5204411","10204201","2025/09/01 16:00:00","23"
"1","0","10205","5205401","10205101","2025/10/01 16:00:00","10205101"
"2","0","10205","5205411","10205201","2025/10/01 16:00:00","23"
"1","0","10206","5206401","10206101","2025/11/01 16:00:00","10206101"
"2","5206007","10206","5206411","10206201","2025/11/01 16:00:00","23"
"1","0","10207","5207401","10207101","2025/12/01 16:00:00","10207101"
"2","5207007","10207","5207411","10207201","2025/12/01 16:00:00","23"
"1","0","10208","5208401","10208101","2026/01/01 16:00:00","10208101"
"2","5208007","10208","5208411","10208201","2026/01/01 16:00:00","23"
"1","0","10209","5209401","10209101","2026/02/01 16:00:00","10209101"
"2","5209007","10209","5209411","10209201","2026/02/01 16:00:00","23"
"1","0","10210","5210401","10210101","2026/03/01 16:00:00","10210101"
"2","5210000","10210","5210411","10210201","2026/03/01 16:00:00","23"
