ebcef787858518b5e665a086408c8fcd51e949ffc0a0f5d158ce53ba1b30f11f,54d25edce5a92e5c9f1f6244712ca4296cf71272dc131ddb5a48f1002e35b376,c27c1fe4208e71c943839da40b69001d36a720608a581a8ae5a2c67a521e2911,3c3dcbf42a2ddccb6cebd41c009d665a16516fb45c11b8e955c2066f49d310d6,7a7a71258d8bb683cf613f4ac6525ef5a797fc8a5457fd9122a92794964a0256,753c10317718a426e596bb18ac5b35c3f81666f20a8ad9250a401e905b245616,64a3ee38a72accd6741171a60cda2336c512f7be4b42a002b4091ff9eb32e35e,5a0ba4227157fccf0de6173fea3378814decc08d29b73c8b8a10c5b97319d303,687a27a57bf981ffb29799599b949edca90b60be6f48da4669560d7151332a72,1e7fa26533c7e2932b4e4ecfc2e01fa27a08f7c2c5b50a6c355d4cb5851544c3,80210130f009214d5421385de73c7b35e82145c75b04a4bc594e7f2b42bcecb0,7720997d62640d98048b8afdd5b10dfb06938214960a23aabc5128517b8f7db0
"100980101","4","0","1","0","0","0","0","0.8","0","1","1009801"
"100980102","2","vo_lsv_0101","2","0","0","vo_lsv","0","0","0","0","1009801"
"100980103","1","0","3","300","0","0","1","0","2","0","1009801"
"100980104","4","0","4","0","0","0","0","2.3","0","1","1009801"
"100980105","1","0","5","280","0","0","2","0","2","0","1009801"
"100980106","4","0","6","0","0","0","0","3","0","1","1009801"
"100980107","2","vo_lsv_0102","7","0","0","vo_lsv","0","0","0","0","1009801"
"100980108","1","0","8","300","0","0","3","0","2.05","0","1009801"
"100980109","4","0","9","0","0","0","0","2.05","0","1","1009801"
"100980110","1","0","10","327","0","0","4","0","1.8","0","1009801"
"100980111","4","0","11","0","0","0","0","2.8","0","1","1009801"
"100980112","2","vo_lsv_0103","12","0","0","vo_lsv","0","0","0","0","1009801"
"100980113","1","0","13","300","0","0","5","0","2.3","0","1009801"
"100980114","4","0","14","0","0","0","0","2.5","0","1","1009801"
"100980115","1","0","15","275","0","0","6","0","1.9","0","1009801"
"100980116","4","0","16","0","0","0","0","2.9","0","1","1009801"
"100980117","2","vo_lsv_0104","17","0","0","vo_lsv","0","0","0","0","1009801"
"100980118","1","0","18","300","0","0","7","0","2.7","0","1009801"
"100980119","4","0","19","0","0","0","0","2.9","0","1","1009801"
"100980120","1","0","20","310","0","0","8","0","2.3","0","1009801"
"100980121","4","0","21","0","0","0","0","2.3","0","1","1009801"
"100980122","1","0","22","250","0","0","9","0","1.8","0","1009801"
"100980123","4","0","23","0","0","0","0","2.8","0","1","1009801"
"100980124","2","vo_lsv_0105","24","0","0","vo_lsv","0","0","0","0","1009801"
"100980125","1","0","25","320","0","0","10","0","2.5","0","1009801"
"100980126","4","0","26","0","0","0","0","2.5","0","1","1009801"
"100980127","1","0","27","165","15","0","11","0","0.7","0","1009801"
"100980201","4","0","1","0","0","0","0","0.8","0","1","1009802"
"100980202","2","vo_lsv_0201","2","0","0","vo_lsv","0","0","0","0","1009802"
"100980203","1","0","3","300","0","0","1","0","1.51","0","1009802"
"100980204","4","0","4","0","0","0","0","1.51","0","1","1009802"
"100980205","1","0","5","300","300","0","1","0","1.5","0","1009802"
"100980206","4","0","6","0","0","0","0","2.5","0","1","1009802"
"100980207","2","vo_lsv_0202","7","0","0","vo_lsv","0","0","0","0","1009802"
"100980208","1","0","8","300","0","0","2","0","1.8","0","1009802"
"100980209","4","0","9","0","0","0","0","1.8","0","1","1009802"
"100980210","1","0","10","300","0","0","3","0","1.1","0","1009802"
"100980211","4","0","11","0","0","0","0","2.1","0","1","1009802"
"100980212","2","vo_lsv_0203","12","0","0","vo_lsv","0","0","0","0","1009802"
"100980213","1","0","13","300","0","0","4","0","1.95","0","1009802"
"100980214","4","0","14","0","0","0","0","1.95","0","1","1009802"
"100980215","1","0","15","310","0","0","5","0","2.05","0","1009802"
"100980216","4","0","16","0","0","0","0","2.05","0","1","1009802"
"100980217","1","0","17","310","310","0","5","0","0.8","0","1009802"
"100980218","4","0","18","0","0","0","0","1.8","0","1","1009802"
"100980219","2","vo_lsv_0204","19","0","0","vo_lsv","0","0","0","0","1009802"
"100980220","1","0","20","300","0","0","6","0","1.7","0","1009802"
"100980221","4","0","21","0","0","0","0","2.1","0","1","1009802"
"100980222","1","0","22","327","0","0","7","0","2.3","0","1009802"
"100980223","4","0","23","0","0","0","0","3.3","0","1","1009802"
"100980224","2","vo_lsv_0205","24","0","0","vo_lsv","0","0","0","0","1009802"
"100980225","1","0","25","300","0","0","8","0","1.83","0","1009802"
"100980226","4","0","26","0","0","0","0","2.4","0","1","1009802"
"100980227","1","0","27","300","0","0","9","0","1.7","0","1009802"
"100980228","4","0","28","0","0","0","0","2.1","0","1","1009802"
"100980229","1","0","29","210","0","0","10","0","1.1","0","1009802"
"100980230","4","0","30","0","0","0","0","0.5","0","1","1009802"
"100980301","4","0","1","0","0","0","0","0.8","0","1","1009803"
"100980302","2","vo_lsv_0301","2","0","0","vo_lsv","0","0","0","0","1009803"
"100980303","1","0","3","141","0","0","1","0","1.87","0","1009803"
"100980304","4","0","4","0","0","0","0","2","0","1","1009803"
"100980305","1","0","5","300","141","0","1","0","0.561","0","1009803"
"100980306","4","0","6","0","0","0","0","1.561","0","1","1009803"
"100980307","2","vo_lsv_0302","7","0","0","vo_lsv","0","0","0","0","1009803"
"100980308","1","0","8","320","0","0","2","0","1.3","0","1009803"
"100980309","4","0","9","0","0","0","0","1.3","0","1","1009803"
"100980310","1","0","10","227","0","0","3","0","1.2","0","1009803"
"100980311","4","0","11","0","0","0","0","2.2","0","1","1009803"
"100980312","2","vo_lsv_0303","12","0","0","vo_lsv","0","0","0","0","1009803"
"100980313","1","0","13","280","0","0","4","0","2.1","0","1009803"
"100980314","4","0","14","0","0","0","0","2.1","0","1","1009803"
"100980315","1","0","15","280","0","0","5","0","1.2","0","1009803"
"100980316","4","0","16","0","0","0","0","2.2","0","1","1009803"
"100980317","2","vo_lsv_0304","17","0","0","vo_lsv","0","0","0","0","1009803"
"100980318","1","0","18","350","0","0","6","0","1.305","0","1009803"
"100980319","4","0","19","0","0","0","0","1.305","0","1","1009803"
"100980320","1","0","20","350","350","0","6","0","2.181","0","1009803"
"100980321","4","0","21","0","0","0","0","2.781","0","1","1009803"
"100980322","1","0","22","350","0","0","7","0","1.32","0","1009803"
"100980323","4","0","23","0","0","0","0","2.32","0","1","1009803"
"100980324","2","vo_lsv_0305","24","0","0","vo_lsv","0","0","0","0","1009803"
