4a76a76f61ae18f9f7e98ca65f29a3719c8746026b831d667dc51da56832317d,95b768f55ecf439f38809ca48686fd77a0e2f23b122f187b9b279abd9b09e90b,fc6af5848f12e6bdc784bddd16aa08c2a7cf5635039f4b7b00bb6ec376c74862,3579d8028709fc6327fcba1eaffbb08eb2bed29f7e8ed626a8070fc97dbffcc9,72b39142622906c94a182cd2881e52aeebe99741c0e308cedcadce06c1fc5c80,26a7582a4f7d696f9727ace50e6f48d1c4a8ed41e78cbf0ae2f362de43e3ce82,5822a7514202e35a64f6f9d1ac1a4751389a3553abbb6a8166a7eaed8f269212,e4891ec0c40d8092f509795911bfd9379aa94f52400cbf87b72a4e79c1df6a45
"srt_inori_idle","","","0","srt_kaya_idle","srt_dragon_in,srt_dragon_idle","GAME_START","start_000-start_001,start_002/start_003-boss_emote_064-start_004"
"srt_inori_idle","","首先由我先來吧！","2","srt_kaya_idle","srt_dragon_idle","ENEMY_FIRST",""
"srt_inori_idle","","「{0}」嗎？\n由「{1}」韻來開頭的有……","2","srt_kaya_waiting","srt_dragon_idle","ENEMY_TURN1",""
"srt_inori_idle","","「{0}」嗎？\n嗯――，由「{1}」韻當開頭的詞呀……","2","srt_kaya_waiting","srt_dragon_idle","ENEMY_TURN2",""
"srt_inori_idle","","「{0}」嗎？\nOK――，接著是「{1}」韻吧。","2","srt_kaya_waiting","srt_dragon_idle","ENEMY_TURN3",""
"srt_inori_idle","","嘿嘿，是「{0}」嗎？\n「{1}」韻可以用\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」的注音來接呢！\n所以可以接的詞有……","2","srt_kaya_waiting","srt_dragon_idle","ENEMY_TURN_TW1",""
"srt_inori_idle","","原來是「{0}」啊？\n「{1}」的韻其實跟很多音相同喔，\n像是「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個詞，\n嗯――，所以可以用來接「{1}」韻的詞呀……","2","srt_kaya_waiting","srt_dragon_idle","ENEMY_TURN_TW2",""
"srt_inori_idle","","「{0}」嗎？\n「{1}」韻可以跟「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」\n這些單音相接喔……\n好啦，跟這個韻相同開頭的詞有……","2","srt_kaya_waiting","srt_dragon_idle","ENEMY_TURN_TW3",""
"","srt_homare_help","","0","srt_kaya_help","","ENEMY_HELP","sugoyomi_damage_059,sugoyomi_damage_060,sugoyomi_damage_061,sugoyomi_damage_062,sugoyomi_damage_063"
"","","","0","srt_kaya_flash","","ENEMY_FLASH",""
"srt_inori_react_1,srt_inori_idle","","是「{0}」！","2","srt_kaya_select_1,srt_kaya_waiting","srt_dragon_react_1,srt_dragon_idle","ENEMY_SELECT1","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058"
"srt_inori_react_1,srt_inori_idle","","是「{0}」呢！","2","srt_kaya_select_1,srt_kaya_waiting","srt_dragon_react_1,srt_dragon_idle","ENEMY_SELECT2","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058"
"srt_inori_react_1,srt_inori_idle","","是「{0}」喔！","2","srt_kaya_select_1,srt_kaya_waiting","srt_dragon_react_1,srt_dragon_idle","ENEMY_SELECT3","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058"
"srt_inori_react_1,srt_inori_idle","","「{0}」怎麼樣啊！","2","srt_kaya_select_1,srt_kaya_waiting","srt_dragon_react_1,srt_dragon_idle","ENEMY_SELECT_GREAT1","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058"
"srt_inori_react_1,srt_inori_idle","","嘿嘿～！是「{0}」！","2","srt_kaya_select_1,srt_kaya_waiting","srt_dragon_react_1,srt_dragon_idle","ENEMY_SELECT_GREAT2","sugoyomi_damage_055,sugoyomi_damage_056,sugoyomi_damage_057,sugoyomi_damage_058"
"","","","-1","","","ENEMY_SELECT_WAIT",""
"","","嘉夜夜，最後那是「鼻音」啊……","1","srt_kaya_shock","","ENEMY_SELECT_N","out_071"
"srt_inori_thinking","","「{0}」嗎？\n接著是由「{1}」韻所開頭的詞呢。","1","srt_kaya_waiting","srt_dragon_thinking","PLAYER_TURN1",""
"srt_inori_thinking","","「{0}」嗎？\n嗯――，由「{1}」韻當開頭的詞有……","1","srt_kaya_waiting","srt_dragon_thinking","PLAYER_TURN2",""
"srt_inori_thinking","","原來如此，是「{0}」呢。\n唔呣，由「{1}」韻作為開頭的詞有……","1","srt_kaya_waiting","srt_dragon_thinking","PLAYER_TURN3",""
"srt_inori_thinking","","哎呀，是「{0}」嗎？\n「{1}」這個韻有點特別，只要是\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個單音，\n都可以用來接「{1}」韻所開頭的詞呢。","1","srt_kaya_waiting","srt_dragon_thinking","PLAYER_TURN_TW1",""
"srt_inori_thinking","","哇啊，是「{0}」嗎？\n如果是「{1}」這個韻的話，像是\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個單音，\n跟「{1}」這個韻也是可以接上的喔！所以……","1","srt_kaya_waiting","srt_dragon_thinking","PLAYER_TURN_TW2",""
"srt_inori_thinking","","原來是「{0}」嗎？\n「{1}」這個韻可以接其他的注音，例如\n「ㄓ、ㄔ、ㄕ、ㄖ、ㄗ、ㄘ、ㄙ」這幾個發音，\n唔呣，所以我要選的詞應該是……","1","srt_kaya_waiting","srt_dragon_thinking","PLAYER_TURN_TW3",""
"","","","1","","","PLAYER_CUTIN_GREAT","sugoyomi_cutin_049,sugoyomi_cutin_051,sugoyomi_cutin_053"
"","","","1","","","PLAYER_CUTIN_PRICONNE","sugoyomi_cutin_050,sugoyomi_cutin_052"
"srt_inori_select_1,srt_inori_idle","","「{0}」！","1","srt_kaya_react_1,srt_kaya_waiting","srt_dragon_select_1,srt_dragon_idle","PLAYER_SELECT1","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038"
"srt_inori_select_2,srt_inori_idle","","是「{0}」呀！","1","srt_kaya_react_2,srt_kaya_waiting","srt_dragon_select_2,srt_dragon_idle","PLAYER_SELECT2","correct_030-correct_031,correct_035-correct_036"
"srt_inori_select_1,srt_inori_idle","","「{0}」這個詞如何！","1","srt_kaya_react_1,srt_kaya_waiting","srt_dragon_select_1,srt_dragon_idle","PLAYER_SELECT_GREAT1","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038"
"srt_inori_select_2,srt_inori_idle","","哼哼～♪「{0}」！","1","srt_kaya_react_2,srt_kaya_waiting","srt_dragon_select_2,srt_dragon_idle","PLAYER_SELECT_GREAT2","correct_030-correct_031,correct_035-correct_036"
"srt_inori_select_1,srt_inori_idle","","呵呵呵，那就是\n「{0}」了！","1","srt_kaya_react_1,srt_kaya_waiting","srt_dragon_select_1,srt_dragon_idle","PLAYER_SELECT_PRECONNE1","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038"
"srt_inori_select_2,srt_inori_idle","","腦中靈光一閃！\n是「{0}」呀！","1","srt_kaya_react_2,srt_kaya_waiting","srt_dragon_select_2,srt_dragon_idle","PLAYER_SELECT_PRECONNE2","correct_030-correct_031,correct_035-correct_036"
"","","","-1","","","PLAYER_SELECT_WAIT",""
"srt_inori_miss,srt_inori_thinking","","哇嗚！我、我搞錯了……","1","srt_kaya_react_3,srt_kaya_waiting","srt_dragon_miss,srt_dragon_thinking","PLAYER_MISS","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046"
"srt_inori_shock","","喂喂，尾音是「鼻音」耶……","2","srt_kaya_react_4","","PLAYER_SELECT_N","out_070"
"srt_inori_thinking","","我要積極進攻囉！","1","srt_kaya_infever","srt_dragon_thinking","INFEVER","rush"
"srt_inori_select_1","","「{0}」！","1","","srt_dragon_select_1","FEVER_SELECT1","correct_028-correct_029,correct_037-correct_038"
