77805ccf430737cfe532717982fb73dcf3f410746e00187dcdc1ec4fca4e546b,e28d9834edc3d1d355323a33a100bbcbfc75757edc31c9db74d1a6eb0f9f4d6b,879fbca335229accf555b34f61ffe41f6a5c2ae478ce577890cd65e61be86b62,5df66145a7405bb55bcceecd01b6599f2f00ca6bb3408f363220f8f6538fc897,b38cb430b21bb4f96a7ff4e2f5a509587a6a3b5e57dfe2bd25eb18783eac50d3,ba06f272182a9053011c1eee5999e7f18ef1dc20d068e3c51fc77a6930b421a3,9278d7a5dca7112efb0c86ce38740fef084fe969316ec17ed6e25a50a3f34a0c,a8d75f7a5da976812bc20e52642e5e8cba151e77de686fa5617c3920903a0ccd,d7ab436c03fa67bb8da572532c61f1d03b26c7acc57cf295edbebc6d5b26de0e,57b58acd3c53b161c62ec58f36c44ec44cad147d891d979fcf4a16c289d46b30,1ecff904c50498cb3fd994a89a8f3a89d7681b465c0b072f3ee60f28209001c8
"1","0","101","1.35","nyx_idle_normal","-421","-209.3","1","11010001","110","110931"
"1","0","101","1.35","nyx_idle_normal","121.8","-182.5","1","11010002","110","104831"
"1","0","101","1.35","nyx_idle_normal","227.7","-182.5","1","11010003","110","104631"
"1","1","101","1.35","nyx_talk_normal","340.3","-182.5","1","11010004","110","103231"
"1","1","101","1.35","nyx_idle_normal","449.6","-182.5","1","11010005","110","103431"
"5","0","101","1.35","NoItem","-421","-209.3","2","11010006","120","2"
"31","","101","1","","0","1","1","11010007","0","1"
"31","","101","0","","0","1","15","11010008","-300","3"
"31","","101","0","","0","1.5","15","11010009","-300","4"
"25","","101","","","","","bgm_M347","11010010","","bgm_M347"
"93","","101","","","","","2","11010011","",""
"3","","101","0.2","","nyx_101_chieru_loop","1","2","11010012","0","nyx_101_chieru_01"
"3","","101","0.2","","nyx_101_chieru_loop","1","110931","11010013","0","nyx_101_chieru_01"
"11","","101","","","","","110931","11010014","10","切嚕～♪\n一開始總而言之\n要有衝擊性！"
"93","","101","","","","","0.4","11010015","",""
"32","","101","","","","","3","11010016","","0"
"32","","101","","","","","3","11010017","","1"
"91","","101","","","","","11010014","11010018","",""
"11","","101","","","","","110931","11010019","10","我要當個用強而有力\n的第一聲切嚕緊抓住\n評審員的心的孩子"
"93","","101","","","","","1","11010020","",""
"3","","101","0.2","","","","103231","11010021","1","nyx_idle_joy1"
"3","","101","0.2","","","","104631","11010022","1","nyx_cmn_05"
"91","","101","","","","","11010019","11010023","",""
"3","","101","0.2","","nyx_101_chieru_loop","1","2","11010024","0","nyx_101_chieru_01"
"3","","101","0.2","","nyx_101_chieru_loop","1","110931","11010025","0","nyx_101_chieru_01"
"11","","101","","","","","110931","11010026","7","切嚕～♪\n不對，還可以更好……\n切～☆嚕～！"
"93","","101","","","","","0.4","11010027","",""
"32","","101","","","","","3","11010028","","0"
"32","","101","","","","","3","11010029","","1"
"93","","101","","","","","0.6","11010030","",""
"3","","101","0.2","","","","103431","11010031","1","nyx_talk_bitter"
"3","","101","0.2","","","","104631","11010032","1","nyx_cmn_04"
"93","","101","","","","","2","11010033","",""
