761d3e603d8c6b9c74c11e9e405fd6dc542815d66f49ede5f0a3c540c79c489e,9a93fd4df20c244550f16e0c3a88ef77beef68fa38b86be2e0dfa0a270b7424d,deaee71f4ec00a7ea5919c5c55f3ef81558aec6c188e39f293fb4709dcee34f6,786c1c566b2aab50926ac24b87023ab28c6413632d9c2fa081669af1a591f04d,3f568f223b1757cbfb4b88542044f5ca678001b5820f8fa6a30594bf987853c9,a2d66a0f772df1c18f9db6aee4f2727c612403eb3645f3f2e44730230875d7e8,d5e7ac389f667488e9cbf8f66925af1b4f7ff836042a72e6c65ed15276ffc813,0627e9e8ee995f6311f606b99076c892e8cbf78bb092b9d03d3c6e6c32d06cf9,60a142115f064031696359f5f25920e81be19ba51b30aeb36afbfcf37a074a90,26d3d548662bbad466e88ffe35bcbf415eb569ab62675f6803c6f063853772b6,21d0a2243bc594aba7d83adda0ad3e31cbc65a7093ab116f0d700418cd5d0ad0,1700f59ba40ba502f4d12623e3c50ef3db1f284d92ce35b65a63e1ff1ba4a4ab,e2bec2b49dc12ca0de19d88bc061123d16bf64f5b22e909ee2906474d6850b04,b3c2ed1cb2c158c3794d82299eaf4404c9af703088ac1e0c5b19641b9b881a9c,3c3306cda707fcb52833654b4b9297543460f7f7ce71a749a773db4a1808c65d,54207fb42173a5b1032ad6adfe1496966a2bf1b1ed272cb919a6aec773abacdf,b496a845e7787a4f1ee9d0aa393b1890132bd57fcda74dab886449136301b33b
"0","2015/04/01 15:00:00","0","1","0","完成 10 次主線或活動冒險","10","11001001","0","1008","200","1","101","2099/04/01 14:59:59","11001001","0","0"
"0","2019/03/06 16:00:00","0","1","0","完成 20 次主線或活動冒險","20","11001002","0","1008","200","1","101","2030/04/01 14:59:59","11001002","0","0"
"0","2015/04/01 15:00:00","0","1","0","完成 3 次主線(HARD、VERY HARD)或活動冒險(HARD)","3","11003001","0","1003","200","2","102","2099/04/01 14:59:59","11003001","0","0"
"0","2015/04/01 15:00:00","0","1","0","完成４次探索冒險","4","11004001","0","1004","202","7","103","2099/04/01 14:59:59","11004001","0","0"
"0","2015/04/01 15:00:00","0","1","0","完成 1 次地下城的戰鬥","1","11005001","0","1005","204","9","104","2099/04/01 14:59:59","11005001","0","0"
"0","2025/02/10 05:00:00","0","1","0","挑戰1次地下城","1","11005002","0","80000","603","15","122","2025/02/15 04:59:59","11005002","0","0"
"0","2025/02/10 05:00:00","0","1","0","通關1次地下城的戰鬥","1","11005003","0","80003","603","16","122","2025/02/15 04:59:59","11005003","0","0"
"0","2018/08/14 16:00:00","0","1","0","完成 1 次共鬥","1","11006001","0","1006","203","8","105","2019/03/06 15:59:00","11006001","0","0"
"0","2025/04/10 16:00:00","0","1","0","挑戰1次露娜之塔的冒險","1","11101001","0","1101","208","14","108","2025/04/15 15:59:59","11101001","0","0"
"0","2024/11/15 16:00:00","0","1","0","完成1次深淵討伐戰前哨冒險","1","11701001","0","1701","1007","17","132","2030/04/01 14:59:59","11701001","0","0"
"0","2015/04/01 15:00:00","0","1","0","抽 10 次一般轉蛋","10","13002001","0","3002","401","3","301","2099/04/01 14:59:59","13002001","0","0"
"0","2015/04/01 15:00:00","0","1","0","在戰鬥競技場戰鬥 1 次","1","14001001","0","4001","205","11","401","2099/04/01 14:59:59","14001001","0","0"
