d3a082422358143d9f059f979b0b2e2cc4aa9c3a424f31e713b8e7ad2b56cd9b,96facc7e6872875e0d0a5805762b8bd3a890f6c0bda42a7548dbf520a0227976,94f73d212c19fb7eb47d3a791693445a97fc778a62091b319642c4cf4db1e012,db2ff5c3a837e9845da7bad9c1d933f311616205afbd2e5c7cc67000a49b7e15,8c6041e8a72028d0a055ed5bbcbacb0868dc2662dacacd80681131974037d62b,3cc8b9a18e49dc3b5ab41cc33910776bf5405ab6218913ad54d707c8f0618391,8c7c792d36a4e59d3cccb927d07dd55117e00117808ceb59bba80193d04e197c,ef50fd1d76bad6691a34d0dadabdab5b247b4a3d59f5b8bfab8233297f2954ca,d627f0f0b5ca0e6f953faa683249c2062f4a534b55c1cc2a4c921637106c4131
"50","30000","0","5000","0","0","20000","0","100111"
"50","30000","0","5000","0","0","20000","0","100112"
"50","30000","0","5000","0","0","20000","0","100113"
"125","45000","0","12500","0","0","30000","0","100121"
"125","45000","0","12500","0","0","30000","0","100122"
"125","45000","0","12500","0","0","30000","0","100123"
"200","60000","0","20000","0","0","40000","0","100131"
"200","60000","0","20000","0","0","40000","0","100132"
"200","60000","0","20000","0","0","40000","0","100133"
"50","30000","0","5000","0","0","20000","0","100211"
"50","30000","0","5000","0","0","20000","0","100212"
"50","30000","0","5000","0","0","20000","0","100213"
"125","45000","0","12500","0","0","30000","0","100221"
"125","45000","0","12500","0","0","30000","0","100222"
"125","45000","0","12500","0","0","30000","0","100223"
"200","60000","0","20000","0","0","40000","0","100231"
"200","60000","0","20000","0","0","40000","0","100232"
"200","60000","0","20000","0","0","40000","0","100233"
"50","30000","0","5000","0","0","20000","0","100311"
"50","30000","0","5000","0","0","20000","0","100312"
"50","30000","0","5000","0","0","20000","0","100313"
"125","45000","0","12500","0","0","30000","0","100321"
"125","45000","0","12500","0","0","30000","0","100322"
"125","45000","0","12500","0","0","30000","0","100323"
"200","60000","0","20000","0","0","40000","0","100331"
"200","60000","0","20000","0","0","40000","0","100332"
"200","60000","0","20000","0","0","40000","0","100333"
"50","30000","0","5000","0","0","20000","0","100411"
"50","30000","0","5000","0","0","20000","0","100412"
"50","30000","0","5000","0","0","20000","0","100413"
"125","45000","0","12500","0","0","30000","0","100421"
"125","45000","0","12500","0","0","30000","0","100422"
"125","45000","0","12500","0","0","30000","0","100423"
"200","60000","0","20000","0","0","40000","0","100431"
"200","60000","0","20000","0","0","40000","0","100432"
"200","60000","0","20000","0","0","40000","0","100433"
"50","30000","0","5000","0","0","20000","0","100511"
"50","30000","0","5000","0","0","20000","0","100512"
"50","30000","0","5000","0","0","20000","0","100513"
"125","45000","0","12500","0","0","30000","0","100521"
"125","45000","0","12500","0","0","30000","0","100522"
"125","45000","0","12500","0","0","30000","0","100523"
"200","60000","0","20000","0","0","40000","0","100531"
"200","60000","0","20000","0","0","40000","0","100532"
"200","60000","0","20000","0","0","40000","0","100533"
"50","30000","0","5000","0","0","20000","0","100611"
"50","30000","0","5000","0","0","20000","0","100612"
"50","30000","0","5000","0","0","20000","0","100613"
"125","45000","0","12500","0","0","30000","0","100621"
"125","45000","0","12500","0","0","30000","0","100622"
"125","45000","0","12500","0","0","30000","0","100623"
"200","60000","0","20000","0","0","40000","0","100631"
"200","60000","0","20000","0","0","40000","0","100632"
"200","60000","0","20000","0","0","40000","0","100633"
"50","30000","0","5000","0","0","20000","0","100711"
"50","30000","0","5000","0","0","20000","0","100712"
"50","30000","0","5000","0","0","20000","0","100713"
"125","45000","0","12500","0","0","30000","0","100721"
"125","45000","0","12500","0","0","30000","0","100722"
"125","45000","0","12500","0","0","30000","0","100723"
"200","60000","0","20000","0","0","40000","0","100731"
"200","60000","0","20000","0","0","40000","0","100732"
"200","60000","0","20000","0","0","40000","0","100733"
"50","30000","0","5000","0","0","20000","0","100811"
"50","30000","0","5000","0","0","20000","0","100812"
"50","30000","0","5000","0","0","20000","0","100813"
"125","45000","0","12500","0","0","30000","0","100821"
"125","45000","0","12500","0","0","30000","0","100822"
"125","45000","0","12500","0","0","30000","0","100823"
"200","60000","0","20000","0","0","40000","0","100831"
"200","60000","0","20000","0","0","40000","0","100832"
"200","60000","0","20000","0","0","40000","0","100833"
"50","30000","0","5000","0","0","20000","0","100911"
"50","30000","0","5000","0","0","20000","0","100912"
"50","30000","0","5000","0","0","20000","0","100913"
"125","45000","0","12500","0","0","30000","0","100921"
"125","45000","0","12500","0","0","30000","0","100922"
"125","45000","0","12500","0","0","30000","0","100923"
"200","60000","0","20000","0","0","40000","0","100931"
"200","60000","0","20000","0","0","40000","0","100932"
"200","60000","0","20000","0","0","40000","0","100933"
