cfb6ffe7ffd4b6724a0e7f423062875c29cc75469f64202b833d6b7bf432bdc8,feac741fe7375a61593603797f70e73fb1396fd282ea1046ba95a8ecd94f0e3e,937d116b15b2801443d839165b89315f96fe4ec6cda4826f74d58a8ece61378f,d8ed91a78da0beae3c7f2c9929c21fc137f07219e32636aaf1dfcf84c331931a,43285204e4852e307d37692bf4ca528cd26e8beda9ad63df7c0b771f99264eea,6a8aeacb6b7f92e5f32116f6ba0c88a10b97a02f53017ad7733bf7de2b39d558
"1005","211","802100290","1","212","2114001"
"1006","211","802100290","1","212","2114002"
"1007","211","802100290","1","212","2114003"
"1008","211","802100290","1","212","2114004"
"100501","104","802100266","0","100","2113061"
"100502","104","802100266","0","100","2113062"
"100503","105","802100266","0","102","2113063"
"100504","106","802100266","0","103","2113064"
"100505","104","802100266","0","100","2113065"
"100506","104","802100266","0","100","2113066"
"100507","105","802100266","0","102","2113067"
"100508","106","802100266","0","103","2113068"
"100509","104","802100266","0","100","2113069"
"100510","104","802100266","0","100","2113070"
"100511","104","802100267","0","100","2113071"
"100512","104","802100267","0","100","2113072"
"100513","105","802100267","0","102","2113073"
"100514","106","802100267","0","103","2113074"
"100515","104","802100267","0","100","2113075"
"100516","104","802100267","0","100","2113076"
"100517","105","802100267","0","102","2113077"
"100518","106","802100267","0","103","2113078"
"100519","104","802100267","0","100","2113079"
"100520","104","802100267","0","100","2113080"
"100521","104","802100268","0","100","2113081"
"100522","104","802100268","0","100","2113082"
"100523","105","802100268","0","102","2113083"
"100524","106","802100268","0","103","2113084"
"100525","104","802100268","0","100","2113085"
"100526","208","802100268","1","112","2113086"
"100527","201","802100268","1","110","2113087"
"100528","104","802100268","0","100","2113088"
"100529","105","802100268","0","102","2113089"
"100530","106","802100268","0","103","2113090"
"100601","203","802100263","1","114","2113031"
"100602","202","802100263","1","113","2113032"
"100603","105","802100263","0","102","2113033"
"100604","106","802100263","0","103","2113034"
"100605","203","802100263","1","114","2113035"
"100606","202","802100263","1","113","2113036"
"100607","204","802100263","1","111","2113037"
"100608","202","802100263","1","113","2113038"
"100609","202","802100263","1","113","2113039"
"100610","106","802100263","0","103","2113040"
"100611","203","802100264","1","114","2113041"
"100612","202","802100264","1","113","2113042"
"100613","105","802100264","0","102","2113043"
"100614","106","802100264","0","103","2113044"
"100615","203","802100264","1","114","2113045"
"100616","202","802100264","1","113","2113046"
"100617","204","802100264","1","111","2113047"
"100618","202","802100264","1","113","2113048"
"100619","202","802100264","1","113","2113049"
"100620","106","802100264","0","103","2113050"
"100621","105","802100265","0","102","2113051"
"100622","203","802100265","1","114","2113052"
"100623","202","802100265","1","113","2113053"
"100624","204","802100265","1","111","2113054"
"100625","106","802100265","0","103","2113055"
"100626","208","802100265","1","112","2113056"
"100627","201","802100265","1","110","2113057"
"100628","203","802100265","1","114","2113058"
"100629","202","802100265","1","113","2113059"
"100630","106","802100265","0","103","2113060"
"100701","205","802100269","1","112","2113091"
"100702","206","802100269","1","112","2113092"
"100703","102","802100269","0","117","2113093"
"100704","105","802100269","0","102","2113094"
"100705","105","802100269","0","102","2113095"
"100706","202","802100269","1","113","2113096"
"100707","203","802100269","1","114","2113097"
"100708","102","802100269","0","117","2113098"
"100709","105","802100269","0","102","2113099"
"100710","202","802100269","1","113","2113100"
"100711","205","802100270","1","112","2115001"
"100712","102","802100270","0","117","2115002"
"100713","105","802100270","0","102","2115003"
"100714","106","802100270","0","103","2115004"
"100715","203","802100270","1","114","2115005"
"100716","202","802100270","1","113","2115006"
"100717","207","802100270","1","112","2115007"
"100718","105","802100270","0","102","2115008"
"100719","106","802100270","0","103","2115009"
"100720","202","802100270","1","113","2115010"
"100721","205","802100271","1","112","2115011"
"100722","208","802100271","1","112","2115012"
"100723","102","802100271","0","117","2115013"
"100724","105","802100271","0","102","2115014"
"100725","106","802100271","0","103","2115015"
"100726","208","802100271","1","112","2115016"
"100727","201","802100271","1","110","2115017"
"100728","102","802100271","0","117","2115018"
"100729","105","802100271","0","102","2115019"
"100730","106","802100271","0","103","2115020"
"100801","103","802100260","0","104","2113001"
"100802","104","802100260","0","100","2113002"
"100803","104","802100260","0","100","2113003"
"100804","105","802100260","0","102","2113004"
"100805","105","802100260","0","102","2113005"
"100806","104","802100260","0","100","2113006"
"100807","104","802100260","0","100","2113007"
"100808","105","802100260","0","102","2113008"
"100809","105","802100260","0","102","2113009"
"100810","107","802100260","0","101","2113010"
"100811","103","802100261","0","104","2113011"
"100812","104","802100261","0","100","2113012"
"100813","104","802100261","0","100","2113013"
"100814","105","802100261","0","102","2113014"
"100815","106","802100261","0","103","2113015"
"100816","104","802100261","0","100","2113016"
"100817","104","802100261","0","100","2113017"
"100818","105","802100261","0","102","2113018"
"100819","106","802100261","0","103","2113019"
"100820","104","802100261","0","100","2113020"
"100821","103","802100262","0","104","2113021"
"100822","104","802100262","0","100","2113022"
"100823","104","802100262","0","100","2113023"
"100824","105","802100262","0","102","2113024"
"100825","105","802100262","0","102","2113025"
"100826","208","802100262","1","112","2113026"
"100827","201","802100262","1","110","2113027"
"100828","105","802100262","0","102","2113028"
"100829","106","802100262","0","103","2113029"
"100830","103","802100262","0","104","2113030"
