96d6ab0dd7f1364b9f131005b4c96300ed3220e46395bfdefa499f08793689d9,cc765a2fa6d0915c0c61843c9c9789f5539cda415a1f3609d92ad72869f5a0d7,0c762160920c90822c8fc040aff69f0e6a207fe9cb59888290dbc76507ce8dfd,8dbdd80b0f6cec277fbb83f393ff867bf3b148e0e4037d160d0f7d0fd8a411cf,9dc4aba7e1d65870b10a86293c2b9d0dd478f8f2deb7470feb03b82539eef8fa,ac68b79d647558835999c0258bd9a0f00693340c9980d4e705be9c42c0adfffd,2036418cd5bc861eda15f50af7798a2b065e1bdc7b943fac010832b3af55d71b,8bdd5ff82b9c29d7111604c26d5398dadda4f0c686562b54be45aad9ffd86daf,1bd292797a314a93debc66753f2d982d20a46999c781eb8841d3de2c50ea748a,bde14df0ed4484f10fc6da957503b7700af72e7462eac0333d700db89ebe0a65,6949964f4e68363e7aa172e45725b9d47fd69456a1a9dced71f419bcdb038e6e
"129811","1","1","1.65","1","1","1001","-224","drama_idle","167","100"
"129911","0","1","1.65","1","1","1002","-224","drama_idle","-49","100"
"drama_idle","","3","0.2","1","129811","1003","","","","1"
"drama_talk_arm_crossed_in","0","3","0.2","1","129911","1004","1","","drama_talk_arm_crossed_loop","0"
"vo_minigame_1013_top_talk_1_000","","21","","1","vo_minigame_1013","1005","","","0","0"
"既然魔物會\n源源不絕地湧出，\n戰鬥就不缺對手。\n不如說正好當作訓練。","0","11","0","1","129911","1006","0","0","1","5"
"","","91","","1","0","1007","","","",""
"drama_idle_arm_crossed","","3","0.2","1","129911","1008","","","","1"
"drama_talk_doya_in_smile","0","3","0.2","1","129811","1009","1","","drama_talk_doya_loop_smile","0"
"vo_minigame_1013_top_talk_1_001","","21","","1","vo_minigame_1013","1010","","","0","0"
"哈哈……\n被這樣對待，\n就算是魔物我也覺得\n有點同情它們了啊～","0","11","0","1","129811","1011","0","0.3","1","5"
"","","91","","1","0","1012","","","",""
"drama_idle_arm_crossed","","3","0.2","1","129811","1013","","","","1"
"drama_talk_smile_in","0","3","0.2","1","129911","1014","1","","drama_talk_smile_loop","0"
"vo_minigame_1013_top_talk_1_002","","21","","1","vo_minigame_1013","1015","","","0","0"
"如果能有助於訓練，\n它們也會感到光榮吧。\n嘻嘻……我好像聽見\n喜悅的叫聲了。","0","11","0","1","129911","1016","0","0.5","1","4"
"","","91","","1","0","1017","","","",""
"drama_idle","","3","0.2","1","129911","1018","","","","1"
"drama_idle","","3","0.2","1","129811","1019","","","","1"
"129811","1","1","1.65","2","1","2001","-224","drama_idle","167","100"
"129911","0","1","1.65","2","1","2002","-224","drama_idle","-49","100"
"drama_idle","","3","0.2","2","129911","2003","","","","1"
"drama_talk_admire_in","","3","0.2","2","129811","2004","1","","drama_talk_admire_loop","0"
"vo_minigame_1013_top_talk_2_000","","21","","2","vo_minigame_1013","2005","","","0","0"
"像這樣將眾多士兵\n聚集起來真是壯觀呢。\n場面魄力十足，\n完全不像是訓練兵喔。","0","11","0","2","129811","2006","0","0.5","1","6"
"","","91","","2","0","2007","","","",""
"drama_idle_admire","","3","0.2","2","129811","2008","","","","1"
"drama_talk_arm_crossed_in","","3","0.2","2","129911","2009","1","","drama_talk_arm_crossed_loop","0"
"vo_minigame_1013_top_talk_2_001","","21","","2","vo_minigame_1013","2010","","","0","0"
"讓他們服從，\n教育他們的是我們……\n我們要回應期待，\n全力栽培他們吧。","0","11","0","2","129911","2011","0","0.3","1","4"
"","","91","","2","0","2012","","","",""
"drama_idle_arm_crossed","","3","0.2","2","129911","2013","","","","1"
"drama_talk_guts2_in","","3","0.2","2","129811","2014","1","","drama_talk_guts2_loop","0"
"vo_minigame_1013_top_talk_2_002","","21","","2","vo_minigame_1013","2015","","","0","0"
"惠理子確實也\n很有教官的架式了。\n好～\n我也不能輸啊！","0","11","0","2","129811","2016","0","0.3","1","5"
"","","91","","2","0","2017","","","",""
"drama_idle","","3","0.2","2","129811","2018","","","","1"
"drama_idle","","3","0.2","2","129911","2019","","","","1"
"129811","1","1","1.65","3","1","3001","-224","drama_idle","167","100"
"129911","0","1","1.65","3","1","3002","-224","drama_idle","-49","100"
"drama_idle","","3","0.2","3","129811","3003","","","","1"
"drama_talk_thinking","","3","0.2","3","129911","3004","","","","1"
"vo_minigame_1013_top_talk_3_000","","21","","3","vo_minigame_1013","3005","","","0","0"
"實際與魔物展開對峙，\n揮刀砍進對方的身體。\n正因為有這手感，\n才能算是訓練呢。","0","11","0","3","129911","3006","0","0.8","1","5"
"","","91","","3","0","3007","","","",""
"drama_idle_thinking","","3","0.2","3","129911","3008","","","","1"
"drama_talk_sad_in","","3","0.2","3","129811","3009","1","","drama_talk_sad_loop","0"
"vo_minigame_1013_top_talk_3_001","","21","","3","vo_minigame_1013","3010","","","0","0"
"妳的發言還是\n一樣危險……不過，\n比起理論更重視實踐\n也是一種指導方式吧。","0","11","0","3","129811","3011","0","0.5","1","6"
"","","91","","3","0","3012","","","",""
"drama_idle_sad","","3","0.2","3","129811","3013","","","","1"
"drama_talk_arm_crossed_in","","3","0.2","3","129911","3014","1","","drama_talk_arm_crossed_loop","0"
"vo_minigame_1013_top_talk_3_002","","21","","3","vo_minigame_1013","3015","","","0","0"
"那麼\n實踐教育的優點\n就讓新兵們\n親身體驗吧。","0","11","0","3","129911","3016","0","0.3","1","4"
"","","91","","3","0","3017","","","",""
"drama_idle","","3","0.2","3","129811","3018","","","","1"
"drama_idle","","3","0.2","3","129911","3019","","","","1"
"129811","1","1","1.65","4","1","4001","-224","drama_idle","167","100"
"129911","0","1","1.65","4","1","4002","-224","drama_idle","-49","100"
"drama_idle","","3","0.2","4","129911","4003","","","","1"
"drama_talk_doya_in_shy","","3","0.2","4","129811","4004","1","","drama_talk_doya_loop_shy","0"
"vo_minigame_1013_top_talk_4_000","","21","","4","vo_minigame_1013","4005","","","0","0"
"真要說的話，\n因為我也是個感覺派，\n所以有點不擅長\n教別人東西呢。","0","11","0","4","129811","4006","0","0.3","1","5"
"","","91","","4","0","4007","","","",""
"drama_idle_doya_shy","","3","0.2","4","129811","4008","","","","1"
"drama_talk_wish_in","","3","0.2","4","129911","4009","1","","drama_talk_wish_loop","0"
"vo_minigame_1013_top_talk_4_001","","21","","4","vo_minigame_1013","4010","","","0","0"
"只要彼此互相信賴，\n不用言語也能傳達。\n就像我\n與那位大人一樣……","0","11","0","4","129911","4011","0","0.5","1","4"
"","","91","","4","0","4012","","","",""
"drama_idle_wish","","3","0.2","4","129911","4013","","","","1"
"drama_idle_thinking_shy","","3","0.2","4","129811","4014","0","","","1"
"vo_minigame_1013_top_talk_4_002","","21","","4","vo_minigame_1013","4015","","","0","0"
"（原來如此，那樣的話\n我也能好好傳達\n給他……呃，我在\n胡思亂想什麼啊～！）","0","11","0","4","129811","4016","0","0","1","7"
"","","91","","4","0","4017","","","",""
"drama_idle","","3","0.2","4","129911","4018","","","","1"
"drama_idle","","3","0.2","4","129811","4019","","","","1"
"129811","1","1","1.65","5","1","5001","-224","drama_idle","167","100"
"129911","0","1","1.65","5","1","5002","-224","drama_idle","-49","100"
"drama_idle","","3","0.2","5","129811","5003","","","","1"
"drama_talk_thinking","","3","0.2","5","129911","5004","","","","1"
"vo_minigame_1013_top_talk_5_000","","21","","5","vo_minigame_1013","5005","","","0","0"
"只要透過訓練交出成果\n勳章也會大大\n增添光彩……\n真是太棒了。","0","11","0","5","129911","5006","0","0.8","1","5"
"","","91","","5","0","5007","","","",""
"drama_idle_thinking","","3","0.2","5","129911","5008","","","","1"
"drama_talk_wonder_in","","3","0.2","5","129811","5009","1","","drama_talk_wonder_loop","0"
"vo_minigame_1013_top_talk_5_001","","21","","5","vo_minigame_1013","5010","","","0","0"
"雖然動機不單純，\n但妳作為教官\n果然很優秀呢～\n真不可思議啊。","0","11","0","5","129811","5011","0","0.3","1","5"
"","","91","","5","0","5012","","","",""
"drama_idle_wonder","","3","0.2","5","129811","5013","","","","1"
"drama_talk_memory","","3","0.2","5","129911","5014","","","","1"
"vo_minigame_1013_top_talk_5_002","","21","","5","vo_minigame_1013","5015","","","0","0"
"「不愧是惠理子呢！\n身為伴侶的我\n也感到非常自豪喔」\n這種話……嘻嘻嘻……","0","11","0","5","129911","5016","0","0.5","1","4"
"","","91","","5","0","5017","","","",""
"drama_idle","","3","0.2","5","129811","5018","","","","1"
"drama_idle","","3","0.2","5","129911","5019","","","","1"
"129811","1","1","1.65","6","1","6001","-224","drama_idle","167","100"
"129911","0","1","1.65","6","1","6002","-224","drama_idle","-49","100"
"drama_idle","","3","0.2","6","129911","6003","","","","1"
"drama_talk_thinking_shy","","3","0.2","6","129811","6004","","","","1"
"vo_minigame_1013_top_talk_6_000","","21","","6","vo_minigame_1013","6005","","","0","0"
"要是我也努力完成\n教官的工作，\n那傢伙也會\n感到高興嗎……","0","11","0","6","129811","6006","0","0.3","1","6"
"","","91","","6","0","6007","","","",""
"drama_idle_thinking_shy","","3","0.2","6","129811","6008","","","","1"
"drama_talk_doubt_in","","3","0.2","6","129911","6009","1","","drama_talk_doubt_loop","0"
"vo_minigame_1013_top_talk_6_001","","21","","6","vo_minigame_1013","6010","","","0","0"
"真琴？\n怎麼了嗎？\n我好像感覺到\n一股危險的氣息。","0","11","0","6","129911","6011","0","0.8","1","4"
"","","91","","6","0","6012","","","",""
"drama_idle_doubt","","3","0.2","6","129911","6013","","","","1"
"drama_talk_surprise_in_shy","","3","0.2","6","129811","6014","1","","drama_talk_surprise_loop_shy","0"
"vo_minigame_1013_top_talk_6_002","","21","","6","vo_minigame_1013","6015","","","0","0"
"沒、沒事，沒什麼！\n我才沒在思考\n奇怪的事情！\n重要的是訓練！","0","11","0","6","129811","6016","0","0.3","1","7"
"","","91","","6","0","6017","","","",""
"drama_idle","","3","0.2","6","129911","6018","","","","1"
"drama_idle","","3","0.2","6","129811","6019","","","","1"
"129811","1","1","1.65","7","1","7001","-224","drama_idle","167","100"
"129911","0","1","1.65","7","1","7002","-224","drama_idle","-49","100"
"drama_idle","","3","0.2","7","129811","7003","","","","1"
"drama_talk_arm_crossed_in","","3","0.2","7","129911","7004","1","","drama_talk_arm_crossed_loop","0"
"vo_minigame_1013_top_talk_7_000","","21","","7","vo_minigame_1013","7005","","","0","0"
"我班上的所有人\n看來也依舊勤奮地\n進行訓練呢。\n值得讚賞。","0","11","0","7","129911","7006","0","0.3","1","5"
"","","91","","7","0","7007","","","",""
"drama_idle_arm_crossed","","3","0.2","7","129911","7008","","","","1"
"drama_talk_guts2_in","","3","0.2","7","129811","7009","1","","drama_talk_guts2_loop","0"
"vo_minigame_1013_top_talk_7_001","","21","","7","vo_minigame_1013","7010","","","0","0"
"惠理子班的急遽成長\n在騎士團中也\n成了話題呢。\n真是群厲害的傢伙。","0","11","0","7","129811","7011","0","0","1","5"
"","","91","","7","0","7012","","","",""
"drama_idle_guts2","","3","0.2","7","129811","7013","","","","1"
"drama_talk_thinking","","3","0.2","7","129911","7014","","","","1"
"vo_minigame_1013_top_talk_7_002","","21","","7","vo_minigame_1013","7015","","","0","0"
"正因為他們順從於我，\n努力不懈，\n才有如此有所收穫……\n……得好好感謝他們。","0","11","0","7","129911","7016","0","0.5","1","5"
"","","91","","7","0","7017","","","",""
"drama_idle","","3","0.2","7","129811","7018","","","","1"
"drama_idle","","3","0.2","7","129911","7019","","","","1"
"129811","1","1","1.65","8","1","8001","-224","drama_idle","167","100"
"129911","0","1","1.65","8","1","8002","-224","drama_idle","-49","100"
"drama_idle","","3","0.2","8","129911","8003","","","","1"
"drama_talk_doya_in_smile","","3","0.2","8","129811","8004","1","","drama_talk_doya_loop_smile","0"
"vo_minigame_1013_top_talk_8_000","","21","","8","vo_minigame_1013","8005","","","0","0"
"真琴班的所有人\n似乎也很認真努力。\n我身為教官\n感到非常高興喔。","0","11","0","8","129811","8006","0","0.3","1","6"
"","","91","","8","0","8007","","","",""
"drama_idle_doya_smile","","3","0.2","8","129811","8008","","","","1"
"drama_talk_arm_crossed_in","","3","0.2","8","129911","8009","1","","drama_talk_arm_crossed_loop","0"
"vo_minigame_1013_top_talk_8_001","","21","","8","vo_minigame_1013","8010","","","0","0"
"訓練也順利完成，\n簡直是優等生呢。\n雖然你們的成績\n不如我的班就是了。","0","11","0","8","129911","8011","0","0.8","1","4"
"","","91","","8","0","8012","","","",""
"drama_idle_arm_crossed","","3","0.2","8","129911","8013","","","","1"
"drama_talk_anger","","3","0.2","8","129811","8014","","","","1"
"vo_minigame_1013_top_talk_8_002","","21","","8","vo_minigame_1013","8015","","","0","0"
"唔，被妳這麼一說，\n感覺真不甘心……！\n那麼，我就用這場\n行軍訓練逆轉戰局！","0","11","0","8","129811","8016","0","0.3","1","7"
