edfd6ae9206661a844c19a41fb779ef523f7b1d52253fb23469f7b539ef33814,3ff2d422de791547ed161e0588abc400b9eeec715f691933c5a75dcba63cecf9,5a447d7c15239ea6de0f35ea1709e1704afa57d3c5858a287cc56c5d58fd4124,3f851261f842dc38fdd177c7bf1ed5ea66659abdef2de193cdf62d7b4e229a36,6817700c4459e434cae3f57112abaa0c4755c3e1e9cc1ae2509726ac911d00dc,60aec4feca150b417f1625a5619d0eb09174bef9a4911ae6f47c09eb0264e72d,8b7f1d1e533511908f65bca822d3de19ebc76d3c767f84c22516a2f411cbc3eb,63231c86cffd62682e7501bc54a8b111a09f6af22615f0493b52c38bffb57d58
"96001","2","20000","1","21952","1","1","1"
"96001","2","10000","2","21904","1","1","1"
"96001","2","10000","3","41000","1","1","1"
"96001","2","2000","4","31803","1","5","5"
"96001","2","1500","5","31215","1","5","5"
"96001","2","1500","6","31210","1","5","5"
"96001","2","1500","7","31211","1","5","5"
"96001","2","1250","8","90005","1","5","10"
"96001","4","500","9","140001","1","10","20"
"96001","2","500","10","25001","1","5","10"
"96001","4","100","11","150003","1","5","5"
"96001","4","130","12","150004","1","5","5"
"96001","4","150","13","150005","1","5","5"
"96001","4","180","14","150006","1","5","5"
"96001","4","200","15","150007","1","5","5"
"96001","4","230","16","150008","1","5","5"
"96001","2","500","17","20004","1","100","5"
"96001","2","200","18","22003","1","100","5"
"96001","2","1000","19","20004","1","100","0"
"96001","2","400","20","22003","1","100","0"
"96002","2","20000","21","21952","2","1","1"
"96002","2","10000","22","21904","2","1","1"
"96002","2","10000","23","41000","2","1","1"
"96002","2","1500","24","31233","2","5","5"
"96002","2","1500","25","31229","2","5","5"
"96002","2","1500","26","31225","2","5","5"
"96002","2","1250","27","90005","2","5","10"
"96002","4","500","28","140001","2","10","20"
"96002","2","500","29","25001","2","5","10"
"96002","4","100","30","150003","2","5","5"
"96002","4","130","31","150004","2","5","5"
"96002","4","150","32","150005","2","5","5"
"96002","4","180","33","150006","2","5","5"
"96002","4","200","34","150007","2","5","5"
"96002","4","230","35","150008","2","5","5"
"96002","2","500","36","20004","2","100","5"
"96002","2","200","37","22003","2","100","5"
"96002","2","1000","38","20004","2","100","0"
"96002","2","400","39","22003","2","100","0"
"96003","2","20000","40","21952","3","1","1"
"96003","2","10000","41","21905","3","1","1"
"96003","2","10000","42","41000","3","1","1"
"96003","2","2000","43","31805","3","5","5"
"96003","2","1500","44","31240","3","5","5"
"96003","2","1500","45","31238","3","5","5"
"96003","2","1500","46","31236","3","5","5"
"96003","2","2500","47","90005","3","10","5"
"96003","4","2500","48","140001","3","50","5"
"96003","2","500","49","25001","3","5","5"
"96003","4","500","50","150003","3","30","5"
"96003","4","650","51","150004","3","30","5"
"96003","4","750","52","150005","3","30","5"
"96003","4","900","53","150006","3","30","5"
"96003","4","1000","54","150007","3","30","5"
"96003","4","1150","55","150008","3","30","5"
"96003","2","2500","56","20004","3","500","5"
"96003","2","1000","57","22003","3","500","5"
"96003","2","1000","58","20004","3","100","0"
"96003","2","400","59","22003","3","100","0"
"96004","2","20000","60","21952","4","1","1"
"96004","2","10000","61","21905","4","1","1"
"96004","2","10000","62","41000","4","1","2"
"96004","2","2000","63","31807","4","5","5"
"96004","2","1500","64","31245","4","5","5"
"96004","2","1500","65","31248","4","5","5"
"96004","2","1500","66","31250","4","5","5"
"96004","2","1500","67","31091","4","5","5"
"96004","2","2500","68","90005","4","10","5"
"96004","4","2500","69","140001","4","50","10"
"96004","2","1000","70","25001","4","10","10"
"96004","4","500","71","150003","4","30","5"
"96004","4","650","72","150004","4","30","5"
"96004","4","750","73","150005","4","30","5"
"96004","4","900","74","150006","4","30","5"
"96004","4","1000","75","150007","4","30","5"
"96004","4","1150","76","150008","4","30","5"
"96004","4","1300","77","150009","4","30","5"
"96004","2","2500","78","20004","4","500","5"
"96004","2","1000","79","22003","4","500","5"
"96004","2","1000","80","20004","4","100","0"
"96004","2","400","81","22003","4","100","0"
"96005","2","20000","82","25101","5","1","1"
"96005","2","20000","83","21952","5","1","1"
"96005","2","10000","84","21905","5","1","1"
"96005","2","10000","85","41000","5","1","2"
"96005","2","1500","86","31200","5","5","5"
"96005","2","1500","87","31253","5","5","5"
"96005","2","1500","88","31255","5","5","5"
"96005","2","1500","89","31256","5","5","5"
"96005","2","2500","90","90005","5","10","5"
"96005","4","2500","91","140001","5","50","10"
"96005","2","1000","92","25001","5","10","10"
"96005","4","500","93","150003","5","30","5"
"96005","4","650","94","150004","5","30","5"
"96005","4","750","95","150005","5","30","5"
"96005","4","900","96","150006","5","30","5"
"96005","4","1000","97","150007","5","30","5"
"96005","4","1150","98","150008","5","30","5"
"96005","4","1300","99","150009","5","30","5"
"96005","2","2500","100","20004","5","500","5"
"96005","2","1000","101","22003","5","500","5"
"96005","2","1000","102","20004","5","100","0"
"96005","2","400","103","22003","5","100","0"
