f4b0965bd46597de1348af0bfd13c18f58acd0ac3ba03c56c9b00e55d545ae1f,8706e959669d02a5a85d8fbef57811872120a896fe2f675fc92b00e67bbe609e,2082595aec286ef0df1d8d668a238b6781392764753b228989a7d0e12c940b1a,b0a10590e83446b371981f118f0a8271eaa1f99e499bb4626f94b57f2fe59052,50e68e4473495ff2594ef579de4766f8157fa794ba40a856c2a85e8b09b282cd
"111011101","1","3","1","0"
"111021101","1","3","1","0"
"133011101","1","3","1","0"
"133011201","1","5","1","0"
"133020101","1","3","1","0"
"133020201","1","3","1","1"
"133030101","1","3","1","0"
"133030201","2","3","1","0"
"133030301","3","3","1","0"
"133030401","1","3","1","1"
"133030501","2","3","1","1"
"133030601","3","3","1","1"
"133040101","1","3","1","0"
"133040201","1","3","1","1"
"133040301","1","3","1","2"
"133040401","1","3","1","3"
"133051101","1","3","1","0"
"133051201","1","5","1","0"
"134010101","1","3","2","0"
"134010201","3","3","2","0"
"134021101","1","3","1","0"
"134021201","1","5","1","0"
"140010101","1","4","2","0"
"140010201","1","1","2","1"
"140010301","1","1","2","0"
"140020101","3","1","1","0"
