7c65c93b824352b4b67c4067c1a775e67568e65b647a2ec5e95eccb736b7d753,78825af900348148fbe4f6855f56a52845158e8506c4cab9575e7825ea99c795,fce6b74c0c99d29978da0b9c30b2119c94628a28fee1c3d1808dccb542d4c83e,a5eae0e76b52f77a5859bee700cda280562c1f45a133bb5d99c9687f2c9edce5,50b535cca6e0fb63e51a762a574fe18d37045f9e8fe5feac55a6be3f4e5e76e3,a4664b725f8e82b091ec00662b018329e79b590abc11df7c8ab8e16cb1f7f4c7,1e017107b8194d6dd5d1f0758372dd4266436024954c44b2f99b9da00d2ca740
"1","0","0","3","1","獲得料理活動","0"
"2","0","0","1","2","獲得骰子活動1","0"
"3","0","0","2","2","獲得骰子活動2","0"
"4","0","1","0","3","跳過計算回合數","3"
"5","1","0","100","4","里程+100%","2"
"6","1","0","100","5","小遊戲里程+100%","2"
"7","1","0","300","6","商店打折活動","3"
"8","1","0","300","6","商店打折活動","3"
"98001","0","2","0","3","跳過計算回合數1","3"
"98011","0","1","0","3","跳過計算回合數1","3"
"98012","0","2","0","3","跳過計算回合數2","3"
