e8a6ed7a9d7aff37b96e9434eecd920d4c8edec335d04b44740b3e4eb15d7ae9,c4400065a25e7cf8316cfecd719fb176bfa03efdeaba83091a3a8ee8ae63cbaf,f37a35c8c7527c46618bc523451f767cdef92e0f94fcf11ee825895fe12a3268,a830a62985f884a3ff94fe61155fb26399110656f3e878c79f3b9fbfbdfea21e,34afd0050a1a6790a6a304f3e7cb9ad8a28694a78cf8b212b3322cfa53eefc8f,15be78563bfaf75f6df81039cad5716cedab300f798489b46adec35ea9ec734e,3134a9e8b8916df9ab63ed5688dacfa3e6837eadc0be273d26d9beee96fdc363,833ed0c25fc8c6a5bebb229f3b5a21eea4529951cdeab15897a07af58be8082d,0675f28db6ed05d7945e2efea6538d6c2e3bbfbb5f02e6965cd1f8075023e396,f7115d65bdd5f097f54e8eeef75e24624aea8f8bb574fbb3a8a395310936db5e,15e6ef822ccf59bdb56282fa52206a9d0993b9672d0f076a157ae9c635a0ddc4,be4eff318d3c27231a1eae3fe8d6e9ceb79a31669a49bf70cf49e06ff27ce5c3,9628c0020f885a2a41caf3fb605782833ea642038eb74db5b90ad2e15829843c,f46f378955250185a9e2de462bcebeb8eaf0e4ae375eaf16aeb5e078ec63e615,069137d49be0a4e7e9761dffb71de9eb228f3b61fc0bdf608334495c9671b7d6,66a1a55f89c1b698cc7461d99ea42bc3820d42a089139507fa15b8f7c4c44f69,900b131017c6fb14825cb68172bdf0887c24a60f4c929c23fb354d02d44a30db,9c83a3feddba9460a9e7d1cbef2f8eb05612c210c11ea6408d18a7d6985ac9e8
"3","1","8","12","30","2","4","8","1001","300000","94002","20004","90005","91002","150003","100","3","2"
"3","2","8","12","30","4","4","60","1001","400000","94002","140001","90005","91002","150004","150","3","2"
"3","3","8","12","30","2","4","10","1001","500000","94002","20004","90005","91002","150005","150","3","2"
"3","4","8","12","30","4","4","90","1001","750000","94002","140001","90005","91002","150006","200","3","2"
"3","5","8","12","30","2","4","1","1001","1000000","94002","21951","90005","91002","150007","200","3","2"
"3","1","8","12","30","2","4","8","1002","300000","94002","20004","90005","91002","150003","100","3","2"
"3","2","8","12","30","4","4","60","1002","400000","94002","140001","90005","91002","150004","150","3","2"
"3","3","8","12","30","2","4","10","1002","500000","94002","20004","90005","91002","150005","150","3","2"
"3","4","8","12","30","4","4","90","1002","750000","94002","140001","90005","91002","150006","200","3","2"
"3","5","8","12","30","2","4","1","1002","1000000","94002","21951","90005","91002","150007","200","3","2"
"100","1","8","12","100","2","4","8","1003","300000","94002","20004","150004","91002","150003","50","3","4"
"5","2","8","12","50","4","4","60","1003","400000","94002","140001","90005","91002","150005","100","3","2"
"500000","3","8","0","50","2","4","10","1003","0","0","20004","94002","91002","150006","100","3","12"
"10","4","8","12","50","4","4","90","1003","750000","94002","140001","90005","91002","150007","150","3","2"
"1000000","5","8","0","50","2","4","1","1003","0","0","21951","94002","91002","150008","150","3","12"
"100","1","8","12","100","2","4","8","1004","300000","94002","20004","150004","91002","150003","50","3","4"
"5","2","8","12","50","4","4","60","1004","400000","94002","140001","90005","91002","150005","100","3","2"
"500000","3","8","0","50","2","4","10","1004","0","0","20004","94002","91002","150006","100","3","12"
"10","4","8","12","50","4","4","90","1004","750000","94002","140001","90005","91002","150007","150","3","2"
"1000000","5","8","0","50","2","4","1","1004","0","0","21951","94002","91002","150008","150","3","12"
"100","1","8","12","100","2","4","8","1005","300000","94002","20004","150004","91002","150003","50","3","4"
"5","2","8","12","50","4","4","60","1005","400000","94002","140001","90005","91002","150005","100","3","2"
"500000","3","8","0","50","2","4","10","1005","0","0","20004","94002","91002","150006","100","3","12"
"10","4","8","12","50","4","4","90","1005","750000","94002","140001","90005","91002","150007","150","3","2"
"1000000","5","8","0","50","2","4","1","1005","0","0","21951","94002","91002","150008","150","3","12"
"100","1","8","12","100","2","4","8","1006","300000","94002","20004","150005","91002","150004","50","3","4"
"5","2","8","12","50","4","4","60","1006","400000","94002","140001","90005","91002","150006","100","3","2"
"500000","3","8","0","50","2","4","10","1006","0","0","20004","94002","91002","150007","100","3","12"
"10","4","8","12","50","4","4","90","1006","750000","94002","140001","90005","91002","150008","150","3","2"
"1000000","5","8","0","50","2","4","1","1006","0","0","21951","94002","91002","150009","150","3","12"
"5000","1","8","12","100","4","4","100","1007","300000","94002","150004","25015","91002","150005","50","3","2"
"5000","2","8","12","50","2","4","15","1007","400000","94002","20004","25013","91002","150006","100","3","2"
"5000","3","8","12","50","4","4","150","1007","500000","94002","140001","25014","91002","150007","100","3","2"
"5000","4","8","12","50","2","4","15","1007","750000","94002","90005","25012","91002","150008","150","3","2"
"5000","5","8","12","50","2","4","1","1007","1000000","94002","21953","25011","91002","150009","150","3","2"
"5000","1","8","12","100","4","4","100","1008","300000","94002","150005","25015","91002","150006","50","3","2"
"5000","2","8","12","50","2","4","15","1008","400000","94002","20004","25013","91002","150007","100","3","2"
"5000","3","8","12","50","4","4","150","1008","500000","94002","140001","25014","91002","150008","100","3","2"
"5000","4","8","12","50","2","4","15","1008","750000","94002","90005","25012","91002","150009","150","3","2"
"5000","5","8","12","50","2","4","1","1008","1000000","94002","21953","25011","91002","150010","150","3","2"
