8eeb00c7ba361eb71b1fd28fb6f83ef64ce55492696dcc5d8338d9bc91253e61,d4ad14f918c36a472c2f9b56b4de2010a468181d518ff25b99b46eb7da2d3fee,89ad0097b51c81893ab85257ebe6f2648766f76b4cb5ebed32518f7e68b27051,5805b20510a11b0c7bc107c489bb6e0fd1a1c8683351e494f691e29ee15f42ef,47760f2312c52667ecedf17496b563e5a4e264b16455a59ae51f5a4bc7cd5958,3f1e44838ad6c6d67b816a246f6a3dd9ccd4442e12a2f85e45c86396404e850b,1e8b891c73375d16a5213c41ec6dc08d2c33700e197cd283d97586a5d5883cef,f51e101c51f49223dacb46a7218dc09bb14425c60f6d9c545a7da5b8ef30c701,c64577c8101da92883261679a10bd90c82be9faca75759e3988b3ab03e5580d5,7196bd28136c8cb919c05a04e574712cd090350566b1daf4ef700e43bec5a3d1,1dc01be7cbf4a202e15b89aa0d0e105b075ac1cbc235d1d950ba0913812d5574,1710fa67c75b80b410220fe372045c5190bc4e29718508d8b081f9d869533bac,49efda846d305c2f10b54a4930aaa2519d1d07f7b8e3ca2bee41cfb43cc40cce,e08d5cb866241413c15012b28ca02df2345ac6707ee46e7159750f50c81f4f46,c50bba5958d98c0d88d6539ac7d96afaa73feaf17252be2860bd003bc1f680d6,bec5bbe6d1f7768a9b2a2cafa9077443c744b9084b8b0fd86f9fb4a5ab1e4847,717ba38ac0c6ce71c67b953df3317ff99140f634085bd6812a34d51c41c3176b,1c20af5a54e9b2253629c8ddf2c1dc8b12881da03e56c31023de64a5f2e873d1,c638c6151274ef8be8056e93ac49cde7a141cc70f43971094e2657335171438e
"1","3","1","12","0","3","0","1","5","0","610132007","-60","0","","610132501","5.5","10132","0","289"
"2","0","1","0","0","1","70","1","5","0","610132008","-60","0","","610132502","1.5","10132","0","289"
"3","0","1","0","0","1","0","1","5","0","610132009","-60","0","","0","1.5","10132","0","289"
"1","3","1","0","0","1","55","1.85","5","0","610134007","-50","0","","0","5.5","10134","0","292"
"2","0","1","30","0","3","0","1.85","5","0","610134008","-50","0","","610134502","1.5","10134","0","292"
"3","0","1","0","0","1","0","1.85","5","0","610134009","-50","0","","0","1.5","10134","0","292"
"1","3","1","0","0","2","0","1.1","5","600","610136007","0","0","","610136501","5.5","10136","0","295"
"2","0","1","0","0","1","84","1.5","5","0","610136008","-50","0","","0","1.5","10136","0","295"
"3","0","1","0","0","1","0","1.5","5","0","610136009","-50","0","","0","1.5","10136","0","295"
"1","0","1","0","0","1","75","0.85","5","0","610137007","0","0","","0","5.5","10137","0","295"
"2","0","1","0","0","1","50","0.85","5","0","610137008","0","0","","0","1.5","10137","0","295"
"3","0","1","0","0","1","0","0.85","5","0","610137009","0","0","","0","1.5","10137","0","295"
"1","3","1","0","0","1","77","1.4","5","0","610140007","0","0","","0","5.5","10140","0","298"
"2","0","1","0","0","1","52","1.4","5","0","610140008","0","0","","0","1.5","10140","0","298"
"3","0","1","0","0","1","0","1.4","5","0","610140009","0","0","","0","1.5","10140","0","298"
"1","3","1","0","0","1","76","1.45","5","0","610142007","-33","0","","0","5.5","10142","0","301"
"2","3","1","0","0","2","0","1.23","5","600","610142008","-40","0","","610142502","1.5","10142","0","301"
"3","0","1","0","0","1","0","1.45","5","0","610142009","-33","0","","0","1.5","10142","0","301"
"1","3","1","0","0","1","65","1","5","0","610144007","-33","0","","0","5.5","10144","0","304"
"2","3","1","0","0","2","0","0.85","5","600","610144008","-40","0","","610144502","1.5","10144","0","304"
"3","0","1","0","0","1","0","1","5","0","610144009","-33","0","","0","1.5","10144","0","304"
"1","3","1","0","0","2","0","0.87","5","600","610146007","-45","0","","610146501","5.5","10146","0","307"
"2","0","1","0","0","1","58","1.18","5","0","610146008","-45","0","","0","1.5","10146","0","307"
"3","0","1","0","0","1","0","1.18","5","0","610146009","-45","0","","0","1.5","10146","0","307"
"1","3","1","0","0","2","0","1.4","5","600","610148007","-50","0","","610148501","5.5","10148","0","310"
"2","0","1","0","0","1","68","1.7","5","0","610148008","-50","0","","0","1.5","10148","0","310"
"3","0","1","0","0","1","0","1.7","5","0","610148009","-50","0","","0","1.5","10148","0","310"
"1","3","1","0","0","1","71","1.35","5","0","610150007","-33","0","","0","5.5","10150","0","313"
"2","3","1","0","0","1","50","1.35","5","0","610150008","-33","0","","0","1.5","10150","0","313"
"3","0","1","0","0","1","0","1.35","5","0","610150009","-33","0","","0","1.5","10150","0","313"
"1","4.8","1","0","0","2","0","0.7","5","600","610152007","20","0","","610152501","5.5","10152","0","316"
"2","0","1","0","0","1","81","0.96","5","0","610152008","30","0","","0","1.5","10152","0","316"
"3","0","1","0","0","1","0","0.96","5","0","610152009","30","0","","0","1.5","10152","0","316"
"1","3","1","0","0","1","68","1.25","5","0","610154007","-33","0","","0","5.5","10154","0","319"
"2","3","1","0","0","2","0","1","5","600","610154008","-10","0","","610154502","1.5","10154","0","319"
"3","0","1","0","0","1","0","1.25","5","0","610154009","-33","0","","0","1.5","10154","0","319"
"1","3","1","0","0","2","0","0.85","5","600","610156007","5","0","","610156501","5.5","10156","0","322"
"2","3","1","0","0","1","75","1.11","5","600","610156008","-10","0","","0","1.5","10156","0","322"
"3","0","1","0","0","1","0","1.11","5","0","610156009","-10","0","","0","1.5","10156","0","322"
"1","3","1","0","0","2","0","1.5","5","600","610158007","-40","0","","610158501","5.5","10158","0","325"
"2","0","1","0","0","1","65","1.75","5","0","610158008","-33","0","","0","1.5","10158","0","325"
"3","0","1","0","0","1","0","1.75","5","0","610158009","-33","0","","0","1.5","10158","0","325"
"1","4.8","1","20","0","3","0","1.4","5","600","610160007","-35","0","","610160501","5.5","10160","0","328"
"2","0","1","0","0","1","70","1.4","5","0","610160008","-35","0","","0","1.5","10160","0","328"
"3","0","1","0","0","1","0","1.4","5","0","610160009","-35","0","","0","1.5","10160","0","328"
