7bd94bacdf579a2923f1fea037e883f1fdb8f6e75b30255d15fc2ffb2c6c9cfd,181d5e4c665ddddbc1d7b28b8fae0dc850ed569226e4a1b5c3de2e3a8e9fbbad,1f45d05e6f57c029b750a093e4eb6fa6a5eb61845a511ca21ceac9b4ba885306,c74a312d4157eed4fc14a7dff9dfab15880a2a341688fefbf4046af31c18772a,20e85058e47ae95778449390950e9e81c2d9c9a4fb3747268486b1a777e98d3e,e60ca86dc8b342eb7f15b43217829f38d13b4753ad30b299c5317d99cbd7d62b,505f6519a8aff493fd544cd2e39b4603d699f043800860debe869f96288a90c8,658e11276cebd11891e67ab89ffc43f0e802ed0d1846877bbe3afb95cc720999,8ae574267521af385afa6e5e8bf866a9bb36d3ee0e5c52c25b8615a595e3ba04,32dc48c4030f43dda0f9be5a1b22358f501c3513d987a975faf202d06c8ad827,b438665db4927645656c2411d38ccc32e00244befedb03e93b3b4d94b47a3d1c
"1010801001","-345","1","0","-165","10","70","2","dsb_idle_normal","5","1010801"
"1010801002","-345","2","1","165","4","70","2","dsb_idle_worry","5","1010801"
"1010801003","-350","99","0","-215","10","70","2","dsb_lago","5","1010801"
"1010801004","1","1","","0","1","0","1","","31","1010801"
"1010801005","1","3","","0","3","0","1","","31","1010801"
"1010801006","1","4","","0","4","0","1","","31","1010801"
"1010801007","1","10","","0","14","0","1","","31","1010801"
"1010801008","1","20","","0","24","0","1","","31","1010801"
"1010801009","1","30","","-168","34","155","1","","31","1010801"
"1010801010","1","31","","-168","34","-155","1","","31","1010801"
"1010801011","1","32","","-175","42","-222","1","","31","1010801"
"1010801012","1","40","","0","40","0","0","","31","1010801"
"1010801013","","170","","","1","","","","13","1010801"
"1010801014","","170","","","2","","","","13","1010801"
"1010801015","","","","","0","","","","91","1010801"
"1010801016","","se_10044200_cmn_amb","","","se_10044200","1","","","23","1010801"
"1010801017","","se_10044200_cmn_steam","","","se_10044200","0","","","23","1010801"
"1010801018","","0","","","6","","","","93","1010801"
"1010801019","","se_10044200_hotspring_04","","","se_10044200","1","","","23","1010801"
"1010801020","","0","","","1.5","","","","93","1010801"
"1010801021","","dsb_talk_anger_Ex8","","","2","1","0.5","","3","1010801"
"1010801022","","vo_dsb_1001","","0","vo_dsb_1010801","0","","","21","1010801"
"1010801023","1","好、好燙～！！\n這裡的水溫很奇怪耶……\n老大，這是怎麼回事！？","0","1","2","10","0","0.2","11","1010801"
"1010801024","","","","","0","","","","91","1010801"
"1010801025","","dsb_idle_worry","","","2","1","0.5","","3","1010801"
"1010801026","","dsb_talk_worry_Ex3","","","1","1","0.5","","3","1010801"
"1010801027","","vo_dsb_1002","","0","vo_dsb_1010801","0","","","21","1010801"
"1010801028","1","現在別叫我老大，\n要叫我小老闆娘呀～？","0","1","1","10","0","0.2","11","1010801"
"1010801029","","","","","0","","","","91","1010801"
"1010801030","","dsb_idle_normal","","","1","1","0.5","","3","1010801"
"1010801031","1","dsb_talk_doya_sing","0.5","dsb_talk_doya_sing_loop","2","0","0.5","","3","1010801"
"1010801032","","vo_dsb_1003","","0","vo_dsb_1010801","0","","","21","1010801"
"1010801033","1","嘖。\n什～麼小老闆娘啊……\n明明就是性格扭曲的老太婆老闆娘。","0","1","2","10","0","0.2","11","1010801"
"1010801034","","","","","0","","","","91","1010801"
