8b6ba911a9a25e148c08ecbaf841cead84d6d912512111c34dea19e858ec525c,aee2defe3828cc877f9e369d486975e528dd89bd97045f3d40749861cb5bad13,a8261a3d2a86b847a89a51862deb31cee443948e539a20952f08cd54ec28a89b,7833c952faabe416483ee0b0001d1e4d04f664ea0466974e905a9177d2af79cc,9ea38670f512cdcf2d766efb200c367a2066cd6467dbad5415e1a5c26b9c8a9e,bee656463e21754403d11d449e1892208665557c0e70ae9ad6221a625d13acf2
"101001","0","1","111011101","1","1110111"
"101002","0","1","111021101","1","1110211"
"301","0","3","133011101","1","1330111"
"301","0","3","133011201","1","1330112"
"302","500","3","133020101","0","1330201"
"302","500","3","133020201","0","1330202"
"303","1","3","133030101","0","1330301"
"303","250","3","133030201","0","1330302"
"303","1","3","133030301","0","1330303"
"303","1","3","133030401","0","1330304"
"303","250","3","133030501","0","1330305"
"303","1","3","133030601","0","1330306"
"304","1000","3","133040101","0","1330401"
"304","1000","3","133040201","0","1330402"
"304","1000","3","133040301","0","1330403"
"304","1000","3","133040401","0","1330404"
"305","0","3","133051101","1","1330511"
"305","0","3","133051201","1","1330512"
"401","1","3","134010101","0","1340101"
"401","1","3","134010201","0","1340102"
"402","0","3","134021101","1","1340211"
"402","0","3","134021201","1","1340212"
"1","1","4","140010101","0","1400101"
"1","1","4","140010201","0","1400102"
"1","10","4","140010301","0","1400103"
"2","0","4","140020101","0","1400201"
"0","0","1","210000101","0","2100001"
"101003","0","1","211030101","0","2110301"
"100001","0","2","221010101","0","2210101"
"100002","0","2","221020101","0","2210201"
"100003","0","2","221030101","0","2210301"
"100005","0","2","221050101","0","2210501"
"100007","0","2","221070101","0","2210701"
"100008","0","2","221080101","0","2210801"
"100009","0","2","221090101","0","2210901"
"100010","0","2","221100101","0","2211001"
"100011","0","2","221110101","0","2211101"
"100012","0","2","221120101","0","2211201"
"100013","0","2","221130101","0","2211301"
"100014","0","2","221140101","0","2211401"
"100016","0","2","221160101","0","2211601"
"100017","0","2","221170101","0","2211701"
"201020","0","1","222020101","0","2220201"
"201040","0","1","222040101","0","2220401"
"201050","0","1","222050101","0","2220501"
"201060","0","1","222060101","0","2220601"
"201070","0","1","222070101","0","2220701"
"201080","0","1","222080101","0","2220801"
"201090","0","1","222090101","0","2220901"
"201100","0","1","222100101","0","2221001"
"201110","0","1","222110101","0","2221101"
"201130","0","1","222130101","0","2221301"
"201140","0","1","222140101","0","2221401"
"201160","0","1","222160101","0","2221601"
"201180","0","1","222180101","0","2221801"
"201190","0","1","222190101","0","2221901"
"201200","0","1","222200101","0","2222001"
"201210","0","1","222210101","0","2222101"
"201220","0","1","222220101","0","2222201"
"201230","0","1","222230101","0","2222301"
"201240","0","1","222240101","0","2222401"
"201250","0","1","222250101","0","2222501"
"201270","0","1","222270101","0","2222701"
"201280","0","1","222280101","0","2222801"
"201290","0","1","222290101","0","2222901"
"201300","0","1","222300101","0","2223001"
"201320","0","1","222320101","0","2223201"
"201340","0","1","222340101","0","2223401"
"201350","0","1","222350101","0","2223501"
"201360","0","1","222360101","0","2223601"
"201370","0","1","222370101","0","2223701"
"201380","0","1","222380101","0","2223801"
"201390","0","1","222390101","0","2223901"
"201400","0","1","222400101","0","2224001"
"201410","0","1","222410101","0","2224101"
"201430","0","1","222430101","0","2224301"
"201440","0","1","222440101","0","2224401"
"201470","0","1","222470101","0","2224701"
"201480","0","1","222480101","0","2224801"
"201490","0","1","222490101","0","2224901"
"301","1000","3","233010101","0","2330101"
"305","1000","3","233050101","0","2330501"
"402","0","3","234020101","0","2340201"
"403","0","3","234030101","0","2340301"
"1","0","4","240010101","0","2400101"
"0","0","1","310000101","0","3100001"
"0","0","1","310000102","0","3100002"
"101001","0","1","311010101","0","3110101"
"101002","0","1","311020101","0","3110201"
