5307c239bcc40e07b6a26491dc6db707e82c03f9f170439db9b61c6d25beab00,bc47650acb3f7070ac8554d32e8221ac6d0eb2545068136edf717f73ee19065b,368ceedac717053483cd7e451da0db3b59e24c37641ac8b0b130da20bd740457,5d0aed1a855653890e7a98c5696dad3dd158390c6430e4fc073c10fdbf3fff7d,c96bd95f0f9e269948bed442610b1fa8c664e4027ebdd18e7cc359fb1ece4c1c,0fb685a9da91d69f16191445443600d5656cc4a1eebc357614cce4652a78909d,3497a3a60368a0acef4fdc41a292d4151c467b6578af84d2c4398a8d6a11fdd0
"2021/04/25 04:59:59","70004","2021/04/23 05:00:00","400","0","0","21"
"2021/04/25 04:59:59","70004","2021/04/23 05:00:00","401","0","0","22"
"0","70005","0","416","0","1","23"
"0","70005","0","417","0","2","24"
"0","70005","0","418","0","3","25"
"2021/07/18 04:59:59","80004","2021/07/17 05:00:00","9002001","0","3","26"
"2021/07/19 04:59:59","80004","2021/07/18 05:00:00","9002002","0","3","27"
"2021/07/20 04:59:59","80004","2021/07/19 05:00:00","9002003","0","3","28"
"2021/07/21 04:59:59","80004","2021/07/20 05:00:00","9002004","0","3","29"
"2021/07/22 04:59:59","80004","2021/07/21 05:00:00","9002005","0","3","30"
"2021/07/23 04:59:59","80004","2021/07/22 05:00:00","9002006","0","3","31"
"2021/07/24 04:59:59","80004","2021/07/23 05:00:00","9002007","0","3","32"
"2021/07/25 04:59:59","80004","2021/07/24 05:00:00","9002008","0","3","33"
"2021/07/26 04:59:59","80004","2021/07/25 05:00:00","9002009","0","3","34"
"2021/07/27 04:59:59","80004","2021/07/26 05:00:00","9002010","0","3","35"
"2021/07/28 04:59:59","80004","2021/07/27 05:00:00","9002011","0","3","36"
"2021/07/29 04:59:59","80004","2021/07/28 05:00:00","9002012","0","3","37"
"2021/07/30 04:59:59","80004","2021/07/29 05:00:00","9002013","0","3","38"
"2021/07/31 04:59:59","80004","2021/07/30 05:00:00","9002014","0","3","39"
"2021/08/01 04:59:59","80004","2021/07/31 05:00:00","9002015","0","3","40"
"2021/08/02 04:59:59","80004","2021/08/01 05:00:00","9002016","0","3","41"
"2021/08/03 04:59:59","80004","2021/08/02 05:00:00","9002017","1","3","42"
"2022/04/25 04:59:59","70006","2022/04/24 05:00:00","400","0","0","43"
"2022/04/26 04:59:59","70006","2022/04/25 05:00:00","401","0","0","44"
"2022/07/17 04:59:59","80006","2022/07/16 05:00:00","9004001","0","3","45"
"2022/07/18 04:59:59","80006","2022/07/17 05:00:00","9004002","0","3","46"
"2022/07/19 04:59:59","80006","2022/07/18 05:00:00","9004003","0","3","47"
"2022/07/20 04:59:59","80006","2022/07/19 05:00:00","9004004","0","3","48"
"2022/07/21 04:59:59","80006","2022/07/20 05:00:00","9004005","0","3","49"
"2022/07/22 04:59:59","80006","2022/07/21 05:00:00","9004006","0","3","50"
"2022/07/23 04:59:59","80006","2022/07/22 05:00:00","9004007","0","3","51"
"2022/07/24 04:59:59","80006","2022/07/23 05:00:00","9004008","0","3","52"
"2022/07/25 04:59:59","80006","2022/07/24 05:00:00","9004009","0","3","53"
"2022/07/26 04:59:59","80006","2022/07/25 05:00:00","9004010","0","3","54"
"2022/07/27 04:59:59","80006","2022/07/26 05:00:00","9004011","0","3","55"
"2022/07/28 04:59:59","80006","2022/07/27 05:00:00","9004012","0","3","56"
"2022/07/29 04:59:59","80006","2022/07/28 05:00:00","9004013","0","3","57"
"2022/07/30 04:59:59","80006","2022/07/29 05:00:00","9004014","0","3","58"
"2022/07/31 04:59:59","80006","2022/07/30 05:00:00","9004015","0","3","59"
"2022/08/01 04:59:59","80006","2022/07/31 05:00:00","9004016","0","3","60"
"2022/08/02 04:59:59","80006","2022/08/01 05:00:00","9004017","1","3","61"
"0","70007","0","436","0","1","62"
"0","70007","0","437","0","2","63"
"0","70007","0","438","0","3","64"
"2023/01/07 04:59:59","80007","2023/01/06 05:00:00","9005001","0","3","65"
"2023/01/08 04:59:59","80007","2023/01/07 05:00:00","9005002","0","3","66"
"2023/01/09 04:59:59","80007","2023/01/08 05:00:00","9005003","0","3","67"
"2023/01/10 04:59:59","80007","2023/01/09 05:00:00","9005004","0","3","68"
"2023/01/11 04:59:59","80007","2023/01/10 05:00:00","9005005","0","3","69"
"2023/01/12 04:59:59","80007","2023/01/11 05:00:00","9005006","0","3","70"
"2023/01/13 04:59:59","80007","2023/01/12 05:00:00","9005007","0","3","71"
"2023/01/14 04:59:59","80007","2023/01/13 05:00:00","9005008","0","3","72"
"2023/01/15 04:59:59","80007","2023/01/14 05:00:00","9005009","0","3","73"
"2023/01/16 04:59:59","80007","2023/01/15 05:00:00","9005010","0","3","74"
"2023/01/17 04:59:59","80007","2023/01/16 05:00:00","9005011","0","3","75"
"2023/01/18 04:59:59","80007","2023/01/17 05:00:00","9005012","0","3","76"
"2023/01/19 04:59:59","80007","2023/01/18 05:00:00","9005013","0","3","77"
"2023/01/20 04:59:59","80007","2023/01/19 05:00:00","9005014","0","3","78"
"2023/01/21 04:59:59","80007","2023/01/20 05:00:00","9005015","1","3","79"
"2023/04/25 04:59:59","70008","2023/04/24 05:00:00","400","0","0","80"
"2023/04/26 04:59:59","70008","2023/04/25 05:00:00","401","0","0","81"
"0","70009","0","439","0","1","82"
"2023/07/18 04:59:59","80008","2023/07/17 05:00:00","9006001","0","3","83"
"2023/07/19 04:59:59","80008","2023/07/18 05:00:00","9006002","0","3","84"
"2023/07/20 04:59:59","80008","2023/07/19 05:00:00","9006003","0","3","85"
"2023/07/21 04:59:59","80008","2023/07/20 05:00:00","9006004","0","3","86"
"2023/07/22 04:59:59","80008","2023/07/21 05:00:00","9006005","0","3","87"
"2023/07/23 04:59:59","80008","2023/07/22 05:00:00","9006006","0","3","88"
"2023/07/24 04:59:59","80008","2023/07/23 05:00:00","9006007","0","3","89"
"2023/07/25 04:59:59","80008","2023/07/24 05:00:00","9006008","0","3","90"
"2023/07/26 04:59:59","80008","2023/07/25 05:00:00","9006009","0","3","91"
"2023/07/27 04:59:59","80008","2023/07/26 05:00:00","9006010","0","3","92"
"2023/07/28 04:59:59","80008","2023/07/27 05:00:00","9006011","0","3","93"
"2023/07/29 04:59:59","80008","2023/07/28 05:00:00","9006012","0","3","94"
"2023/07/30 04:59:59","80008","2023/07/29 05:00:00","9006013","0","3","95"
"2023/07/31 04:59:59","80008","2023/07/30 05:00:00","9006014","0","3","96"
"2023/08/01 04:59:59","80008","2023/07/31 05:00:00","9006015","0","3","97"
"2023/08/02 04:59:59","80008","2023/08/01 05:00:00","9006016","1","3","98"
"2024/01/25 04:59:59","80009","2024/01/24 05:00:00","9007001","0","3","99"
"2024/01/26 04:59:59","80009","2024/01/25 05:00:00","9007002","0","3","100"
"2024/01/27 04:59:59","80009","2024/01/26 05:00:00","9007003","0","3","101"
"2024/01/28 04:59:59","80009","2024/01/27 05:00:00","9007004","0","3","102"
"2024/01/29 04:59:59","80009","2024/01/28 05:00:00","9007005","0","3","103"
"2024/01/30 04:59:59","80009","2024/01/29 05:00:00","9007006","0","3","104"
"2024/01/31 04:59:59","80009","2024/01/30 05:00:00","9007007","0","3","105"
"2024/02/01 04:59:59","80009","2024/01/31 05:00:00","9007008","0","3","106"
"2024/02/02 04:59:59","80009","2024/02/01 05:00:00","9007009","0","3","107"
"2024/02/03 04:59:59","80009","2024/02/02 05:00:00","9007010","0","3","108"
"2024/02/04 04:59:59","80009","2024/02/03 05:00:00","9007011","0","3","109"
"2024/02/05 04:59:59","80009","2024/02/04 05:00:00","9007012","0","3","110"
"2024/02/06 04:59:59","80009","2024/02/05 05:00:00","9007013","0","3","111"
"2024/02/07 04:59:59","80009","2024/02/06 05:00:00","9007014","0","3","112"
"2024/02/08 04:59:59","80009","2024/02/07 05:00:00","9007015","1","3","113"
"2024/04/06 04:59:59","70010","2024/04/04 05:00:00","400","0","0","114"
"2024/04/08 04:59:59","70012","2024/04/06 05:00:00","401","0","0","115"
"0","70011","0","440","0","1","116"
"2024/07/18 04:59:59","80010","2024/07/17 05:00:00","9008001","0","3","117"
"2024/07/19 04:59:59","80010","2024/07/18 05:00:00","9008002","0","3","118"
"2024/07/20 04:59:59","80010","2024/07/19 05:00:00","9008003","0","3","119"
"2024/07/21 04:59:59","80010","2024/07/20 05:00:00","9008004","0","3","120"
"2024/07/22 04:59:59","80010","2024/07/21 05:00:00","9008005","0","3","121"
"2024/07/23 04:59:59","80010","2024/07/22 05:00:00","9008006","0","3","122"
"2024/07/24 04:59:59","80010","2024/07/23 05:00:00","9008007","0","3","123"
"2024/07/25 04:59:59","80010","2024/07/24 05:00:00","9008008","0","3","124"
"2024/07/26 04:59:59","80010","2024/07/25 05:00:00","9008009","0","3","125"
"2024/07/27 04:59:59","80010","2024/07/26 05:00:00","9008010","0","3","126"
"2024/07/28 04:59:59","80010","2024/07/27 05:00:00","9008011","0","3","127"
"2024/07/29 04:59:59","80010","2024/07/28 05:00:00","9008012","1","3","128"
"2024/07/30 04:59:59","80010","2024/07/29 05:00:00","9008013","1","3","129"
"2024/07/31 04:59:59","80010","2024/07/30 05:00:00","9008014","1","3","130"
"2024/08/01 04:59:59","80010","2024/07/31 05:00:00","9008015","1","3","131"
"2024/08/02 04:59:59","80010","2024/08/01 05:00:00","9008016","1","3","132"
