80d0ac449933ec5cac83ba9eec1977b1cf3452a796a1e6738b06944b5dbb6ee8,6c5acdacef8c8c8afebd5f528f2b3a76ffcb515f5c1de68757bcb783e1949a8e,7c71cfa9625430229a9ea1aca299ec1a2a60ed6beefdde46e945eca629d2d8d0,95c0017e2efadffbfaeb3798b5060131547114226ca3ebba3ad671590accd232,4d197f2e4f73e2e127a58d58b0418cb4154220fe481853ab56827d738dedb06e
"add_shadow","74001102","追加吉塔的闇影。","追加1隻闇影","1"
"add_shadow","74001103","追加吉塔、咲戀（夏日）、愛梅斯的闇影。","追加3隻闇影","2"
"star6_shadow","74001104","望的闇影變成★6。","闇影★6化","3"
"add_shadow","74001104","追加吉塔、咲戀（夏日）、愛梅斯的闇影。","追加3隻闇影","4"
"star6_shadow","74001105","望、吉塔、鏡華的闇影\n變成★6。","闇影★6化","5"
"add_shadow","74001105","追加吉塔、咲戀（夏日）、愛梅斯的闇影。","追加3隻闇影","6"
"add_shadow","74001202","追加優花梨的闇影。","追加1隻闇影","7"
"add_shadow","74001203","追加優花梨、矛依未（新年）、優衣的闇影。","追加3隻闇影","8"
"star6_shadow","74001204","優花梨與優衣的闇影變成★6。","闇影★6化","9"
"add_shadow","74001204","追加優花梨、矛依未（新年）、優衣的闇影。","追加3隻闇影","10"
"star6_shadow","74001205","宮子、優花梨、真步、優衣的闇影變成★6。","闇影★6化","11"
"add_shadow","74001205","追加優花梨、矛依未（新年）、優衣的闇影。","追加3隻闇影","12"
"boss_magic_cut","74001301","戰鬥開始時，Boss怪物的魔法傷害為減少20%的狀態。","Boss魔法傷害降低","13"
"boss_magic_cut","74001302","戰鬥開始時，Boss怪物的魔法傷害為減少50%的狀態。","Boss魔法傷害降低","14"
"add_shadow","74001302","追加靜流（夏日）的闇影。","追加1隻闇影","15"
"energy_recover","74001303","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","開始時恢復TP","16"
"boss_magic_cut","74001303","戰鬥開始時，Boss怪物的魔法傷害為減少50%的狀態。","Boss魔法傷害降低","17"
"add_shadow","74001303","追加靜流（夏日）與克莉絲提娜的闇影。","追加2隻闇影","18"
"boss_ub_enhance","74001304","Boss怪物的必殺技會受到強化。","Boss UB強化","19"
"energy_recover","74001304","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","開始時恢復TP","20"
"boss_magic_cut","74001304","戰鬥開始時，Boss怪物的魔法傷害為減少70%的狀態。","Boss魔法傷害降低","21"
"add_shadow","74001304","追加靜流（夏日）與克莉絲提娜的闇影。","追加2隻闇影","22"
"limit_time","74001305","戰鬥時間變成60秒。","戰鬥時間限制","23"
"boss_ub_enhance","74001305","Boss怪物的必殺技會受到強化。","Boss UB強化","24"
"energy_recover","74001305","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","開始時恢復TP","25"
"boss_magic_cut","74001305","戰鬥開始時，Boss怪物的魔法傷害為減少100%的狀態。","Boss魔法傷害降低","26"
"add_shadow","74001305","追加靜流（夏日）與克莉絲提娜的闇影。","追加2隻闇影","27"
"boss_physics_cut","74001401","戰鬥開始時，Boss怪物的物理傷害為減少20%的狀態。","Boss物理傷害降低","28"
"boss_physics_cut","74001402","戰鬥開始時，Boss怪物的物理傷害為減少50%的狀態。","Boss物理傷害降低","29"
"add_shadow","74001402","追加空花（大江戶）的闇影。","追加1隻闇影","30"
"energy_recover","74001403","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","開始時恢復TP","31"
"boss_physics_cut","74001403","戰鬥開始時，Boss怪物的物理傷害為減少50%的狀態。","Boss物理傷害降低","32"
"add_shadow","74001403","追加空花（大江戶）與似似花的闇影。","追加2隻闇影","33"
"boss_ub_enhance","74001404","Boss怪物的必殺技會受到強化。","Boss UB強化","34"
"energy_recover","74001404","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","開始時恢復TP","35"
"boss_physics_cut","74001404","戰鬥開始時，Boss怪物的物理傷害為減少70%的狀態。","Boss物理傷害降低","36"
"add_shadow","74001404","追加空花（大江戶）與似似花的闇影。","追加2隻闇影","37"
"limit_time","74001405","戰鬥時間變成60秒。","戰鬥時間限制","38"
"boss_ub_enhance","74001405","Boss怪物的必殺技會受到強化。","Boss UB強化","39"
"energy_recover","74001405","戰鬥開始時，Boss怪物中幅度提升敵人全體TP。","開始時恢復TP","40"
"boss_physics_cut","74001405","戰鬥開始時，Boss怪物的物理傷害為減少100%的狀態。","Boss物理傷害降低","41"
"add_shadow","74001405","追加空花（大江戶）與似似花的闇影。","追加2隻闇影","42"
"boss_atk_up","74001502","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","開始時提升攻擊力","43"
"limit_chara_num","74001503","可以編組的角色變成4個。","編組角色人數限制","44"
"boss_atk_up","74001503","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","開始時提升攻擊力","45"
"limit_chara_num","74001504","可以編組的角色變成4個。","編組角色人數限制","46"
"boss_ub_enhance","74001504","Boss怪物的必殺技會受到強化。","Boss UB強化","47"
"boss_atk_up","74001504","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","開始時提升攻擊力","48"
"limit_chara_num","74001505","可以編組的角色變成4個。","編組角色人數限制","49"
"max_hp_down","74001505","隊伍角色的最大HP降低20%。","降低角色的最大HP","50"
"boss_ub_enhance","74001505","Boss怪物的必殺技會受到強化。","Boss UB強化","51"
"boss_atk_up","74001505","戰鬥開始後一定時間，Boss怪物的物理攻擊力中幅度提升。","開始時提升攻擊力","52"
"add_shadow","74002102","追加花凜的闇影。","追加1隻闇影","53"
"star6_shadow","74002103","對宮子、優花梨、步未的闇影追加專用裝備。","強化闇影","54"
"add_shadow","74002103","追加花凜的闇影。","追加1隻闇影","55"
"star6_shadow","74002104","宮子、優花梨、步未的闇影變成★6。","強化闇影","56"
"add_shadow","74002104","追加花凜的闇影。","追加1隻闇影","57"
"boss_atk_up","74002105","所有闇影的物理攻擊力大幅度提升。","提升闇影物理攻擊力","58"
"star6_shadow","74002105","宮子、優花梨、步未的闇影變成★6。","強化闇影","59"
"add_shadow","74002105","追加花凜的闇影。","追加1隻闇影","60"
"add_shadow","74002202","追加嘉夜（解放者）的闇影。","追加1隻闇影","61"
"star6_shadow","74002203","對紡希（萬聖節）、真陽（聖誕節）、深月、霞（魔法少女）的闇影追加專用裝備。","強化闇影","62"
"add_shadow","74002203","追加嘉夜（解放者）的闇影。","追加1隻闇影","63"
"star6_shadow","74002204","深月的闇影變成★6。對紡希（萬聖節）、真陽（聖誕節）、霞（魔法少女）的闇影追加專用裝備。","強化闇影","64"
"add_shadow","74002204","追加嘉夜（解放者）的闇影。","追加1隻闇影","65"
"boss_magic_def_up","74002205","所有闇影的魔法防禦力大幅度提升。","提升闇影魔法防禦力","66"
