9940322b5247695993c1e6dc5af7b544bc6f7a17d19e7d1e81dd80be562f7b00,c9df5be7618c1daab2a872236593aa6c0799b7b866f94009eb82d15d4d489b14,f8c5ef605df0a65bf9a69d1b05a6515d769cdf2f4e677d672a249fba2052191e,394f1b75674f8a259f09c2fdca2f27c918e9301e4153bc0f4e541717e66b5c9b,4457f895bbd71124a65facc4e9a90e56b0b405276afd654b72a16e2435c1854d
"1","100101","5000000","94002","12"
"2","100102","2000","90008","2"
"3","100103","20","25001","2"
"4","100104","2500","90008","2"
"5","100105","30","25001","2"
"6","100106","300","91002","8"
"7","100107","1","41000","2"
"8","100108","5000000","94002","12"
"9","100109","1000000","94002","12"
"10","100110","1000000","94002","12"
"11","100111","1000000","94002","12"
"12","100112","400","20004","2"
"13","100113","300","20004","2"
"14","100114","200","20004","2"
"15","100115","1000000","94002","12"
"16","100116","1000000","94002","12"
"17","100117","1000000","94002","12"
"18","100118","400","20004","2"
"19","100119","300","20004","2"
"20","100120","200","20004","2"
"21","100121","1000000","94002","12"
"22","100122","1000000","94002","12"
"23","100123","1000000","94002","12"
"24","100124","400","20004","2"
"25","100125","300","20004","2"
"26","100126","200","20004","2"
"27","100201","5000000","94002","12"
"28","100202","2000","90008","2"
"29","100203","20","25001","2"
"30","100204","2500","90008","2"
"31","100205","30","25001","2"
"32","100206","300","91002","8"
"33","100207","1","41000","2"
"34","100208","5000000","94002","12"
"35","100209","1000000","94002","12"
"36","100210","1000000","94002","12"
"37","100211","1000000","94002","12"
"38","100212","400","20004","2"
"39","100213","300","20004","2"
"40","100214","200","20004","2"
"41","100215","1000000","94002","12"
"42","100216","1000000","94002","12"
"43","100217","1000000","94002","12"
"44","100218","400","20004","2"
"45","100219","300","20004","2"
"46","100220","200","20004","2"
"47","100221","1000000","94002","12"
"48","100222","1000000","94002","12"
"49","100223","1000000","94002","12"
"50","100224","400","20004","2"
"51","100225","300","20004","2"
"52","100226","200","20004","2"
"53","100301","5000000","94002","12"
"54","100302","2000","90008","2"
"55","100303","20","25001","2"
"56","100304","2500","90008","2"
"57","100305","30","25001","2"
"58","100306","300","91002","8"
"59","100307","1","41000","2"
"60","100308","5000000","94002","12"
"61","100309","1000000","94002","12"
"62","100310","1000000","94002","12"
"63","100311","1000000","94002","12"
"64","100312","400","20004","2"
"65","100313","300","20004","2"
"66","100314","200","20004","2"
"67","100315","1000000","94002","12"
"68","100316","1000000","94002","12"
"69","100317","1000000","94002","12"
"70","100318","400","20004","2"
"71","100319","300","20004","2"
"72","100320","200","20004","2"
"73","100321","1000000","94002","12"
"74","100322","1000000","94002","12"
"75","100323","1000000","94002","12"
"76","100324","400","20004","2"
"77","100325","300","20004","2"
"78","100326","200","20004","2"
"79","100401","5000000","94002","12"
"80","100402","2000","90008","2"
"81","100403","20","25001","2"
"82","100404","2500","90008","2"
