6c3281f6d940b24fa1c620acf2eef1acddad9b65677f2ea28390017544cfdb34,9ef193b80c918249166f08ec0c348cf8143f8c44a2306f250bc2245b143dfacd,a2cf1fe0db690f30ec59ce21fb9b36c76106a1d74c6d3a0a11abaaabaf6492ac
"101","1","1"
"103","1","2"
"105","1","3"
"101","2","4"
"102","2","5"
"103","2","6"
"105","2","7"
"101","3","8"
"102","3","9"
"103","3","10"
"101","4","11"
"103","4","12"
"104","4","13"
"105","4","14"
"103","5","15"
"104","5","16"
"105","5","17"
"102","6","18"
"104","6","19"
"106","6","20"
"101","7","21"
"102","7","22"
"106","7","23"
"102","8","24"
"103","8","25"
"106","8","26"
"103","9","27"
"104","9","28"
"105","9","29"
"101","10","30"
"103","10","31"
"105","10","32"
"107","11","33"
"108","11","34"
