af45b9f21018a3b93b846e2f85591a987b1b8a4a2672c814a34010833493401b,93e5079bd0bb78eea20dafa8a1bebe9152a3cd674dff1804c0e76932a263f18e,a384fd5a3ea965cbfa005179107defdd99188a6ec821bcfbf2f3ec25292d9f68,cfd04c9309d23837aa0b92b9c1bf131e6d554ee020f6ad66a14d2a9b6107d639,820bbbe28b3862f3f57663be2dd1838cdda5a63a85168dd146d13699922947a3
"-7","1","990001","-4.5","30010001"
"12","1","990001","-21.5","30010003"
"-3","1","990001","-21.5","30010004"
"-5.8","1","1","-21.6","30010007"
"-4.4","1","1","-21.6","30010008"
"-16.7","1","1","-8.6","30010029"
"-7","1","1","-13","30010038"
"-5.5","1","990002","2.9","30010047"
"-8.9","1","1","-17.6","30010055"
"-6.6","1","1","-19","30010056"
"-5","1","1","-18.4","30010060"
"0.6","1","3","-20.4","30010061"
"-3.9","1","3","-17.2","30010062"
"-4.1","1","1","-14.9","30010063"
"2.2","1","1","-17","30010066"
"2.2","1","1","-18.5","30010068"
"2.2","1","1","-15.4","30010070"
"-9.6","1","3","-21.7","30010071"
"-11.9","1","1","-21.6","30010073"
"-12","1","3","-20","30010074"
"-1.9","1","3","-21.7","30010077"
"-4.9","1","3","-13.8","30010079"
"-17","1","2","-3.6","30010081"
"-15","1","2","-4.7","30010083"
"-13.9","1","3","-16.8","30010085"
"-7.1","1","3","-11.5","30010089"
"-8.1","1","2","-8.7","30010091"
"-5.7","1","2","-8.7","30010094"
"-16.3","1","2","-4.7","30010100"
"-13.8","1","2","-0.2","30010104"
"-13.9","1","2","2.3","30010106"
"-15.2","1","2","1","30010107"
"-16.6","1","2","2.1","30010109"
"-16.5","1","2","-0.1","30010110"
"-20","1","2","-2","30010112"
"-20","1","2","-0.8","30010113"
"-20","1","2","2","30010115"
"-20","1","2","3.7","30010116"
"-19.9","1","3","0.6","30010117"
"-18.2","1","3","-2.9","30010119"
"-19.5","1","3","-3","30010120"
"-15","1","991002","-2.5","30010125"
"-16.7","1","991001","-2.5","30010126"
"-8.5","1","991001","-21.4","30010130"
"-18.4","1","3","4.8","30010134"
"-17","1","3","5.8","30010136"
"-17.1","1","2","6.9","30010137"
"-17","1","3","8","30010138"
"-17","1","2","9.5","30010139"
"-13.5","1","2","5.3","30010145"
"-12.1","1","2","5.3","30010146"
"-15.5","1","3","8.7","30010147"
"-14.3","1","2","8.8","30010148"
"-13","1","3","8.8","30010149"
"-12.3","1","2","10.2","30010150"
"-10.8","1","2","8.4","30010152"
"-10.7","1","2","10.2","30010155"
"-6.2","1","1","-16.1","30010156"
"-7.3","1","2","6.8","30010160"
"-6.4","1","3","7.9","30010161"
"-6","1","1","6.4","30010162"
"-6","1","3","2","30010163"
"-6","1","1","4.6","30010164"
"-2.8","1","1","3","30010166"
"-2.2","1","1","5.3","30010168"
"-0.5","1","3","5.3","30010169"
"-4.9","1","1","-12.2","30010170"
"-4.9","1","3","-10.9","30010171"
"-3.8","1","1","8","30010173"
"-2.6","1","2","8.7","30010174"
"-1.5","1","1","8","30010175"
"-0.3","1","2","8.7","30010176"
"0.9","1","1","7.9","30010177"
"-1.9","1","2","3.3","30010178"
"-1.6","1","2","-0.8","30010181"
"1","1","1","0.4","30010182"
"2.4","1","2","0.4","30010183"
