e1abc2d5249fdb4ccd647de1090cf0b918ef19a955565bcc5047b55bf211f074,17ba6eebfa62ed8ce5c42ef5c074b96db18953b3d2f67f05789f40235424a6ca,920b270803dee6f68f5ec5283e56bbdb22b388c940b2ecfeda3d2b49bd5b1cdd,0c36ebcdb4c35410a6477e1d7c3b8a7a8eb96422a1a2a76b1d0510e24930fef9
"170","1","1","1000"
"175","2","1","3000"
"180","3","1","5000"
"185","4","1","7000"
"190","5","1","9000"
"195","6","1","11000"
"200","7","1","13000"
"205","8","1","15000"
"210","9","1","17000"
"215","10","1","19000"
"220","11","1","21000"
"225","12","1","23000"
"230","13","1","25000"
"232","14","1","27000"
"234","15","1","29000"
"236","16","1","31000"
"238","17","1","33000"
"240","18","1","35000"
"242","19","1","37000"
"244","20","1","39000"
"246","21","1","41000"
"248","22","1","43000"
"250","23","1","9999999"
"170","24","2","1000"
"175","25","2","3000"
"180","26","2","5000"
"185","27","2","7000"
"190","28","2","9000"
"195","29","2","11000"
"200","30","2","13000"
"205","31","2","15000"
"210","32","2","17000"
"215","33","2","19000"
"220","34","2","21000"
"225","35","2","23000"
"230","36","2","25000"
"232","37","2","27000"
"234","38","2","29000"
"236","39","2","31000"
"238","40","2","33000"
"240","41","2","35000"
"242","42","2","37000"
"244","43","2","39000"
"246","44","2","41000"
"248","45","2","43000"
"250","46","2","9999999"
"170","47","3","1000"
"175","48","3","3000"
"180","49","3","5000"
"185","50","3","7000"
"190","51","3","9000"
"195","52","3","11000"
"200","53","3","13000"
"205","54","3","15000"
"210","55","3","17000"
"215","56","3","19000"
"220","57","3","21000"
"225","58","3","23000"
"230","59","3","25000"
"232","60","3","27000"
"234","61","3","29000"
"236","62","3","31000"
"238","63","3","33000"
"240","64","3","35000"
"242","65","3","37000"
"244","66","3","39000"
"246","67","3","41000"
"248","68","3","43000"
"250","69","3","9999999"
