21182df110104685375c4257384a360ded90f5e5519594738db0078d073574a5,12c757b6fee2b8fb811b1df2772bb3e9768b306b566a94d4ce89698d45d2eaf8,4b6b312f7d010563a0882a0fdbc6c6199415ebab53273c672fd728308e490523,20900d750d0da7e69c8ad0b8c8a81901bedf3d7baac930d1c64a58d630a40f61,a552853f8802d2fc9f037d395bde2592a1f498632e79de7bad150735d37cc441
"1","8500","1","200","30"
"1","1500","2","5","30"
"2","8500","3","220","60"
"2","1500","4","5","60"
"3","8500","5","200","60"
"3","1500","6","200","15"
"4","8500","7","200","60"
"4","1500","8","200","10"
"5","8500","9","150","40"
"5","1500","10","5","40"
"6","8500","11","150","60"
"6","1500","12","200","10"
"7","8500","13","150","40"
"7","1500","14","5","40"
"8","8500","15","150","50"
"8","1500","16","200","15"
"9","8500","17","150","45"
"9","1500","18","200","10"
"10","8500","19","145","40"
"10","1500","20","5","10"
"11","8500","21","300","40"
"11","1500","22","5","10"
"12","8500","23","200","65"
"12","1500","24","200","10"
"13","8500","25","150","40"
"13","1500","26","5","10"
"14","8500","27","100","40"
"14","1500","28","5","10"
"15","8500","29","200","50"
"15","1500","30","5","10"
"16","8500","31","250","60"
"16","1500","32","200","30"
"17","8500","33","120","45"
"17","1500","34","300","90"
"18","8500","35","120","90"
"18","1500","36","200","30"
"19","8500","37","190","50"
"19","1500","38","350","60"
"20","8500","39","95","90"
"20","1500","40","95","90"
"21","8500","41","200","20"
"21","1500","42","5","5"
"22","8500","43","450","30"
"22","1500","44","5","5"
"23","8500","45","200","20"
"23","1500","46","5","5"
"1001","8500","47","130","30"
"1001","1500","48","5","5"
"1002","8500","49","140","30"
"1002","1500","50","5","5"
"1003","8500","51","150","40"
"1003","1500","52","5","5"
"1004","8500","53","155","45"
"1004","1500","54","200","5"
"1005","8500","55","155","60"
"1005","1500","56","200","10"
"1006","8500","57","150","60"
"1006","1500","58","200","15"
"1007","8500","59","150","60"
"1007","1500","60","200","15"
"1008","8500","61","160","50"
"1008","1500","62","200","15"
"1009","8500","63","140","70"
"1009","1500","64","200","30"
"1010","8500","65","180","35"
"1010","1500","66","200","120"
