29ba78fb04f0bde263db0bd6f3a2c8607655016f375432ddb8271a51e773f4ee,3b94b81c37db3840a75e9e291c1404603b68c3705ef3880b0c2964d62e1f660d,1fdb2210b6c66b97e24391986e2d7a7dee2295b7ecd6fbee015699488464207f,d8f328c112b609c9666ad76e1db11038646c50982afc4da55ce60c07a7c3369a,95eddf937a10ba2f2874d50a0a75f5d75768c4aa529e09263ee389f9ad7cc580,a7773c5e26a5b6a5431d40686e94e331c7637ddb7582db100d20b69bed99cc98,63a018f4f1f78da9ea95072da7c1c3da513640ce41c4c1376fe4385b29e0038f,32bcfa1470a14754c51d3d6c747e70ebe9aabbd53d2ad4f1a570fc2bb16daae2,8362bd4dff3a4fba59fe5541f47661796a7484e50827190b11304b030cfc2ab2,d9cc6fa83c8a6855d26b110093e5b10702a71b36353eb74d1808476bb1eae947,bb2cd2b424c86f4af7e354ce0d8dedb720bfd5c047bb03da334591e076551f9c,192efac1e3a86747772b6c5d0760094c88a74dcd11ab65fce3c3d2f27bc8f1f5,0b68c5eb71dee3e9d6600dc3c9704143fa61b64294a6b15e187d11e32b2af2a7,f336aadb51c9f1e2c2f268f7976d82daff308832737bfa7edab598bcea4608f0,0ddf517d5529cb9ae240460c8cc739270312d4c82c3df942d2286f2c01347f87,765d99037119665054b02040578d66750b0f668fb925aae2f3f9691f2be0babd,ebea495b5fed7a5a799247172cc2118be473e4749ce3232dad47fc1787fae1f4,d92ac295c80d869a65a4af619a34845b90fb4592d1d06e20b4b34aee0bf6ac3c,e9dfe1c8cc192eaa44e159ac6f59120ea4801612d1779a93f03bab5a4e5a26a2
"1002200","0","2","0","0","1","2000000","0","50","23001","2","1","80","20004","50","94002","0","12","0"
"1002200","0","2","0","0","2","1600000","0","100","23001","2","51","80","20004","40","94002","0","12","0"
"1002200","0","2","0","0","3","1400000","0","200","23001","2","101","60","20004","40","94002","0","12","0"
"1002200","0","2","0","0","4","1200000","0","500","23001","2","201","60","20004","35","94002","0","12","0"
"1002200","0","2","0","0","5","1000000","0","1000","23001","2","501","40","20004","35","94002","0","12","0"
"1002200","0","2","0","0","6","800000","0","1500","23001","2","1001","40","20004","30","94002","0","12","0"
"1002200","0","2","0","0","7","600000","0","2000","23001","2","1501","40","20004","25","94002","0","12","0"
"1002200","0","2","0","0","8","600000","0","3000","23001","2","2001","80","20003","25","94002","0","12","0"
"1002200","0","2","0","0","9","400000","0","5000","23001","2","3001","60","20003","20","94002","0","12","0"
"1002200","0","2","0","0","10","300000","0","10000","23001","2","5001","40","20003","15","94002","0","12","0"
"1002200","0","2","0","0","11","200000","0","100000","23001","2","10001","20","20003","10","94002","0","12","0"
"1002200","0","2","0","0","12","100000","0","200000","23001","2","100001","12","20003","5","94002","0","12","0"
"1002200","0","2","0","0","13","80000","0","300000","23001","2","200001","8","20003","5","94002","0","12","0"
"1002200","0","2","0","0","14","60000","0","400000","23001","2","300001","5","20003","5","94002","0","12","0"
"1002200","0","2","0","0","15","50000","0","-1","23001","2","400001","3","20003","5","94002","0","12","0"
