154354229d04bf59a72268748366e78ac1c237f98c1c648e77a103e3437ee12f,36db4943d6c29165d67c3b7187e75ee8855e650afcc4d7da6c9ee0a88b52c4ed,f6c09f191b2d40af0f8cdb973c6bccae3075c79fd7a1d50bb0e8f4d9d9564c73,c4854c86fd55bab1bc08c9ebceb9239d9633b5dfa7d5b86290d70ba1d6ce2f8b,95a0376a0d6c46b0e31cb33b843641d84a55d17dd77bd343cf6b7d2268c28fc0,20d7b948036d0f6e6417398a24b1d74f5f8e5ec20bfb55e6bc5ff26738f8acc8,1cfb811d6b74d2a173a0b66ff97bbc95e553043781527e33656a5e4347d7dbb7,173b7af2f6dd8f69348891330e58d3777fba066bbd50b0d429001e705325f9d8,72d7d35f07064c4f622e7200c2cf3c28893c9560d4b7462b43cdb5ab1b1f4645,1c6669c67080ba4d9e68d7750b5dee00901b1a40bd0cd30754470a0f48f056b8,a63e66f2e785d7682d3e80f180770f3b77d6a38811e2252afdf145a9667ed216
"","","bgm_M321_2C","bgm_M321","25","","4514","","","4514001",""
"wac_birthday_idle_normal","-1000","105811","1","1","250","4514","0","-70","4514002","2"
"wac_birthday_idle_doya","200","106011","1","1","256","4514","1","-270","4514003","2"
"wac_birthday_idle_wish","320","105911","1","1","258","4514","1","-310","4514004","2"
"wac_birthday_idle_smile","440","106431","1","1","257","4514","1","-290","4514005","2"
"","","300","105811","13","","4514","","","4514006",""
"","","300","106011","13","","4514","","","4514007",""
"","0","600","600","31","0","4514","","1","4514008","1"
"","0","602","602","31","0","4514","","1","4514009","0"
"","0","603","603","31","0","4514","","1","4514010","0"
"","60","604","604","31","30","4514","","1","4514011","1"
"","0","611","611","31","0","4514","","1","4514012","1"
"","0","700","700","31","0","4514","","1","4514013","0"
"","0","701","701","31","0","4514","","1","4514014","0"
"","0","702","702","31","0","4514","","1","4514015","0"
"","0","800","800","31","0","4514","","1","4514016","0"
"","60","900","900","31","30","4514","","1","4514017","1"
"","","","1","93","","4514","","","4514018",""
"","wac_birthday_reaction_03","wac_birthday_reaction_01","105911","3","0","4514","0.2","1","4514019","0.2"
"","","","0.1","93","","4514","","","4514020",""
"","wac_birthday_reaction_04","wac_birthday_reaction_05","106011","3","0","4514","0.2","1","4514021","0.2"
"","wac_birthday_reaction_03","wac_birthday_reaction_02","106431","3","0","4514","0.2","1","4514022","0.2"
"","","","0.3","93","","4514","","","4514023",""
"","","wac_birthday_run_01","105811","3","1","4514","","","4514024","0.2"
"","3","0","105811","2","-70","4514","","","4514025",""
"","","","2.5","93","","4514","","","4514026",""
"","","1","602","32","","4514","","","4514027",""
"","","","0.6","93","","4514","","","4514028",""
"","","0","600","32","","4514","","","4514029",""
"","","0","611","32","","4514","","","4514030",""
"","","0","604","32","","4514","","","4514031",""
"","","1","701","32","","4514","","","4514032",""
"","0.01","0","900","33","0","4514","","","4514033",""
"","wac_birthday_wish_02","wac_birthday_blowout_02","105811","3","0","4514","0.2","1","4514034","0.2"
"","0.01","-200","105811","2","-330","4514","","","4514035",""
"","","wac_birthday_idle_doya","106011","3","1","4514","","","4514036","0.2"
"","0.01","180","106011","2","-320","4514","","","4514037",""
"","","wac_birthday_idle_wish","105911","3","1","4514","","","4514038","0.2"
"","0.01","300","105911","2","-360","4514","","","4514039",""
"","","wac_birthday_idle_smile","106431","3","1","4514","","","4514040","0.2"
"","0.01","420","106431","2","-340","4514","","","4514041",""
"","","","0","93","","4514","","","4514042",""
"","","1","800","32","","4514","","","4514043",""
"","","","0.7","93","","4514","","","4514044",""
"","","1","702","32","","4514","","","4514045",""
"","","","0.5","93","","4514","","","4514046",""
"","","se_sys_login_birthday_blow_candle","se_common","23","0","4514","","","4514047",""
"","","0","701","32","","4514","","","4514048",""
"","","","0.4","93","","4514","","","4514049",""
"","","se_sys_login_birthday_cracker","se_common","23","0","4514","","","4514050",""
"","","1","700","32","","4514","","","4514051",""
"","","se_sys_login_birthday_calendar_applause","se_common","23","0","4514","","","4514052",""
"","wac_birthday_idle_doya","wac_birthday_clap","106011","3","0","4514","0.2","1","4514053","0.2"
"","","","0.1","93","","4514","","","4514054",""
"","wac_birthday_idle_wish","wac_birthday_clap_to_wish","105911","3","0","4514","0.2","1","4514055","0.2"
"","","","0.1","93","","4514","","","4514056",""
"","wac_birthday_idle_smile","wac_birthday_clap","106431","3","0","4514","0.2","1","4514057","0.2"
"","","","2","93","","4514","","","4514058",""
"","","","1","131","","4514","","","4514059",""
"","0","vo_wac_04514_000","vo_wac_04514","21","0","4514","","","4514060",""
"0.5","1","這是生日蛋糕嗎！？\n謝謝你♪\n看起來好好吃……\n我馬上來大快朵頤囉♪","105811","11","10","4514","0","1","4514061","0"
"","","","0","91","","4514","","","4514062",""
"","","wac_birthday_idle_kyapi","105811","3","1","4514","","","4514063","0.2"
"","","wac_birthday_talk_normal","106011","3","1","4514","","","4514064","0.2"
"","0","vo_wac_04514_001","vo_wac_04514","21","0","4514","","","4514065",""
"0.5","1","慢著慢著，等一下────！！\n蠟燭都還沒拿下來耶！？\n妳這個人真的是一點也沒變啊……\n呵呵，生日快樂。","106011","11","10","4514","0","1","4514066","0"
"","","","0","91","","4514","","","4514067",""
"","","wac_birthday_idle_doya","106011","3","1","4514","","","4514068","0.2"
"","","wac_birthday_talk_kyapi","105811","3","1","4514","","","4514069","0.2"
"","0","vo_wac_04514_002","vo_wac_04514","21","0","4514","","","4514070",""
"0.5","1","嘻嘻，謝謝妳♪\n我會好好品嚐的！\n能夠得到大家的祝福，\n今天是最棒的紀念日♪","105811","11","10","4514","0","1","4514071","0"
"","","","0","91","","4514","","","4514072",""
"","","wac_birthday_talk_wish","105811","3","1","4514","","","4514073","0.2"
"","0","vo_wac_04514_003","vo_wac_04514","21","0","4514","","","4514074",""
"0.5","1","不論是今天、明天，還是遙遠的未來，\n都希望我們可以同桌享用豐盛的餐點♪\n當然，你也要一起喔！\n今後也請多多指教呢！","105811","11","10","4514","0","1","4514075","0"
"","","","0","91","","4514","","","4514076",""
"","","","0","22","","4514","","","4514077",""
"","","bgm_M321_2C","bgm_M321","25","","4814","","","4814001",""
"wac_birthday_idle_normal","-1000","102011","1","1","250","4814","0","-70","4814002","2"
"wac_birthday_idle_doya","230","103611","1","1","256","4814","1","-270","4814003","2"
"wac_birthday_idle_kyapi","410","100411","1","1","257","4814","1","-310","4814004","2"
"","","300","102011","13","","4814","","","4814005",""
"","","300","103611","13","","4814","","","4814006",""
"","0","600","600","31","0","4814","","1","4814007","1"
"","0","602","602","31","0","4814","","1","4814008","0"
"","0","603","603","31","0","4814","","1","4814009","0"
"","60","604","604","31","30","4814","","1","4814010","1"
"","0","611","611","31","0","4814","","1","4814011","1"
"","0","700","700","31","0","4814","","1","4814012","0"
"","0","701","701","31","0","4814","","1","4814013","0"
"","0","702","702","31","0","4814","","1","4814014","0"
"","0","800","800","31","0","4814","","1","4814015","0"
"","60","901","901","31","30","4814","","1","4814016","1"
"","","","1","93","","4814","","","4814017",""
"","wac_birthday_reaction_03","wac_birthday_reaction_02","100411","3","0","4814","0.2","1","4814018","0.2"
"","","","0.1","93","","4814","","","4814019",""
"","wac_birthday_reaction_04","wac_birthday_reaction_01","103611","3","0","4814","0.2","1","4814020","0.2"
"","","","0.3","93","","4814","","","4814021",""
"","","wac_birthday_run_01","102011","3","1","4814","","","4814022","0.2"
"","3","0","102011","2","-70","4814","","","4814023",""
"","","","2.5","93","","4814","","","4814024",""
"","","1","602","32","","4814","","","4814025",""
"","","","0.6","93","","4814","","","4814026",""
"","","0","600","32","","4814","","","4814027",""
"","","0","611","32","","4814","","","4814028",""
"","","0","604","32","","4814","","","4814029",""
"","","1","701","32","","4814","","","4814030",""
"","0.01","0","901","33","0","4814","","","4814031",""
"","wac_birthday_wish_02","wac_birthday_blowout_02","102011","3","0","4814","0.2","1","4814032","0.2"
"","0.01","-200","102011","2","-330","4814","","","4814033",""
"","","wac_birthday_idle_doya","103611","3","1","4814","","","4814034","0.2"
"","0.01","180","103611","2","-320","4814","","","4814035",""
"","","wac_birthday_idle_kyapi","100411","3","1","4814","","","4814036","0.2"
"","0.01","320","100411","2","-340","4814","","","4814037",""
"","","","0","93","","4814","","","4814038",""
"","","1","800","32","","4814","","","4814039",""
"","","","0.7","93","","4814","","","4814040",""
"","","1","702","32","","4814","","","4814041",""
"","","","0.5","93","","4814","","","4814042",""
"","","se_sys_login_birthday_blow_candle","se_common","23","0","4814","","","4814043",""
"","","0","701","32","","4814","","","4814044",""
"","","","0.4","93","","4814","","","4814045",""
"","","se_sys_login_birthday_cracker","se_common","23","0","4814","","","4814046",""
"","","1","700","32","","4814","","","4814047",""
"","","se_sys_login_birthday_calendar_applause","se_common","23","0","4814","","","4814048",""
"","wac_birthday_idle_doya","wac_birthday_clap","103611","3","0","4814","0.2","1","4814049","0.2"
"","","","0.1","93","","4814","","","4814050",""
"","wac_birthday_idle_kyapi","wac_birthday_clap","100411","3","0","4814","0.2","1","4814051","0.2"
"","","","2","93","","4814","","","4814052",""
"","","","1","131","","4814","","","4814053",""
"","0","vo_wac_04814_000","vo_wac_04814","21","0","4814","","","4814054",""
"0.5","1","哇～是蛋糕呢～！\n比店裡賣的還要大個……！\n好厲害好厲害♪","102011","11","10","4814","0","1","4814055","0"
"","","","0","91","","4814","","","4814056",""
