dfb4ebc47b16176c8cba16d3426d80a2dccbbc3152a920fff5c35bca63b35762,d77a9601fc6430e7577ac6e14525d611bafe0ceffedffeefbb552e308a4f8eaf,55319ebe7e3488d8b030d221df05175fec17c0ad9bca9e54fc31fa20eb884042,81a54fc1c832c609af8ff3c7aa7e250782ad9b2af2e72e6b967e7717ce335064,1ee4bb25d220f876591be30e3dc2ec59b810efe918ee8e99b3a2acaa5ae20c6a,186d7823e40886569a51ff400375be319a9e4c4f37eb9f43f52c70b680620bae,c9082127d786b4527f5f69b245fe395fb90084eb3801f76b4f8e9b07202a4f05,d2af7a8da03dcd64b8ee382c6026fa16ea7eced5a4b18658bcb92c149b10a349,1a83cf76a0a55a57e2af5070dcda787b961ec5fd9bea889bde2c791dbb6a4615,ee0281924ff31a87f2cf6253b2f324dd1162a53861a5bdd78c3e82e1de6f4f5b,0c921401d70077911d77ca520e1772804c98119b1a5635ecf7ba4489b9cf007c,69190ee7641e5e6602d1cc37aac6db0069da6dd45f855d4a1fd824bb374506d5,109541f9d9cc6fc04c94238b71517e3b686958c9eee07904aec9d33b2a670e86,70c141c88d19722662d19d01b6d354e2cd67e717f0e98323d305d5ed65b3003a
"挑戰席茲1次（NORMAL、HARD共通）","2018/09/19 15:59:59","9012","0","101","2018/08/28 16:00:00","0","601","0","10001","61001001","6008","1","61001001"
"完成10次活動冒險","2018/09/19 15:59:59","9004","0","102","2018/08/28 16:00:00","0","601","0","10001","61001002","6004","10","61001002"
"挑戰阿爾瑪1次（NORMAL、HARD共通）","2018/10/28 15:59:59","9012","0","101","2018/10/03 16:00:00","0","601","0","10002","61002001","6008","1","61002001"
"完成10次活動冒險","2018/10/28 15:59:59","9004","0","102","2018/10/03 16:00:00","0","601","0","10002","61002002","6004","10","61002002"
"挑戰食屍巨狼1次（NORMAL、HARD共通） ","2018/11/25 15:59:59","9012","0","101","2018/11/01 15:59:59","0","601","0","10003","61003001","6008","1","61003001"
"完成10次活動冒險","2018/11/25 15:59:59","9004","0","102","2018/11/01 15:59:59","0","601","0","10003","61003002","6004","10","61003002"
"挑戰1次天塔帕斯（全難度共通）","2018/12/24 15:59:59","9012","0","101","2018/12/01 16:00:00","0","601","0","10004","61004001","6008","1","61004001"
"完成10次活動冒險","2018/12/24 15:59:59","9004","0","102","2018/12/01 16:00:00","0","601","0","10004","61004002","6004","10","61004002"
"挑戰1次島鯨（全難度共通）","2019/01/25 15:59:59","9012","0","101","2019/01/03 16:00:00","0","601","0","10005","61005001","6008","1","61005001"
"完成10次活動冒險","2019/01/25 15:59:59","9004","0","102","2019/01/03 16:00:00","0","601","0","10005","61005002","6004","10","61005002"
"挑戰1次亡靈鎧甲（全難度共通）","2019/02/22 15:59:59","9012","0","101","2019/02/01 12:00:00","0","601","0","10006","61006001","6008","1","61006001"
"完成10次活動冒險","2019/02/22 15:59:59","9004","0","102","2019/02/01 12:00:00","0","601","0","10006","61006002","6004","10","61006002"
"挑戰 1 次傑克南瓜布丁吧（全難易度皆可） ","2019/03/28 15:59:59","9012","0","101","2019/03/06 16:00:00","0","601","0","10007","61007001","6008","1","61007001"
"完成10次活動冒險","2019/03/28 15:59:59","9004","0","102","2019/03/06 16:00:00","0","601","0","10007","61007002","6004","10","61007002"
"挑戰 1 次奧拉姆吧（全難易度皆可） ","2019/04/21 15:59:59","9012","0","101","2019/04/03 16:00:00","0","601","0","10008","61008001","6008","1","61008001"
"完成10次活動冒險","2019/04/21 15:59:59","9004","0","102","2019/04/03 16:00:00","0","601","0","10008","61008002","6004","10","61008002"
"挑戰 1 次霧奇吧（全難易度皆可） ","2019/05/19 15:59:59","9012","0","101","2019/05/02 16:00:00","0","601","0","10009","61009001","6008","1","61009001"
"完成10次活動冒險","2019/05/19 15:59:59","9004","0","102","2019/05/02 16:00:00","0","601","0","10009","61009002","6004","10","61009002"
"挑戰 1 次邪餅神鏡餅吧（全難易度共通） ","2019/06/21 15:59:59","9012","0","101","2019/06/03 16:00:00","0","601","0","10010","61010001","6008","1","61010001"
"完成10次活動冒險","2019/06/21 15:59:59","9004","0","102","2019/06/03 16:00:00","0","601","0","10010","61010002","6004","10","61010002"
"挑戰 1 次醜陋可愛吧（全難易度共通） ","2019/07/18 15:59:59","9012","0","101","2019/07/01 16:00:00","0","601","0","10011","61011001","6008","1","61011001"
"完成10次活動冒險","2019/07/18 15:59:59","9004","0","102","2019/07/01 16:00:00","0","601","0","10011","61011002","6004","10","61011002"
"打敗 1 次醜陋可愛吧（全難易度共通） ","2019/07/18 15:59:59","9011","0","103","2019/07/01 16:00:00","0","601","0","10011","61011003","6008","1","61011003"
