8c9c8204ddf01bc9767f5edf8e035813fd91f768f7fa79766b54c3b1228fc74d,f5a6fa8ab463c212436666e3a9622c7fa074bf0b6babbc194fc10ee3bff487aa,d7d8534ee319b61d22f48137c8d495f7b2a3222df81716e82e62704735d24c88,e48e03ea3b6ac6ec06c25c664527d3afce9b689b2f472997c909f9a60901da18,3e65a2ba6bca92c671cd96993bd2462b92afb77a680c75993c4c8478ed6357f8,2a3b707f854e83485dfa0c2457f7a885ae2dd5f6ff713e6035e4ba064e8a9497,8ba0a66cee154bfb957aff5daf154156c3aba815310685dd72702c9a68eb2594,59a81e0e3429071f0dcc6e1a8594057d7c0332c2d17e546a43921e653899546f,43002dd807a6b62c7f6ee58b5eae9dcc72cfd3f0626ee9448e55592604bf44e9,151ae57a54af0893888f5502a35c6396bbf83dc8ccb526695ac0f977cabf6828,fd7d458f01cb92dcb9dfa39c42a117ec794c3dc5cd4e4811e7a52de74777ca20
"也可以從額外劇情中\n查看特別的劇情。","活動特別章節","10046","活動「美里的夏日聲援！　追夢的盛夏棒球隊」的\n特別章節已解放。","5046601","5046601","前往劇情","1004601","2020/12/04 16:00:00","2020/12/18 11:59:59","1"
"也可以從額外劇情中\n查看特別的劇情。","活動特別章節","10048","閱讀完活動「Happy‧Change‧Angels」的\n終幕後，即會解放特別的章節。","0","5048","前往劇情","1004801","2020/12/31 16:00:00","2021/01/14 15:59:59","2"
"也可以從額外劇情中\n查看特別的劇情。","活動特別章節","10048","活動「Happy‧Change‧Angels」中\n拉菲寄了信給你！","0","5048","前往劇情","1004802","2020/12/31 16:00:00","2021/01/14 15:59:59","3"
"也可以從額外劇情中\n查看特別的劇情。","活動特別章節","10056","活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。","5056601","5056","前往劇情","1005601","2021/05/18 16:00:00","2021/05/31 15:59:59","4"
"可以從額外劇情中\n查看特別的劇情。","活動特別章節","10061","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","5061601","5061","前往劇情","1006101","2021/07/05 16:00:00","2021/07/19 15:59:59","3"
"","活動特別章節","10061","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","5061602","10061","前往劇情","1006102","2021/07/19 16:00:00","2021/07/23 15:59:59","5"
"可以從額外劇情中\n查看特別的劇情。","活動特別章節","10061","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","5061601","5061","前往劇情","1006103","2021/07/23 16:00:00","2021/07/31 15:59:59","3"
"若要閱覽，必須在「大家的遊戲桌」\n購買「大激戰！龍人們的接龍競賽」後，\n遊玩EXTRA關卡","小遊戲 劇情解放","10066","小遊戲「大激戰！龍人們的接龍競賽」後\n解放了新的劇情","5027704","1004","前往劇情","1006601","2021/09/01 16:00:00","2021/09/30 15:59:59","6"
"可從「暑假圖畫日記」的封面進行切換，\n查看批改留言。","追加來自伊緒的留言","10070","「暑假圖畫日記」中\n已追加伊緒老師的批改留言。","5070601","10070","前往活動","1007001","2021/11/15 16:00:00","2021/11/19 15:59:59","5"
"也可以從額外劇情中\n查看特別的劇情。","活動特別章節","10073","活動「美里的夏日聲援！　追夢的盛夏棒球隊」的\n特別章節已解放。","5046601","5046601","前往劇情","1007301","2021/12/17 16:00:00","2021/12/31 15:59:59","1"
"也可以從額外劇情中\n查看特別的劇情。","活動特別章節","10075","閱讀完活動「Happy‧Change‧Angels」的\n終幕後，即會解放特別的章節。","0","5048","前往劇情","1007501","2022/01/26 16:00:00","2022/01/31 15:59:59","2"
"也可以從額外劇情中\n查看特別的劇情。","活動特別章節","10075","活動「Happy‧Change‧Angels」中\n拉菲寄了信給你！","0","5048","前往劇情","1007502","2022/01/26 16:00:00","2022/01/31 15:59:59","3"
"","追加大合照","10082","已於「眾人同樂的年菜派對」\n追加大合照。","5082601","1004","前往活動","1008201","2022/05/16 16:00:00","2022/05/20 15:59:59","5"
"也可以從額外劇情中\n查看特別的劇情。","活動特別章節","10083","活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。","5056601","5056","前往劇情","1008301","2022/05/18 16:00:00","2022/05/24 15:59:59","4"
"可以從額外劇情中\n查看特別的劇情。","活動特別章節","10089","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","5061601","5061","前往劇情","1008901","2022/07/19 16:00:00","2022/07/28 15:59:59","3"
"","活動特別章節","10089","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","5061602","10089","前往劇情","1008902","2022/07/26 16:00:00","2022/07/28 15:59:59","5"
"可以從額外劇情中\n查看特別的劇情。","活動特別章節","10089","活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","5061601","5061","前往劇情","1008903","2022/07/28 16:00:00","2022/07/31 15:59:59","3"
"","活動特別章節","10092","活動「 Episode of Pirate　海盜島上被詛咒的遺寶」\n的活動特別章節已解放。","5092601","10092","前往劇情","1009201","2022/09/15 16:00:00","2022/09/19 15:59:59","5"
"","活動特別章節","10100","活動「真步真步的神奇旅程！　旅行的少女與\n邊境的大樹」的特別章節已解放。","5100601","10100","前往劇情","1010001","2023/01/16 16:00:00","2023/01/20 15:59:59","5"
"","追加大合照","10109","已於「眾人同樂的年菜派對」\n追加大合照。","5082601","1004","前往活動","1010901","2023/05/26 16:00:00","2023/05/28 15:59:59","5"
"","活動特別章節","10119","活動「 Episode of Pirate　海盜島上被詛咒的遺寶」\n的活動特別章節已解放。","5092601","10119","前往劇情","1011901","2023/09/25 16:00:00","2023/09/28 15:59:59","5"
"","活動特別章節","10127","活動「真步真步的神奇旅程！　旅行的少女與\n邊境的大樹」的特別章節已解放。","5100601","10127","前往劇情","1012701","2024/01/24 16:00:00","2024/01/27 15:59:59","5"
"也可以從額外劇情中\n查看特別的劇情。","活動特別章節","20032","活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。","5056601","5056","前往劇情","2003201","2022/05/18 16:00:00","2022/05/24 15:59:59","4"
