9c739354b12ae858ddf0c8b34d51e1e7926a150fd3b521aa8f3cd106dc189586,8d1f679237ca6ca2547398a8d52a6b6f0d0111a73a4d1c137f440cdbc10d059b,7051c84cdd56b96d9005e27107b39ffb042705da57509f3664b40d06a670c40c,be2bffd0bd36db7f21d425fe4c1ae1b1ac2e39e558b155dcd95565344e80566c,93dd243e2586f9bc6f5422bdc1aedf52fee8af6c21a42ff39d0dd3e6c9070df6,d6727eb02d8297213e6005f8ee50b60788718bff6659bb73e6d1166d12f14589,bb379923440101d982ab910e8dc20f884b514fabec61e55e1cdb954cc2a8c274,af179e16b4722ba9a4c753cc81a71f2f17bd984cc665ffb0b0e96fd9282a788c,e1540fd70b1c726858a84c66d889935ff4951a38d4e60e2894df2dc3da430aa1,50ed664e86af25d33e7f1a8f221892e8199dd08ff8ac84c98b1a6d3b841a84d8,f7d56002ac8cefd1cc83f31acf8882c9491f0a01c8fbdf87a28659e634611a93
"23","111","se_travel_start_1pt","","101110001","0","","","se_travel","",""
"31","111","10010","1","101110002","0","","1","10010","","0"
"31","111","10011","1","101110003","0","","1","10011","","0"
"31","111","10020","0","101110004","0","","1","10020","","0"
"1","111","1001001","0.68","101110005","62","0","-150","2","<weapon>_idle","-150"
"1","111","1001002","0.68","101110006","61","0","-75","2","<weapon>_idle","-250"
"1","111","1001003","0.68","101110007","63","0","-180","2","<weapon>_idle","-350"
"1","111","1001004","0.68","101110008","61","0","-75","2","<weapon>_idle","-450"
"1","111","1001005","0.68","101110009","62","0","-150","2","<weapon>_idle","-550"
"31","111","1001001","1","101110010","-150","0","0.68","10012","","-150"
"31","111","1001002","1","101110011","-250","0","0.68","10012","","-75"
"31","111","1001003","1","101110012","-350","0","0.68","10012","","-180"
"31","111","1001004","1","101110013","-450","0","0.68","10012","","-75"
"31","111","1001005","1","101110014","-550","0","0.68","10012","","-150"
"31","111","10030","0","101110015","0","","1","10030","","0"
"31","111","10031","0","101110016","0","","1","10031","","0"
"91","111","0","","101110017","","","","","",""
"32","111","1","","101110018","","","","10030","",""
"91","111","0","","101110019","","","","0","",""
"3","111","<weapon>_run","0","101110020","1","","0","1001001","",""
"3","111","<weapon>_run","0","101110021","1","","0","1001002","",""
"3","111","<weapon>_run","0","101110022","1","","0","1001003","",""
"3","111","<weapon>_run","0","101110023","1","","0","1001004","",""
"3","111","<weapon>_run","0","101110024","1","","0","1001005","",""
"2","111","800","","101110025","-150","","0","1001001","","3"
"2","111","700","","101110026","-75","","0","1001002","","3"
"2","111","600","","101110027","-180","","0","1001003","","3"
"2","111","500","","101110028","-75","","0","1001004","","3"
"2","111","400","","101110029","-150","","0","1001005","","3"
"33","111","800","","101110030","-150","","0","1001001","","3"
"33","111","700","","101110031","-75","","0","1001002","","3"
"33","111","600","","101110032","-180","","0","1001003","","3"
"33","111","500","","101110033","-75","","0","1001004","","3"
"33","111","400","","101110034","-150","","0","1001005","","3"
"32","111","1","","101110035","","","","10020","",""
"93","111","0","","101110036","","","","2.5","",""
"32","111","1","","101110037","","","","10031","",""
