18ebd316b6d252cbf672b82d847758759b8c4df9e57bcbb49d17c18e4dc1e7bf,d441c607f7bb9131e5a47ad7a065acf01515f444dee22b42cbc3b4e5a2b405ee,75914d2a097970ec5d0f2bcf5c6ded03e4cfb19172a89c7faacc2b06a1412eef,7106a8ab91f3b3763181175089af47307980c4865ad4f3cffb682ae22706b699,f3fc33e7fdc1299129f36b6a382d7c7d917c591e2eb375a1072863f0806d814c
"3030100","0","0","1","1"
"3050100","0","0","1","2"
"3040100","0","0","1","3"
"3020100","0","0","1","4"
"2040100","0","0","1","5"
"2040100","0","0","2","5"
"2020100","0","0","1","6"
"2020100","0","0","2","6"
"1030100","0","314","1","7"
"4030100","0","0","1","8"
"1050100","0","502","1","9"
"4020100","0","0","1","10"
"2030100","0","0","1","11"
"2030100","0","0","2","11"
"3040100","10301010","0","1","12"
"1020100","0","202","1","13"
"1040102","20201010","406","1","14"
"1010200","0","105","1","15"
"2010200","0","0","2","15"
"2010200","0","0","3","15"
"3050200","0","0","1","16"
"3040200","0","0","1","17"
"3020200","0","0","1","18"
"2040200","0","0","1","19"
"2040200","0","0","2","19"
"2020200","0","0","1","20"
"2020200","0","0","2","20"
"1030200","0","315","1","21"
"1020200","0","205","1","22"
"1050200","0","509","1","23"
"4020200","0","0","1","24"
"2030200","0","0","1","25"
"2030200","0","0","2","25"
"4030200","0","0","1","26"
"3020200","10101020","0","1","27"
"1040200","20201020","408","1","28"
"3040200","10101020","0","1","29"
"3010200","10101020","0","1","30"
"1010300","0","102","1","31"
"2010300","0","0","2","31"
"2010300","0","0","3","31"
"3050300","0","0","1","32"
"3040300","0","0","1","33"
"3020300","0","0","1","34"
"2040300","0","0","1","35"
"2040300","0","0","2","35"
"2020300","0","0","1","36"
"2020300","0","0","2","36"
"1030300","0","306","1","37"
"1020300","0","206","1","38"
"1050300","0","502","1","39"
"4020300","0","0","1","40"
"2030300","0","0","1","41"
"2030300","0","0","2","41"
"4030300","0","0","1","42"
"3020300","10101030","0","1","43"
"1040300","20201030","406","1","44"
"3010300","10101050","0","1","45"
"3040300","10101050","0","1","46"
"3030300","10101050","0","1","47"
"3010300","10101050","0","1","48"
"3020300","10101050","0","1","49"
"1010300","30102050","112","1","50"
