50fb217ffdd2e9a98747994001fd653b5a457202e0c162c34d58d09fee4ff728,3aeaaa588e54b78c576b73faf7e27465158075729aec64da52e2145b79d6cff0,0fa9985b823b40106e37d152b3215cedbd830a6b1ad5401b9ea191f23b648124
"106101","裝備中","平常時"
"106701","特殊技","平常時"
"106801","權能解放中","平常時"
"106901","特殊技","平常時"
"115801","變身中","平常時"
"116401","特殊技","平常時"
"118201","特殊技能","平常時"
"118501","特殊技","平常時"
"118601","特殊技能","平常時"
"120801","初次發動時","平常時"
"122001","特殊技","平常時"
"122301","共鬥中","平常時"
"122701","特殊技","平常時"
"123001","特殊技","平常時"
"125001","共鬥中","平常時"
"125801","特殊技能","平常時"
"126001","特殊技能","平常時"
"126101","特殊技能","平常時"
"126201","特殊技能","平常時"
"126401","【蓄電滿載】中","平常時"
"126501","特殊技能","平常時"
"129001","特殊技能","平常時"
"129301","特殊技能","平常時"
"129401","特殊技能","平常時"
"129501","初次發動時","平常時"
"129601","特殊技能","平常時"
"129701","特殊技能","平常時"
"130001","特殊技能","平常時"
"130101","特殊技能","平常時"
"131201","特殊技能","平常時"
"131801","特殊技能","平常時"
"132001","特殊技能","平常時"
"132101","鬼化中","平常時"
"132901","初次發動時","平常時"
"133801","召喚物技能","平常時"
"181201","特殊技能","平常時"
