21b875d758476d0d317b152f6fb1e846b9ca06897b01d7c4dc1692f7b9cef1b3,1aeb254da9e06e4520b88739ad6b249134b998e3c374b503e8990422bf3ddbf4,907e80b3c79d45c40ef705809aa05bca8e5f98d63f2401337c61f8d83f44ba0a,8e3c5b14f2ed1fa6065f108499e1b5d00090d7bd813867149efd9c190e44b6b5,60aae2fe86d53ecc3e31ec8cd1d829b5f30722fa53180539ad338515e8479b11,ee1f27568daec2228c0ce275d31dcfe23525b313b122f3b46fc5032b4929f672
"-1480","2816","1","1","11","-1480"
"-1400","2816","1","1","21","-1302"
"-1302","2816","1","1","31","-1263"
"-1263","2816","1","1","41","-1224"
"-1224","2816","1","1","51","-1185"
"-1185","2816","1","1","61","-1146"
"-1146","2816","1","1","71","-1146"
"-1146","2816","1","1","81","-1146"
"-1146","2816","1","1","91","-1107"
"-1107","2816","1","1","101","-1068"
"-1068","2816","1","1","111","-1029"
"-1029","2816","1","1","121","-1029"
"-1029","2816","1","1","131","-1029"
"-1029","2816","1","1","141","-1029"
"-1029","2816","1","1","151","-988"
"-988","2816","1","1","161","-947"
"-947","2816","1","1","171","-906"
"-906","2816","1","1","181","-865"
"-865","2816","1","1","191","-865"
"-865","2816","1","1","201","-865"
"-865","2816","1","1","211","-824"
"-824","2816","1","1","221","-783"
"-783","2816","1","1","231","-742"
"-742","2816","1","1","241","-701"
"-701","2816","1","1","251","-660"
"-660","2816","1","1","261","-619"
"-619","2816","1","1","271","-619"
"-619","2816","1","1","281","-619"
"-619","2816","1","1","291","-619"
"-619","2816","1","1","301","-578"
"-578","2816","1","1","311","-537"
"-537","2816","1","1","321","-496"
"-496","2816","1","1","331","-496"
"-496","2816","1","1","341","-496"
"-496","2816","1","1","351","-496"
"-496","2816","1","1","361","-455"
"-455","2816","1","1","371","-414"
"-414","2816","1","1","381","-373"
"-373","2816","1","1","391","-332"
"-332","2816","1","1","401","-332"
"-332","2816","1","1","411","-332"
"-332","2816","1","1","421","-200"
"-1246","2816","2","2","431","-1181"
"-1181","2816","2","2","441","-1152"
"-1152","2816","2","2","451","-1152"
"-1152","2816","2","2","461","-1123"
"-1123","2816","2","2","471","-1094"
"-1094","2816","2","2","481","-1094"
"-1094","2816","2","2","491","-1065"
"-1065","2816","2","2","501","-1065"
"-1065","2816","2","2","511","-1036"
"-1036","2816","2","2","521","-1036"
"-1036","2816","2","2","531","-1007"
"-1007","2816","2","2","541","-978"
"-978","2816","2","2","551","-978"
"-978","2816","2","2","561","-949"
"-949","2816","2","2","571","-920"
"-920","2816","2","2","581","-891"
"-891","2816","2","2","591","-862"
"-862","2816","2","2","601","-862"
"-862","2816","2","2","611","-862"
"-862","2816","2","2","621","-862"
"-862","2816","2","2","631","-833"
"-833","2816","2","2","641","-804"
"-804","2816","2","2","651","-775"
