ec08b697bac71fdb23e2bf6348d0fd69e29a59b32872b07bb94aa32de3b887b8,3724658132f26af19009d1bcf848755dbf44ef341b609a547bf605fcf406abc7,d366c75076d1a3700cc504474965fec106006cde3231fcb77b1db188029454a3,f1a32fa93c54ca4bc5f6a7481af3298b4c10e3af85d68c8a9836caa66090b27b,d96d0207921cdeca4869a305e70efd9b254a82df9af6ed853060cdadff68d5b2,ab09c6ecf32b7c92dcf00cf94df5e09ab780bd489cc4371102eecf503bb1e579,152fbaff3ec7b2ddbedc138479e2b9beeef592b25ffa19ed82e9adc2c4007527,4d8c453f327cc32709080883bd3444ad4994dab9c82e4f588b42a2bd8c81f8a0,cb5beecd5c6805f85ee5f17861c641fdb2bfbeebf62aee96f97c59dfb2936950
"0","0","1","102130108","5213062","","108","萊拉耶爾 第1道","10213"
"1","0","1","102130109","5213062","","109","萊拉耶爾 第2道","10213"
"2","0","1","102130110","5213064","","110","萊拉耶爾 第3道","10213"
"3","0","1","102130111","5213066","","111","萊拉耶爾 第4道","10213"
"4","0","1","102130112","5213068","","112","萊拉耶爾 第5道","10213"
"5","0","1","102130113","5213070","","113","萊拉耶爾 第6道","10213"
"6","0","1","102130114","5213072","","114","萊拉耶爾 第7道","10213"
"0","0","2","102130208","5213076","","208","涅妃‧涅羅 第1道","10213"
"1","0","2","102130209","5213076","","209","涅妃‧涅羅 第2道","10213"
"2","0","2","102130210","5213078","","210","涅妃‧涅羅 第3道","10213"
"3","0","2","102130211","5213080","","211","涅妃‧涅羅 第4道","10213"
"4","0","2","102130212","5213082","","212","涅妃‧涅羅 第5道","10213"
"5","0","2","102130213","5213084","","213","涅妃‧涅羅 第6道","10213"
"6","0","2","102130214","5213086","","214","涅妃‧涅羅 第7道","10213"
"0","0","3","102130308","5213090","","308","薇歐莉特 第1道","10213"
"1","0","3","102130309","5213090","","309","薇歐莉特 第2道","10213"
"2","0","3","102130310","5213092","","310","薇歐莉特 第3道","10213"
"3","0","3","102130311","5213094","","311","薇歐莉特 第4道","10213"
"4","0","3","102130312","5213096","","312","薇歐莉特 第5道","10213"
"5","0","3","102130313","5213098","","313","薇歐莉特 第6道","10213"
"6","0","3","102130314","5213100","","314","薇歐莉特 第7道","10213"
