93ac53cb1e7a31c60cd11e3d9ee607bf7e95b77aa458bec32db5d9c8bde1da9d,bd8c05011adc003bf568462310cb9462b0e082eeefb76432f15b7f745e1032ba,a08ef53c4ed64a2b0415bbd90df546db85d4ca520e59cc91cb327ac03be88170,2ac30f761b50ac004b57929174ba75a197a84f860ddf468c5d9b88ce6adeff72,3193af92a29a33ca42e53adcfebcd2eab144708f65c626814651313c2ab0bd98,e0f885f69a09e5eb731a462db971053951bc1aa108c48b8faa72959d49c26c8f,fbe5e86161aec370aabe22702d9412de0f60b2b201822c6e78231a1b0335439f,bd926063f2882a550ff0d9cbfb5efe01dfbb2b5b1ce72157419133815b1ddf5c,9864b90fc8c9c8042db8f888127f4b7a4c9224d5ef6d0ca9d1b6280f935790bf,9238961fba54f6a5b0ed119c24e194a1010d3cc901327e19e98dd223db8766c3,1ba99207f5c995c81b59ce9b00957bdab3386000c0bbc568ba4dc0b2638253b4,7ee1a0383dbdeca24416c9b409ec55a5ffb383e11957e9e8c000b7a06bbb39dd
"107511","0","10140","1","游泳圈游泳（黃）","0","10","0","2","103","0","10140101"
"107611","0","10140","1","游泳圈游泳（藍）","0","15","0","2","102","0","10140102"
"107711","0","10140","1","游泳圈游泳（黃）","0","10","0","1","103","0","10140103"
"108011","0","10140","1","游泳圈游泳（藍）","0","10","0","2","102","0","10140106"
"110011","0","10140","1","游泳圈游泳（粉）","0","10","0","2","101","0","10140107"
"110111","0","10140","1","游泳圈游泳（粉）","0","10","0","1","101","0","10140108"
"110311","0","10140","1","游泳圈游泳（黃）","0","3","0","1","103","0","10140109"
"110411","0","10140","1","游泳圈游泳（藍）","0","10","0","2","102","0","10140110"
"110511","0","10140","1","游泳圈游泳（藍）","0","10","0","2","102","0","10140111"
"110611","0","10140","1","游泳圈游泳（粉）","0","50","0","2","101","0","10140112"
"113111","0","10140","1","游泳圈游泳（藍）","0","5","0","1","102","0","10140113"
"113211","0","10140","1","游泳圈游泳（藍）","0","5","0","1","102","0","10140114"
"113311","0","10140","1","游泳圈游泳（藍）","0","5","0","1","102","0","10140115"
"113411","0","10140","1","游泳圈游泳（藍）","0","10","0","2","102","0","10140116"
"113511","0","10140","1","游泳圈游泳（藍）","0","10","0","2","102","0","10140117"
"113611","0","10140","1","游泳圈游泳（藍）","0","10","0","2","102","0","10140118"
"115711","0","10140","1","游泳圈游泳（藍）","0","5","0","1","102","0","10140119"
"117011","0","10140","1","游泳圈游泳（粉）","0","10","0","2","101","0","10140120"
"117111","0","10140","1","游泳圈游泳（藍）","0","10","0","2","102","0","10140121"
"117211","0","10140","1","游泳圈游泳（藍）","0","10","0","2","102","0","10140122"
"117311","0","10140","1","游泳圈游泳（藍）","0","10","0","2","102","0","10140123"
"117411","0","10140","1","游泳圈游泳（粉）","0","10","0","2","101","0","10140124"
"122411","0","10140","1","游泳圈游泳（黃）","0","10","0","2","103","0","10140125"
"122511","0","10140","1","游泳圈游泳（藍）","0","5","0","1","102","0","10140126"
"122611","0","10140","1","游泳圈游泳（粉）","0","10","0","2","101","0","10140127"
"122711","0","10140","1","游泳圈游泳（藍）","0","10","0","1","102","0","10140128"
"122811","0","10140","1","游泳圈游泳（黃）","0","10","0","1","103","0","10140129"
"122911","0","10140","1","游泳圈游泳（粉）","0","10","0","1","101","0","10140130"
"126711","0","10140","1","游泳圈游泳（粉）","0","5","0","1","101","0","10140132"
"126811","0","10140","1","游泳圈游泳（黃）","0","10","0","2","103","0","10140133"
"126911","0","10140","1","游泳圈游泳（藍）","0","30","0","2","102","0","10140134"
"127011","0","10140","1","游泳圈游泳（粉）","0","5","0","1","101","0","10140135"
"127111","0","10140","1","游泳圈游泳（藍）","0","10","0","2","102","0","10140136"
"129411","0","10140","1","游泳圈游泳（黃）","0","10","0","2","103","0","10140138"
"129511","0","10140","1","游泳圈游泳（粉）","0","10","0","2","101","0","10140139"
"107511","0","10140","1","踢水","0","10","0","2","151","0","10140151"
"107611","0","10140","1","踢水","0","10","0","2","151","0","10140152"
"107711","0","10140","1","踢水","0","10","0","1","151","0","10140153"
"108011","0","10140","1","踢水","0","10","0","2","151","0","10140156"
"110011","0","10140","1","踢水","0","10","0","2","151","0","10140157"
"110311","0","10140","1","踢水","0","3","0","1","151","0","10140159"
"110411","0","10140","1","踢水","0","10","0","2","151","0","10140160"
"110511","0","10140","1","踢水","0","10","0","2","151","0","10140161"
"113111","0","10140","1","踢水","0","5","0","1","151","0","10140163"
"113211","0","10140","1","踢水","0","5","0","1","151","0","10140164"
"113311","0","10140","1","踢水","0","5","0","1","151","0","10140165"
"113411","0","10140","1","踢水","0","10","0","2","151","0","10140166"
"113511","0","10140","1","踢水","0","10","0","2","151","0","10140167"
"113611","0","10140","1","踢水","0","10","0","2","151","0","10140168"
"115711","0","10140","1","踢水","0","5","0","1","151","0","10140169"
"117011","0","10140","1","踢水","0","10","0","2","151","0","10140170"
"117111","0","10140","1","踢水","0","10","0","2","151","0","10140171"
"117211","0","10140","1","踢水","0","10","0","2","151","0","10140172"
"117311","0","10140","1","踢水","0","10","0","2","151","0","10140173"
"117411","0","10140","1","踢水","0","10","0","2","151","0","10140174"
"122411","0","10140","1","踢水","0","10","0","2","151","0","10140175"
"122511","0","10140","1","踢水","0","5","0","1","151","0","10140176"
"122611","0","10140","1","踢水","0","10","0","2","151","0","10140177"
"122811","0","10140","1","踢水","0","10","0","1","151","0","10140179"
"122911","0","10140","1","踢水","0","10","0","1","151","0","10140180"
"126711","0","10140","1","踢水","0","5","0","1","151","0","10140182"
"126811","0","10140","1","踢水","0","10","0","2","151","0","10140183"
