c00eacb33eb503b7f9eccc7c102e26419fa4f8fb9bc5f8fa7dde6b9bc9713203,e79291e2690607bd1b2b1d7a6a33ec6e99a9e65300c2d230db78c3fbdf82fab7,03c2446644e606f21507ea1e0fc2f3ea38cc37415c2ba24f1bc622c5ff2d4edd,b7995f38dbf18265cdee5182d6aaafa2685b280bbeae6ca45e40ce6ddf01656f,32548735fbc973f328dd063ab8caeaaeb315c9dba9dab4f61ef7f56eecfb90be
"1","750000","11001001","4101101","18"
"2","120000","11001001","4101201","18"
"3","120000","11001001","4101202","18"
"4","120000","11001001","4101203","18"
"5","120000","11001001","4101251","18"
"6","66374","11001001","4101301","18"
"7","66374","11001001","4101302","18"
"8","66374","11001001","4101303","18"
"9","66374","11001001","4101351","18"
"10","4500","11001001","4101401","18"
"11","750000","11001001","4104101","18"
"12","120000","11001001","4104201","18"
"13","120000","11001001","4104202","18"
"14","120000","11001001","4104203","18"
"15","120000","11001001","4104251","18"
"16","66374","11001001","4104301","18"
"17","66374","11001001","4104302","18"
"18","66374","11001001","4104303","18"
"19","66374","11001001","4104351","18"
"20","4500","11001001","4104401","18"
"21","333334","11001001","4201101","18"
"22","80000","11001001","4201201","18"
"23","80000","11001001","4201202","18"
"24","80000","11001001","4201203","18"
"25","44250","11001001","4201301","18"
"26","44250","11001001","4201302","18"
"27","44250","11001001","4201303","18"
"28","2000","11001001","4201401","18"
"29","333334","11001001","4202101","18"
"30","80000","11001001","4202201","18"
"31","80000","11001001","4202202","18"
"32","80000","11001001","4202203","18"
"33","44250","11001001","4202301","18"
"34","44250","11001001","4202302","18"
"35","44250","11001001","4202303","18"
"36","2000","11001001","4202401","18"
"37","333332","11001001","4301101","18"
"38","80000","11001001","4301201","18"
"39","80000","11001001","4301202","18"
"40","44250","11001001","4301301","18"
"41","44250","11001001","4301302","18"
"42","2000","11001001","4301401","18"
"43","0","11001001","99006","2"
"44","0","11001001","94002","12"
"45","0","11001001","90008","2"
"46","0","11001001","26201","2"
"47","0","11001001","23002","2"
"48","750000","11001002","4106101","18"
"49","120000","11001002","4106201","18"
"50","120000","11001002","4106202","18"
"51","120000","11001002","4106203","18"
"52","120000","11001002","4106251","18"
"53","66374","11001002","4106301","18"
"54","66374","11001002","4106302","18"
"55","66374","11001002","4106303","18"
"56","66374","11001002","4106351","18"
"57","4500","11001002","4106401","18"
"58","750000","11001002","4110101","18"
"59","120000","11001002","4110201","18"
"60","120000","11001002","4110202","18"
"61","120000","11001002","4110203","18"
"62","120000","11001002","4110251","18"
"63","66374","11001002","4110301","18"
"64","66374","11001002","4110302","18"
"65","66374","11001002","4110303","18"
"66","66374","11001002","4110351","18"
"67","4500","11001002","4110401","18"
"68","333334","11001002","4203101","18"
"69","80000","11001002","4203201","18"
"70","80000","11001002","4203202","18"
"71","80000","11001002","4203203","18"
"72","44250","11001002","4203301","18"
"73","44250","11001002","4203302","18"
"74","44250","11001002","4203303","18"
"75","2000","11001002","4203401","18"
"76","333334","11001002","4204101","18"
"77","80000","11001002","4204201","18"
