4e1e85013610d9feb0b248416639e43a3bb1535b51ba3addbc605191d8efaad3,4284db479f01563996d460e8571735b6aff03f929ebf3b119846be980abe0bd5,680f12502a9e6bc81363e10dbb816e6869f22b00522436304242ef4fe1ee8437,538d63f564392ba0dc58b04b0f78c2e1108044ae644c62da8def32eae5c8dcb1
"10000","HP","1","1"
"10000","物理攻擊力","1","2"
"10000","物理防禦力","1","3"
"10000","魔法攻擊力","1","4"
"10000","魔法防禦力","1","5"
"10000","物理暴擊率","1","6"
"10000","魔法暴擊率","1","7"
"1","迴避率","0","8"
"1","HP吸收","0","9"
"1","HP自動恢復","0","10"
"1","TP自動恢復","0","11"
"1","物理貫通傷害","0","12"
"1","魔法貫通傷害","0","13"
"1","TP上升","0","14"
"1","回復量上升","0","15"
"1","TP消耗減輕","0","16"
"1","命中","0","17"
"100","物理暴擊傷害","1","100"
"100","魔法暴擊傷害","1","101"
"100","物理造成的傷害","1","102"
"100","魔法造成的傷害","1","103"
"10000","屬性獎勵","1","104"
