2ed00714ad3927ca5d3fa391f621e0e2765146224f13bbd459159dbb1b1d3b0b,2efa4655206826f4888ad5f7854c1e756f17e30840e430cca9d23723aa9ab125,313a006e7d70ffbd835a99dba9c8687b544fde15bdf8dff840ec21b1e7a21eb1
"101","1","1"
"103","1","2"
"105","1","3"
"101","2","4"
"102","2","5"
"103","2","6"
"105","2","7"
"101","3","8"
"102","3","9"
"103","3","10"
"101","4","11"
"103","4","12"
"104","4","13"
"105","4","14"
"103","5","15"
"104","5","16"
"105","5","17"
"102","6","18"
"104","6","19"
"106","6","20"
"101","7","21"
"102","7","22"
"106","7","23"
"102","8","24"
"103","8","25"
"106","8","26"
"103","9","27"
"104","9","28"
"105","9","29"
"101","10","30"
"103","10","31"
"105","10","32"
"107","11","33"
"108","11","34"
