1332da28617bc18a70c8e125afb5765accfc1874d0f90742b0860d03b2e72173,b22d4a42ce2b00bff3ac0e07a4c672ae26dc6eadc4d218a153f51491890d0907,d8fb2051d08133cbbdfec4070eaf7c37ac55acf7dc4c37abe8d3087f38eec53b,bce7950cbe6a3d12da86b354b6330ad69d058dc48dccfde7f5ebe3dd816b8729,d89705cd5803a11c056f688736a47864953a574f3b5044bb83de1a2fa37c8d0c,6fd04e17da80c53572c8b813c9ec336007d2b54c7c06b32448b5ac83d0dbb688,03b357057d3db48a7a1a58f05ad7022f4a53569caa88696f56e198fd6e189aca
"1","105","3","1","105","105","2"
"1","105","3","2","120","120","2"
"1","100","3","3","100","120","2"
"1","105","3","4","120","120","2"
"1","105","3","5","105","120","2"
"1","100","3","6","100","105","2"
"1","120","3","7","100","105","2"
"1","100","3","8","100","105","2"
"1","105","3","9","120","120","2"
"1","120","3","10","100","105","2"
"1","100","3","11","105","100","2"
"1","105","3","12","120","120","2"
"1","105","3","13","105","105","2"
"1","105","3","14","120","105","2"
"1","120","3","15","120","120","2"
"1","100","3","16","100","100","2"
"1","120","3","17","105","120","2"
"1","120","3","18","120","105","2"
"1","105","3","19","105","100","2"
"1","100","3","20","105","105","2"
"1","100","3","21","105","100","2"
"1","120","3","22","120","120","2"
"1","105","3","23","100","100","2"
"1","120","3","24","120","120","2"
"1","105","3","25","105","120","2"
"1","100","3","26","100","100","2"
"1","100","3","27","100","100","2"
"1","100","3","28","100","100","2"
"1","120","3","29","120","120","2"
"1","105","3","30","120","105","2"
