02a0923be4b15abb0516128bed8685809c108bf1bdca296bfc6ea617596718be,3fcf4d45465753be7b9b00bdd7cf2b486b3a41629411d342a031f0910e3a65ae,d12b1a3f135c9029e505cfdb43e5276c8499ffe29a63e3e365cb479896aa5bfb
"1","2",""
"2","2",""
"3","2",""
"4","2",""
"5","2",""
"6","2",""
"7","2",""
"8","2",""
"9","2",""
"10","3",""
"11","4",""
"12","8",""
"13","9",""
"14","6",""
"15","1",""
"16","1",""
"17","0","請達成指定的任務。"
"19","5",""
"20","0","於明日5:00之後登入，任務將會展開。"
"21","4",""
"22","11",""
"23","12",""
"24","10",""
"25","7",""
"26","2",""
"27","2",""
"28","3",""
"34","2",""
"39","7","將會於通關主線冒險72-1（NORMAL）後解放。"
"42","2",""
"43","0","於明日5:00之後登入，任務將會展開。"
"44","0","於明日5:00之後登入，任務將會展開。"
"45","4",""
"46","4",""
"47","4",""
"48","4",""
"49","5","將會於通關主線冒險63-1（NORMAL）後解放。"
"50","5","將會於通關主線冒險63-1（NORMAL）後解放。"
"51","7","將會於通關主線冒險72-1（NORMAL）後解放。"
"53","4",""
"54","10","將會於通關主線冒險65-1（NORMAL）後解放。"
"55","10","將會於通關主線冒險65-1（NORMAL）後解放。"
"56","2",""
"57","13","將會於通關主線冒險10-1（NORMAL）後解放。"
"58","14","將會於通關主線冒險3-1（NORMAL）後解放。"
"59","15","將會於通關主線冒險64-1（NORMAL）後解放。"
"60","15","將會於通關主線冒險64-1（NORMAL）後解放。"
"61","16","將會於通關主線冒險2-12（NORMAL）後解放。"
"62","16","將會於通關主線冒險2-12（NORMAL）後解放。"
"63","16","將會於通關主線冒險2-12（NORMAL）後解放。"
"64","16",""
"66","18",""
"70","17","將會於通關主線冒險18-3（NORMAL）後解放。"
"71","7","將會於通關主線冒險72-1（NORMAL）後解放。"
"72","4",""
