ba319b7ed27e44359b8b3b2bc07312d5f2bde4b6f0612fba5c50e313ff13cd16,d848dce8e4116b0f229afaf5bb6c46c19f4c800ff0b744b42395e66392ec69f9,349bb65f5df908953e84ccd3923486939882b96f2ef9a697c357e25f10f09a56,111a10a6bb44049f7d82533abd9f4e6927f90ddb7572045c6ca0f6b408ebf1cf
"1000","91002","8","100"
"2000","23003","2","500"
"3000","25011","2","5000"
"4000","25012","2","5000"
"5000","25013","2","5000"
"6000","25014","2","5000"
"7000","25015","2","5000"
"8000","25021","2","2500"
"9000","91002","8","100"
"10000","21953","2","1"
"12000","90005","2","50"
"14000","23003","2","500"
"16000","25011","2","5000"
"18000","25012","2","5000"
"20000","25013","2","5000"
"23000","25014","2","5000"
"26000","25015","2","5000"
"29000","25021","2","2500"
"32000","91002","8","100"
"35000","41000","2","1"
"39000","90005","2","50"
"43000","23003","2","500"
"47000","25011","2","5000"
"51000","25012","2","5000"
"55000","25013","2","5000"
"60000","25014","2","5000"
"65000","25015","2","5000"
"70000","25021","2","2500"
"75000","91002","8","100"
"80000","26203","2","1"
"90000","90005","2","50"
"100000","23003","2","500"
"150000","25011","2","5000"
"200000","25012","2","5000"
"250000","25013","2","5000"
"300000","25014","2","5000"
"350000","25015","2","5000"
"400000","25021","2","2500"
"450000","91002","8","100"
"500000","21953","2","1"
"550000","90005","2","50"
"600000","23003","2","500"
"650000","25011","2","5000"
"700000","25012","2","5000"
"750000","25013","2","5000"
"800000","25014","2","5000"
"850000","25015","2","5000"
"900000","25021","2","2500"
"950000","91002","8","100"
"1000000","25101","2","1"
"1050000","90005","2","50"
"1100000","23003","2","500"
"1150000","25011","2","5000"
"1200000","25012","2","5000"
"1250000","25013","2","5000"
"1300000","25014","2","5000"
"1350000","25015","2","5000"
"1400000","25021","2","2500"
"1450000","91002","8","100"
"1500000","26203","2","1"
"1550000","90005","2","50"
"1600000","23003","2","500"
"1650000","25011","2","5000"
"1700000","25012","2","5000"
"1750000","25013","2","5000"
"1800000","25014","2","5000"
"1850000","25015","2","5000"
"1900000","25021","2","2500"
"1950000","91002","8","100"
"2000000","41000","2","1"
"2050000","90005","2","50"
"2100000","23003","2","500"
"2150000","25011","2","5000"
"2200000","25012","2","5000"
"2250000","25013","2","5000"
"2300000","25014","2","5000"
"2350000","25015","2","5000"
"2400000","25021","2","2500"
"2450000","91002","8","100"
"2500000","26203","2","1"
"2550000","90005","2","50"
"2600000","23003","2","500"
"2650000","25011","2","10000"
"2700000","25012","2","10000"
"2750000","25013","2","10000"
"2800000","25014","2","10000"
"2850000","25015","2","10000"
"2900000","25021","2","5000"
"2950000","91002","8","100"
"3000000","21953","2","1"
"3050000","90005","2","50"
"3100000","23003","2","500"
"3150000","25011","2","10000"
"3200000","25012","2","10000"
"3250000","25013","2","10000"
"3300000","25014","2","10000"
"3350000","25015","2","10000"
"3400000","25021","2","5000"
"3450000","91002","8","100"
"3500000","26203","2","1"
"3550000","90005","2","50"
"3600000","23003","2","500"
"3650000","25011","2","10000"
"3700000","25012","2","10000"
"3750000","25013","2","10000"
"3800000","25014","2","10000"
"3850000","25015","2","10000"
"3900000","25021","2","5000"
"3950000","91002","8","100"
"4000000","41000","2","1"
"4050000","90005","2","50"
"4100000","23003","2","500"
"4150000","25011","2","10000"
"4200000","25012","2","10000"
"4250000","25013","2","10000"
"4300000","25014","2","10000"
"4350000","25015","2","10000"
"4400000","25021","2","5000"
"4450000","91002","8","100"
"4500000","26203","2","1"
"4550000","90005","2","50"
"4600000","23003","2","500"
"4650000","25011","2","10000"
"4700000","25012","2","10000"
"4750000","25013","2","10000"
"4800000","25014","2","10000"
"4850000","25015","2","10000"
"4900000","25021","2","5000"
"4950000","91002","8","100"
"5000000","25101","2","1"
"5100000","90005","2","50"
"5200000","23003","2","500"
"5300000","25011","2","10000"
"5400000","25012","2","10000"
"5500000","25013","2","10000"
"5600000","25014","2","10000"
"5700000","25015","2","10000"
"5800000","25021","2","5000"
"5900000","26202","2","100000"
"6000000","41000","2","1"
"6100000","90005","2","50"
"6200000","23003","2","500"
"6300000","25011","2","10000"
"6400000","25012","2","10000"
"6500000","25013","2","10000"
"6600000","25014","2","10000"
"6700000","25015","2","10000"
"6800000","25021","2","5000"
"6900000","140001","11","20"
"7000000","26203","2","1"
"7100000","90005","2","50"
"7200000","23003","2","500"
"7300000","25011","2","10000"
"7400000","25012","2","10000"
"7500000","25013","2","10000"
"7600000","25014","2","10000"
"7700000","25015","2","10000"
"7800000","25021","2","5000"
"7900000","26202","2","100000"
"8000000","21953","2","1"
"8100000","90005","2","50"
"8200000","23003","2","500"
"8300000","25011","2","10000"
"8400000","25012","2","10000"
"8500000","25013","2","10000"
"8600000","25014","2","10000"
"8700000","25015","2","10000"
"8800000","25021","2","5000"
"8900000","140001","11","20"
"9000000","26203","2","1"
"9100000","90005","2","50"
"9200000","23003","2","500"
"9300000","25011","2","10000"
"9400000","25012","2","10000"
"9500000","25013","2","10000"
"9600000","25014","2","10000"
"9700000","25015","2","10000"
"9800000","25021","2","5000"
"9900000","26202","2","100000"
"10000000","41000","2","1"
"10100000","90005","2","50"
"10200000","23003","2","500"
"10300000","25011","2","10000"
"10400000","25012","2","10000"
"10500000","25013","2","10000"
"10600000","25014","2","10000"
"10700000","25015","2","10000"
"10800000","25021","2","5000"
"10900000","140001","11","20"
"11000000","26203","2","1"
"11100000","90005","2","50"
"11200000","23003","2","500"
"11300000","25011","2","10000"
"11400000","25012","2","10000"
"11500000","25013","2","10000"
"11600000","25014","2","10000"
"11700000","25015","2","10000"
"11800000","25021","2","5000"
"11900000","26202","2","100000"
"12000000","21953","2","1"
"12100000","90005","2","50"
"12200000","23003","2","500"
"12300000","25011","2","10000"
"12400000","25012","2","10000"
"12500000","25013","2","10000"
"12600000","25014","2","10000"
"12700000","25015","2","10000"
"12800000","25021","2","5000"
"12900000","140001","11","20"
"13000000","26203","2","1"
"13100000","90005","2","50"
"13200000","23003","2","500"
"13300000","25011","2","10000"
"13400000","25012","2","10000"
"13500000","25013","2","10000"
"13600000","25014","2","10000"
"13700000","25015","2","10000"
"13800000","25021","2","5000"
"13900000","26202","2","100000"
"14000000","41000","2","1"
"14100000","90005","2","50"
"14200000","23003","2","500"
"14300000","25011","2","10000"
"14400000","25012","2","10000"
"14500000","25013","2","10000"
"14600000","25014","2","10000"
"14700000","25015","2","10000"
"14800000","25021","2","5000"
"14900000","91002","8","150"
"15000000","25101","2","1"
