c3ebe1c02d1c51605c3c21652a0612a4ec2391cad8f56415b307dcc262da2d85,96b8c8ba33800f51bf25d8853b603a93894ce930178528af7cd796f87af3d5bb,70103d86a8cac972c95243269edb47cdc8d03e6a72bca06cc428071bd37aee03,8c74326daba4b1aa35c06ef91e3692151f7419e228ae09c81d7c480e36c6ec93,dd683421c4a9517ad2336a06fd21a41311748fb4d59bb98eb79ea54418f76e3d,4befebbae95b7000ef4cee55fcc3844c96729b7e1176e2a3c34be548e94fdce2
"1","15","1","1001","58002001","10101001"
"2","15","1","1002","58002002","10101002"
"3","15","1","1003","58002003","10101003"
"4","15","1","1001","56011001","10201001"
"5","15","1","1002","56011002","10201002"
"6","15","1","1003","56011003","10201003"
"7","8","50","0","56011003","91002"
"8","15","1","1001","56011004","10201004"
"9","15","1","1002","56011005","10201005"
"10","15","1","1003","56011006","10201006"
"11","8","50","0","56011006","91002"
"12","15","1","1001","56011007","10201007"
"13","15","1","1002","56011008","10201008"
"14","15","1","1003","56011009","10201009"
"15","8","50","0","56011009","91002"
"16","15","1","1001","56011010","10201010"
"17","15","1","1002","56011011","10201011"
"18","15","1","1003","56011012","10201012"
"19","8","50","0","56011012","91002"
"20","15","1","1001","56011013","10201013"
"21","15","1","1002","56011014","10201014"
"22","15","1","1003","56011015","10201015"
"23","8","50","0","56011015","91002"
"24","15","1","1001","56011016","10201016"
"25","15","1","1002","56011017","10201017"
"26","15","1","1003","56011018","10201018"
"27","8","50","0","56011018","91002"
"28","15","1","1001","56011019","10201019"
"29","15","1","1002","56011020","10201020"
"30","15","1","1003","56011021","10201021"
"31","8","50","0","56011021","91002"
"32","15","1","1001","56011022","10201022"
"33","15","1","1002","56011023","10201023"
"34","15","1","1003","56011024","10201024"
"35","8","50","0","56011024","91002"
"36","15","1","1001","56011025","10201025"
"37","15","1","1002","56011026","10201026"
"38","15","1","1003","56011027","10201027"
"39","8","50","0","56011027","91002"
"40","15","1","1001","56011028","10201028"
"41","15","1","1002","56011029","10201029"
"42","15","1","1003","56011030","10201030"
"43","8","50","0","56011030","91002"
"44","15","1","1001","56011031","10201031"
"45","15","1","1002","56011032","10201032"
"46","15","1","1003","56011033","10201033"
"47","8","50","0","56011033","91002"
"48","15","1","1001","56011034","10201034"
"49","15","1","1002","56011035","10201035"
"50","15","1","1003","56011036","10201036"
"51","8","50","0","56011036","91002"
"52","15","1","1001","56011037","10201037"
"53","15","1","1002","56011038","10201038"
"54","15","1","1003","56011039","10201039"
"55","8","50","0","56011039","91002"
"56","15","1","1001","56011040","10201040"
"57","15","1","1002","56011041","10201041"
"58","15","1","1003","56011042","10201042"
"59","8","50","0","56011042","91002"
"60","15","1","1001","56011043","10201043"
"61","15","1","1002","56011044","10201044"
"62","15","1","1003","56011045","10201045"
"63","8","50","0","56011045","91002"
