ae1c7849e2aa8779e24296e424689ca17b9c2ca6b0831567f2d05807ed238547,1a9c94972cb9e2509510df658cc4da426ab5140a1c35750f9260db449ef0a6c0,cd98d0422bdd23054cd95adecc591a4480921868bd605ee53ad7a9f9c2b8a016,b6c953cfe034e37f887cae38375fe309e4f23542e7ed9df4b5e7987497d74407,b19838333d6906e7f3c38730433dfa4a6adeafab409dc0564214686aafb564d4,17deefb53479963c1d6d9ef630c488832dded0c7c1acc2e23ac99582a5b560fd,282e673d994a544eb44c3200cf6b022ea92b0a18f3f98cdaccbbe84511504d82,b36a5367badccf56892e123bb58c48d40e34b37529102ff929441fe85a3009b0,9843ef2ecf11b648db2ee057f291b21f3d5f852d28cbd909fe15b9e255a89dd2
"129","1001","達成公主騎士RANK 5","0","5","1","1002","1001","20021"
"129","1002","達成公主騎士RANK 10","0","10","1","1002","1002","20021"
"129","1003","達成公主騎士RANK 30","0","30","1","1002","1003","20021"
"129","1004","達成公主騎士RANK 50","0","50","1","1002","1004","20021"
"129","1005","達成公主騎士RANK 100","0","100","1","1002","1005","20021"
"129","1006","達成公主騎士RANK 150","0","150","1","1002","1006","20021"
"129","1007","達成公主騎士RANK 200","0","200","1","1002","1007","20021"
"129","1007","達成公主騎士RANK250","0","250","1","1002","1008","20021"
"129","1007","達成公主騎士RANK300","0","300","1","1002","1009","20021"
"129","1007","達成公主騎士RANK450","0","450","1","1002","1010","20021"
"129","2001","讓火屬性的屬性等級提升到50","1","50","2","1003","2001","20022"
"129","2002","讓火屬性的屬性等級提升到100","1","100","2","1003","2002","20022"
"129","2003","讓火屬性的屬性等級提升到150","1","150","2","1003","2003","20022"
"129","2004","讓火屬性的屬性等級提升到200","1","200","2","1003","2004","20022"
"129","2005","讓火屬性的屬性等級提升到250","1","250","2","1003","2005","20022"
"129","2006","讓火屬性的屬性等級提升到300","1","300","2","1003","2006","20022"
"129","2007","讓火屬性的屬性等級提升到350","1","350","2","1003","2007","20022"
"129","2008","讓火屬性的屬性等級提升到400","1","400","2","1003","2008","20022"
"129","2009","讓火屬性的屬性等級提升到450","1","450","2","1003","2009","20022"
"129","2010","讓火屬性的屬性等級提升到500","1","500","2","1003","2010","20022"
"129","2011","讓火屬性的屬性等級提升到550","1","550","2","1003","2011","20022"
"129","2012","讓火屬性的屬性等級提升到600","1","600","2","1003","2012","20022"
"129","2013","讓火屬性的屬性等級提升到650","1","650","2","1003","2013","20022"
"129","2014","讓火屬性的屬性等級提升到700","1","700","2","1003","2014","20022"
"129","2015","讓火屬性的屬性等級提升到750","1","750","2","1003","2015","20022"
"129","2001","讓水屬性的屬性等級提升到50","2","50","3","1003","3001","20022"
"129","2002","讓水屬性的屬性等級提升到100","2","100","3","1003","3002","20022"
