e8e477322e01f2eca5418bbf2063381d7859131ce6e02d77edbb2ff716a0e037,7157d47cf51827fc637da780ff20ac8be33312c94fbe78ddafa81f94a7f31815,55710bfec4c79a6d5355c57e83c2fe7b875cc6282fb2b37e764a29ea7c86f536,914f37210d9ec7da1af248e42ed6ada3eb5197d4d3cd50c8eeb40dcebf34eb6c
"HP","1","10000","1"
"物理攻擊力","2","10000","1"
"物理防禦力","3","10000","1"
"魔法攻擊力","4","10000","1"
"魔法防禦力","5","10000","1"
"物理暴擊率","6","10000","1"
"魔法暴擊率","7","10000","1"
"迴避率","8","1","0"
"HP吸收","9","1","0"
"HP自動恢復","10","1","0"
"TP自動恢復","11","1","0"
"物理貫通傷害","12","1","0"
"魔法貫通傷害","13","1","0"
"TP上升","14","1","0"
"回復量上升","15","1","0"
"TP消耗減輕","16","1","0"
"命中","17","1","0"
"物理暴擊傷害","100","100","1"
"魔法暴擊傷害","101","100","1"
"物理造成的傷害","102","100","1"
"魔法造成的傷害","103","100","1"
"屬性獎勵","104","10000","1"
