affaaee7d4f5ee811c642998fb245c4e0d842d9ab5e1417d6073f39d664912c4,8d26f135f8e548129066a72897b4938d5fde652b1ffc84afd65567d99211d419,a12d72f03c2194f95eba3474e7e0ff96294e7e1f57600bb16f982927e483f154,8f6a3571474ffd7e1d00b8ac7f5c73800a98c2afb114502d1aac83b431c71bc4,a9d967205d2dd8f8becd4bd5db5ea6b4bef48ff6d0e5da34359a6e34d2d933ba
"加油！","28","2015/04/01 14:00:00","2099/08/01 14:59:59","100101"
"謝謝","29","2015/04/01 14:00:00","2099/08/01 14:59:59","100201"
"參戰","30","2015/04/01 14:00:00","2099/08/01 14:59:59","100301"
"早安~！！","31","2015/04/01 14:00:00","2099/08/01 14:59:59","100401"
"有點難為情呢","58","2021/12/09 12:00:00","2099/08/01 14:59:59","100501"
"好厲害喔～♪","59","2021/12/09 12:00:00","2099/08/01 14:59:59","100601"
"布丁～布丁～","60","2021/12/09 12:00:00","2099/08/01 14:59:59","100701"
"叫我嗎？","61","2021/12/09 12:00:00","2099/08/01 14:59:59","100801"
"就是現在！","32","2015/04/01 14:00:00","2099/08/01 14:59:59","100901"
"真是辛苦呀","33","2015/04/01 14:00:00","2099/08/01 14:59:59","101001"
"收到！","34","2015/04/01 14:00:00","2099/08/01 14:59:59","101101"
"開始囉─","35","2015/04/01 14:00:00","2099/08/01 14:59:59","101201"
"出現了！","62","2021/12/09 12:00:00","2099/08/01 14:59:59","101301"
"線索湊齊了呢","63","2021/12/09 12:00:00","2099/08/01 14:59:59","101401"
"好乖好乖♪","64","2021/12/09 12:00:00","2099/08/01 14:59:59","101501"
"OK！","36","2015/04/01 14:00:00","2099/08/01 14:59:59","101601"
"船到橋頭自然直","37","2015/04/01 14:00:00","2099/08/01 14:59:59","101701"
"我來教‧教‧你","65","2021/12/09 12:00:00","2099/08/01 14:59:59","101801"
"晚安","38","2015/04/01 14:00:00","2099/08/01 14:59:59","102001"
"哇！哇！","39","2015/04/01 14:00:00","2099/08/01 14:59:59","102101"
"抖~抖~","40","2015/04/01 14:00:00","2099/08/01 14:59:59","102201"
"怒怒","41","2015/04/01 14:00:00","2099/08/01 14:59:59","102301"
"辛苦啦…哇哇！？","42","2015/04/01 14:00:00","2099/08/01 14:59:59","102501"
