256be8fcd1be9db332a1b3807ad870f2981158a7c6e077d992f292c6efdb64c9,39155963cf51ec9f4a015f94b8f96a3b73120f1d6c8440ff0618d1d687e59d49,7042559d6a1a22cec0343705c3ac1ca7dccae822fea1ed117f75adac3219990f,4d9170abc2e38246a26c0b64dfef31dd3e21500a135c92df08b2e2171627dfda,ec9bb605879ce0777d60bed865e93785b89895581aea4cf4f9b3b9ef5ffba0ec,e2f86442b4e99ac963fe17326311157dac7ba138d7e0650c7b62437a87cf20d9,42a2216ffc8c92ac9666026cd4cdd0fc42a495259751cd242bb0f9e15eb54fc8,7648cd812beba30b49f0f9024da1b6fc04de412c57df9b5453cecad083d12652
"1","-401","1","71","1","182","-90","170"
"2","-401","2","81","1","182","-90","170"
"3","-255","3","121","1","182","90","255"
"4","-255","4","131","1","182","90","255"
"5","-255","5","141","1","182","90","255"
"6","-107","6","191","1","176","-80","229"
"7","-107","7","201","1","176","-80","229"
"8","136","8","271","1","151","-85","218"
"9","136","9","281","1","151","-85","218"
"10","136","10","291","1","151","-85","218"
"11","280","11","331","1","219","80","156"
"12","280","12","341","1","219","80","156"
"13","280","13","351","1","219","80","156"
"14","417","14","401","1","183","-97","213"
"15","417","15","411","1","183","-97","213"
"2","-259","1","451","2","229","-73","242"
"4","-222","2","481","2","179","124","226"
"6","-101","3","501","2","192","-67","219"
"8","-26","4","521","2","190","-27","168"
"11","117","5","551","2","260","-50","192"
"14","241","6","601","2","138","120","159"
"14","241","7","611","2","138","120","159"
"14","243","8","621","2","229","-71","224"
"1","-353","1","781","3","43","32","71"
"2","-228","2","801","3","268","-30","235"
"3","-243","3","831","3","45","144","80"
"4","20","4","851","3","225","-76","221"
"5","230","5","861","3","222","-74","211"
"6","-100","6","891","3","136","44","115"
"7","-100","7","901","3","136","44","115"
"8","116","8","991","3","250","76","306"
"9","116","9","1001","3","250","76","306"
"10","116","10","1011","3","250","76","306"
"11","322","11","1041","3","188","40","96"
"12","322","12","1051","3","188","40","96"
"1","-211","1","1091","4","272","-6","294"
"2","-288","2","1101","4","115","129","92"
"3","-288","3","1111","4","115","129","92"
"4","-58","4","1121","4","174","128","135"
"5","143","5","1151","4","184","133","222"
"6","-277","6","1161","4","98","-129","134"
"7","-277","7","1171","4","98","-129","134"
"8","-60","8","1211","4","70","-12","67"
"9","-60","9","1221","4","70","-12","67"
"10","116","10","1231","4","185","-55","132"
"11","-17","11","1261","4","89","-103","93"
"12","-17","12","1271","4","89","-103","93"
"13","232","13","1311","4","239","23","150"
"1","-289","1","1391","5","72","-161","114"
"2","-289","2","1401","5","72","-161","114"
"3","-261","3","1411","5","248","80","228"
"4","-103","4","1431","5","211","-91","223"
"5","-87","5","1471","5","181","95","186"
"6","69","6","1551","5","176","-122","132"
"7","69","7","1561","5","176","-122","132"
"8","54","8","1611","5","184","91","143"
"9","204","9","1641","5","247","45","211"
