75f8fdefba7ecf5f7c781222b4f1f578882d08bc959d940333ac5481a2be7b6a,2e3765a5fee64ac57e97a5543ab3a94e75f982dd67357b0834372b57ad5d99d8,b476fc4cce3784b9b00f237c1714c2354cba714064ed9f8f3cd1ab9f8ae2cf27,1457ad39447f51aeedf250e3cdb132ed35c370d1ed5a1ce0c22b076b22db9d57,c5dcf062fc9dfd25ac9948263624735ca2c946f25336121b5010df3b0b872daa,dc2518a7cc05db4299604c6fc4e21fc1d490c6c28f79b309789263b77fe5bef2,a534c7e535c19a4ea192362ef418a84368ab3d2138908dc7e3f7acce789bbe4a,9a9aa96524efb12ff88fb419a28465d5940728b441417c379fb851417962509e,7b991d857264d95b6e79a9988c7fe417c315694dfb317d0cd5b05a530fcae9cc,85fd69fc50a82495d46556be878a6d41354287f737f5f1d23c0977fafef47fa3
"111","0","2","101","5000000","0","0","0","25101","3"
"211","0","2","201","5000000","0","0","0","25101","3"
"311","0","2","301","5500000","0","0","0","25101","2"
"411","0","2","401","5500000","0","0","0","25101","2"
"511","0","2","501","6000000","0","0","0","25101","3"
"611","0","2","601","6000000","0","0","0","25101","2"
"711","0","2","701","6500000","0","0","0","25101","2"
"811","0","2","801","6500000","0","0","0","25101","2"
"911","0","2","901","7000000","0","0","0","25101","3"
"1011","0","2","1001","7000000","0","0","0","25101","2"
"1111","0","2","1101","7500000","0","1112","0","25101","2"
"1211","0","2","1201","7500000","0","1212","0","25101","2"
"1311","0","2","1301","8000000","0","0","0","25101","3"
"1411","0","2","1401","8000000","0","0","0","25101","2"
"1511","0","2","1501","8500000","0","0","0","25101","2"
"1611","0","2","1601","8500000","0","0","0","25101","2"
"1711","0","2","1701","9000000","0","0","0","25101","3"
"1811","0","2","1801","9000000","0","1812","0","25101","2"
"1911","0","2","1901","9500000","0","0","0","25101","2"
"2011","0","2","2001","9500000","0","0","0","25101","2"
"2111","0","2","2101","10000000","0","0","0","25101","3"
"2211","0","2","2201","10000000","0","0","0","25101","2"
"2311","0","2","2301","10500000","0","0","0","25101","2"
"2411","0","2","2401","10500000","0","0","0","25101","2"
"2511","0","2","2501","11000000","0","0","0","25101","3"
"2611","0","2","2601","11000000","0","2612","0","25101","2"
"2711","0","2","2701","11500000","0","2712","0","25101","2"
"2811","0","2","2801","11500000","0","2812","0","25101","2"
"2911","0","2","2901","12000000","0","0","0","25101","3"
"3011","0","2","3001","12000000","0","3012","0","25101","2"
"3111","0","2","3101","12500000","0","0","0","25101","2"
"3211","0","2","3201","12500000","0","0","0","25101","2"
"3311","0","2","3301","13000000","0","0","0","25101","3"
"3411","0","2","3401","13000000","0","0","0","25101","3"
"3511","0","2","3501","13500000","0","0","0","25101","3"
"3611","0","2","3601","13500000","0","0","0","25101","3"
"3711","0","2","3701","13500000","0","0","0","25101","3"
"3811","0","2","3801","14000000","0","3812","0","25101","3"
"3911","0","2","3901","14000000","0","0","0","25101","3"
"4011","0","2","4001","14000000","0","0","0","25101","3"
"4111","0","2","4101","14500000","0","0","0","25101","3"
"4211","0","2","4201","14500000","0","4212","0","25101","3"
"4311","0","2","4301","14500000","0","0","0","25101","3"
"4411","0","2","4401","15000000","0","0","0","25101","3"
"4511","0","2","4501","15000000","0","0","0","25101","3"
"4611","0","2","4601","15000000","0","0","0","25101","3"
"4711","0","2","4701","15500000","0","0","0","25101","3"
"4811","0","2","4801","15500000","0","0","0","25101","3"
"4911","0","2","4901","15500000","0","0","0","25101","3"
"5011","0","2","5001","16000000","0","0","0","25101","3"
"5111","0","2","5101","16000000","0","0","0","25101","3"
"5211","0","2","5201","16000000","0","0","0","25101","3"
"5311","0","2","5301","16500000","0","0","0","25101","3"
"5411","0","2","5401","16500000","0","5412","0","25101","3"
"5511","0","2","5501","16500000","0","0","0","25101","3"
"5611","0","2","5601","17000000","0","0","0","25101","3"
"5711","0","2","5701","17000000","0","0","0","25101","3"
"5811","0","2","5801","17000000","0","0","0","25101","3"
"5911","0","2","5901","17500000","0","0","0","25101","3"
"6011","0","2","6001","17500000","0","0","0","25101","3"
"6111","0","2","6101","17500000","0","0","0","25101","3"
"6211","0","2","6201","18000000","0","6212","0","25101","3"
"6311","0","2","6301","18000000","0","0","0","25101","3"
"6411","0","2","6401","18000000","0","0","0","25101","3"
"6511","0","2","6501","18500000","0","0","0","25101","3"
"6611","0","2","6601","18500000","0","0","0","25101","3"
