6d29464c80991c4fb49c63942208c6ea12bcce3869523ad11e389ca7c2dd5fdd,e68176bfcdd77bbc01f35cb4a0b03040936f51d3235d9d5296bec9d7d0775c4a,94ed169512ad4c2149ea83a04f202ecc4eb8013da76a59a3a63fd5672471e1ba,0073fb642e332b45f00fe78db61f736c134ae886535385e5ebbb9f8eb04125d1,f6e4639815784e5e11ebac92e771289e23fe02f3dffc0694274843a3e047db1d,1b081673ec5fe242497e11439ea3e6ab177a9757cecef2cccd5b13aab46c38c7,c840312f4989f2cafb24ccc107e55ce961c2ac6c61f04721412ca8a58ed39e9c,3ca4fa598c0626f3531dfed6ec143f90198802db66ce6f6d944b79835f124f60,ae1c5dbc1ef32ac13bfc7de174adbb7623f2b739a3138eb840da6c51a46d7bd1,f486154b0c7cdf51a0e7da5e9361dee3a46633ff14352843b722071548d68a47
"0","1","1","","0","1010001","2","vo_10011600","vo_10011600_0101","0"
"0","2","1","　從明天開始","8","1010002","1","0","0","0"
"1","3","1","","0","1010003","4","0","0","1.625"
"0","4","1","就要入學聖德蕾莎女學院了！","10","1010004","1","0","0","0"
"1","5","1","","0","1010005","4","0","0","4"
"0","6","1","","0","1010006","2","vo_10011600","vo_10011600_0102","0"
"0","7","1","　為什麼","8","1010007","1","0","0","0"
"1","8","1","","0","1010008","4","0","0","1.375"
"0","9","1","事情會變成這個樣子呢？\n","9","1010009","1","0","0","0"
"1","10","1","","0","1010010","4","0","0","3.33333333333333"
"0","11","1","","0","1010011","2","vo_10011600","vo_10011600_0103","0"
"0","12","1","雖然美里老師","8","1010012","1","0","0","0"
"1","13","1","","0","1010013","4","0","0","1.75"
"0","14","1","說我一定沒問題的……","10","1010014","1","0","0","0"
"1","15","1","","0","1010015","4","0","0","3"
"0","16","1","但是我一定辦不到啊～！\n","8","1010016","1","0","0","0"
"1","17","1","","0","1010017","4","0","0","3.875"
"0","18","1","","0","1010018","2","vo_10011600","vo_10011600_0104","0"
"0","19","1","可是。","8","1010019","1","0","0","0"
"1","20","1","","0","1010020","4","0","0","2.375"
"0","21","1","可是……","8","1010021","1","0","0","0"
"1","22","1","","0","1010022","4","0","0","2.5"
"0","23","1","","0","1010023","2","vo_10011600","vo_10011600_0105","0"
"0","24","1","可是、","8","1010024","1","0","0","0"
"1","25","1","","0","1010025","4","0","0","1.375"
"0","26","1","如果、","8","1010026","1","0","0","0"
"1","27","1","","0","1010027","4","0","0","1.5"
"0","28","1","我可以在聖德蕾莎女學院好好努力。\n\n","8","1010028","1","0","0","0"
"1","29","1","","0","1010029","4","0","0","4.875"
"0","30","1","","0","1010030","2","vo_10011600","vo_10011600_0106","0"
"0","31","1","……是不是就能","6","1010031","1","0","0","0"
"1","32","1","","0","1010032","4","0","0","1.58333333333333"
"0","33","1","交到朋友呢？","8","1010033","1","0","0","0"
"1","34","1","","0","1010034","4","0","0","1.75"
"0","1","2","","0","1020001","2","vo_10011600","vo_10011600_0201","0"
"0","2","2","　一想到要用「日安」向別人打招呼，","8","1020002","1","0","0","0"
"1","3","2","","0","1020003","4","0","0","2.375"
"0","4","2","我孤單的心靈就會緊張到怦怦狂跳。\n","8","1020004","1","0","0","0"
"1","5","2","","0","1020005","4","0","0","4"
"0","6","2","","0","1020006","2","vo_10011600","vo_10011600_0202","0"
"0","7","2","不過，","8","1020007","1","0","0","0"
"1","8","2","","0","1020008","4","0","0","1.125"
"0","9","2","此時BB團團長卻突然現身！","8","1020009","1","0","0","0"
"1","10","2","","0","1020010","4","0","0","3.75"
"0","11","2","","0","1020011","2","vo_10011600","vo_10011600_0203","0"
"0","12","2","　BB團的羈絆","8","1020012","1","0","0","0"
"1","13","2","","0","1020013","4","0","0","1.875"
"0","14","2","不管走到哪裡都不會改變呢！\n","8","1020014","1","0","0","0"
"1","15","2","","0","1020015","4","0","0","3.75"
"0","16","2","","0","1020016","2","vo_10011600","vo_10011600_0204","0"
"0","17","2","然後，","8","1020017","1","0","0","0"
"1","18","2","","0","1020018","4","0","0","1"
"0","19","2","我認識了和那個人一起來到","8","1020019","1","0","0","0"
"1","20","2","","0","1020020","4","0","0","2"
"0","21","2","聖德蕾莎女學院","8","1020021","1","0","0","0"
"1","22","2","","0","1020022","4","0","0","1.125"
"0","23","2","（好朋友社）的成員們。","8","1020023","1","0","0","0"
"1","24","2","","0","1020024","4","0","0","3.5"
"0","25","2","","0","1020025","2","vo_10011600","vo_10011600_0205","0"
"0","26","2","　大家似乎都是很有個性的人，","8","1020026","1","0","0","0"
"1","27","2","","0","1020027","4","0","0","3"
"0","28","2","我很擔心自己是否能和他們融洽相處……","6","1020028","1","0","0","0"
"1","29","2","","0","1020029","4","0","0","2.83333333333333"
"0","1","3","","0","1030001","2","vo_10011600","vo_10011600_0301","0"
"0","2","3","　我搞砸了。","8","1030002","1","0","0","0"
"1","3","3","","0","1030003","4","0","0","3"
"0","4","3","","0","1030004","2","vo_10011600","vo_10011600_0302","0"
"0","5","3","　自我介紹對孤單的人來說就像眼前的巨大障礙。","8","1030005","1","0","0","0"
"1","6","3","","0","1030006","4","0","0","5.125"
"0","7","3","","0","1030007","2","vo_10011600","vo_10011600_0303","0"
"0","8","3","　我明明已經在腦海中做過很多次假想訓練，","8","1030008","1","0","0","0"
"1","9","3","","0","1030009","4","0","0","2.625"
"0","10","3","卻還是失敗了。","8","1030010","1","0","0","0"
"1","11","3","","0","1030011","4","0","0","2.75"
"0","12","3","","0","1030012","2","vo_10011600","vo_10011600_0304","0"
"0","13","3","　當所有同學盯著我看的那一瞬間，","8","1030013","1","0","0","0"
"1","14","3","","0","1030014","4","0","0","3.5"
"0","15","3","我的腦中變得一片空白，","8","1030015","1","0","0","0"
"1","16","3","","0","1030016","4","0","0","2"
"0","17","3","然後又開始脫口說出奇怪的話。\n","10","1030017","1","0","0","0"
"1","18","3","","0","1030018","4","0","0","4.5"
"0","19","3","","0","1030019","2","vo_10011600","vo_10011600_0305","0"
"0","20","3","雖然大家笑得很開心，","8","1030020","1","0","0","0"
"1","21","3","","0","1030021","4","0","0","3"
"0","22","3","不過我還是對未來感到不安……","8","1030022","1","0","0","0"
"1","23","3","","0","1030023","4","0","0","2.25"
"0","1","4","","0","1040001","2","vo_10011600","vo_10011600_0401","0"
"0","2","4","　優妮看起來","8","1040002","1","0","0","0"
"1","3","4","","0","1040003","4","0","0","1.75"
"0","4","4","是個很聰明的人。","8","1040004","1","0","0","0"
"1","5","4","","0","1040005","4","0","0","2.625"
"0","6","4","","0","1040006","2","vo_10011600","vo_10011600_0402","0"
"0","7","4","　她的用字譴詞十分艱澀，","8","1040007","1","0","0","0"
"1","8","4","","0","1040008","4","0","0","3.75"
"0","9","4","有些單字常常讓我聽不懂，","8","1040009","1","0","0","0"
"1","10","4","","0","1040010","4","0","0","3.125"
"0","11","4","以後我是不是應該隨身攜帶字典呢？\n","8","1040011","1","0","0","0"
"1","12","4","","0","1040012","4","0","0","4"
"0","13","4","","0","1040013","2","vo_10011600","vo_10011600_0403","0"
"0","14","4","　總是關在象牙之塔裡埋頭研究，","8","1040014","1","0","0","0"
"1","15","4","","0","1040015","4","0","0","3.75"
"0","16","4","平常不會從那裡踏出一步，","8","1040016","1","0","0","0"
"1","17","4","","0","1040017","4","0","0","3.25"
"0","18","4","散發出和我一樣的孤獨氣息。","8","1040018","1","0","0","0"
"1","19","4","","0","1040019","4","0","0","3.375"
"0","20","4","","0","1040020","2","vo_10011600","vo_10011600_0404","0"
"0","21","4","　「孤獨會召喚孤獨」，","8","1040021","1","0","0","0"
"1","22","4","","0","1040022","4","0","0","2.5"
"0","23","4","我","8","1040023","1","0","0","0"
"1","24","4","","0","1040024","4","0","0","1.125"
"0","25","4","不記得是誰說過這句話，","8","1040025","1","0","0","0"
"1","26","4","","0","1040026","4","0","0","2.75"
"0","27","4","但是說不定……\n","8","1040027","1","0","0","0"
"1","28","4","","0","1040028","4","0","0","2"
