a59138c401552d626d815a5cc1295df15ecbb0ede84a63b567a43f3691ba79f2,0877d173a93f2145f5afee8b7c4daab5d96c74825fcca7c1d36e4c7844b77d7c,7dc50dc74c2153e169ee851e8595e1cccc4d85d2219baefb4128efc4c0003c76
"32025","1","1"
"32046","1","2"
"32048","1","3"
"32016","1","4"
"32060","1","5"
"32078","2","5"
"32031","1","6"
"32007","1","7"
"32050","1","8"
"32033","1","9"
"32058","1","10"
"32075","2","10"
"32042","1","11"
"32021","1","12"
"32023","1","13"
"32027","1","14"
"32049","1","15"
"32011","1","16"
"32045","1","17"
"32030","1","18"
"32013","1","19"
"32040","1","20"
"32018","1","21"
"32028","1","22"
"32043","1","23"
"32017","1","24"
"32010","1","25"
"32036","1","26"
"32004","1","27"
"32020","1","28"
