da5d4bb9161ff98ce57a15a58caadb1763a091b3b50de1a700a55d6ecef950ab,db606d30b2dc3ca9f8ab0c1f333502c13f3813d43b69b48f673359072eaa374b,ded6d77c4e8ec6dee0197ee7b38285410bbe0778a9da9f8775b9afc75a36251f,3eac9bc9f3ebf03340bd4e8e8df6ebc241e7e8abd858978dc89edffc6e3a5010,9ebfcdd37ec035449c5cd7ecb0f32467637f48147f80a08189f39c4dae746d25,edaeb1a7b4cdcd0d8b30be62c09650f70f52de77cc8cfda95de9c62d751d94a2,4c160d647e2ccfaa565a893683cc6e8e7e03e89e7873371f83e86dffa632dab1,bb919da7610cba61107f8bbf92ed632cb75b1f279ff6b42e558b4ee1f4529c15,85d41e1d7f2bcc53d5a4c51301fd420a458ba89ea3bd2486a8be7fe6ca038c2f
"1","","21600","2","23001","2","","1","1"
"1","","19800","3","23001","2","","1","2"
"1","","18000","3","23001","2","","1","3"
"1","","16200","3","23001","2","","1","4"
"1","","14400","4","23001","2","","1","5"
"1","","12960","4","23001","2","","1","6"
"1","","11520","5","23001","2","","1","7"
"1","","10080","6","23001","2","","1","8"
"1","","8640","7","23001","2","","1","9"
"1","","7200","8","23001","2","","1","10"
"1","","5760","10","23001","2","","1","11"
"1","","5040","12","23001","2","","1","12"
"1","","4320","14","23001","2","","1","13"
"1","","7200","16","23001","2","","2","14"
"1","","5400","18","23001","2","","2","15"
"1","","5040","18","23001","2","","2","16"
"1","","4800","18","23001","2","","2","17"
"1","","4500","20","23001","2","","2","18"
"1","","4320","20","23001","2","","2","19"
"1","","6000","24","23001","2","","3","20"
"1","","5700","48","23001","2","","3","21"
"1","","5400","48","23001","2","","3","22"
"1","","5220","51","23001","2","","3","23"
"1","","4980","54","23001","2","","3","24"
"1","","4800","54","23001","2","","3","25"
"1","","4500","60","23001","2","","3","26"
"1","","4320","60","23001","2","","3","27"
"1","","4200","63","23001","2","","3","28"
"1","","5400","64","23001","2","","4","29"
"1","","5220","68","23001","2","","4","30"
"1","","5040","72","23001","2","","4","31"
"1","","4920","72","23001","2","","4","32"
"1","","4800","72","23001","2","","4","33"
"1","","4680","76","23001","2","","4","34"
"1","","4500","80","23001","2","","4","35"
"2","","21600","80","93001","6","","20","1"
"2","","21600","96","93001","6","","24","2"
"2","","21600","112","93001","6","","28","3"
"2","","21600","120","93001","6","","30","4"
"2","","21600","128","93001","6","","32","5"
"2","","21600","136","93001","6","","34","6"
"2","","21600","144","93001","6","","36","7"
"2","","21600","152","93001","6","","38","8"
"2","","21600","160","93001","6","","40","9"
"2","","21600","168","93001","6","","42","10"
"2","","21600","176","93001","6","","44","11"
"2","","21600","184","93001","6","","46","12"
"2","","21600","192","93001","6","","48","13"
"2","","21600","200","93001","6","","50","14"
"2","","21600","208","93001","6","","52","15"
"2","","21600","216","93001","6","","54","16"
"2","","21600","224","93001","6","","56","17"
"2","","21600","232","93001","6","","58","18"
"2","","21600","240","93001","6","","60","19"
"2","","21600","248","93001","6","","62","20"
"2","","21600","256","93001","6","","64","21"
"2","","21600","264","93001","6","","66","22"
"2","","21600","272","93001","6","","68","23"
"2","","21600","280","93001","6","","70","24"
"2","","21600","288","93001","6","","72","25"
"2","","21600","296","93001","6","","74","26"
"2","","21600","304","93001","6","","76","27"
"2","","21600","312","93001","6","","78","28"
"2","","21600","320","93001","6","","80","29"
"2","","21600","328","93001","6","","82","30"
"2","","21600","336","93001","6","","84","31"
"2","","21600","340","93001","6","","85","32"
"2","","21600","344","93001","6","","86","33"
"2","","21600","348","93001","6","","87","34"
"2","","21600","352","93001","6","","88","35"
"3","","14400","3","20001","2","","1","1"
"3","","9600","5","20001","2","","1","2"
"3","","7200","7","20001","2","","1","3"
"3","","5400","10","20001","2","","1","4"
"3","","3600","15","20001","2","","1","5"
"3","","9600","6","20002","2","","1","6"
"3","","7200","8","20002","2","","1","7"
"3","","4800","12","20002","2","","1","8"
"3","","3600","16","20002","2","","1","9"
"3","","2700","20","20002","2","","1","10"
"3","","10800","6","20003","2","","1","11"
"3","","9000","8","20003","2","","1","12"
"3","","7200","12","20003","2","","1","13"
"3","","5400","16","20003","2","","1","14"
"3","","3600","20","20003","2","","1","15"
"3","","2880","30","20003","2","","1","16"
"3","","12600","7","20004","2","","1","17"
"3","","11400","8","20004","2","","1","18"
"3","","10200","9","20004","2","","1","19"
"3","","9300","10","20004","2","","1","20"
"3","","8700","10","20004","2","","1","21"
"3","","6600","13","20004","2","","1","22"
"3","","6300","14","20004","2","","1","23"
"3","","6000","15","20004","2","","1","24"
"3","","5700","15","20004","2","","1","25"
"3","","5400","16","20004","2","","1","26"
"3","","5100","17","20004","2","","1","27"
"3","","4860","18","20004","2","","1","28"
"3","","4620","19","20004","2","","1","29"
"3","","4440","20","20004","2","","1","30"
"3","","4260","21","20004","2","","1","31"
"3","","4080","22","20004","2","","1","32"
"3","","3960","22","20004","2","","1","33"
"3","","3840","23","20004","2","","1","34"
"3","","3720","24","20004","2","","1","35"
"4","","21600","12000","94002","12","","3000","1"
"4","","21600","18000","94002","12","","4500","2"
"4","","21600","24000","94002","12","","6000","3"
"4","","21600","30000","94002","12","","7500","4"
"4","","21600","42000","94002","12","","10500","5"
"4","","21600","54000","94002","12","","13500","6"
"4","","21600","66000","94002","12","","16500","7"
"4","","21600","84000","94002","12","","21000","8"
"4","","21600","102000","94002","12","","25500","9"
"4","","21600","120000","94002","12","","30000","10"
"4","","21600","144000","94002","12","","36000","11"
"4","","21600","168000","94002","12","","42000","12"
"4","","21600","192000","94002","12","","48000","13"
"4","","21600","222000","94002","12","","55500","14"
"4","","21600","252000","94002","12","","63000","15"
"4","","21600","282000","94002","12","","70500","16"
"4","","21600","318000","94002","12","","79500","17"
"4","","21600","354000","94002","12","","88500","18"
"4","","21600","390000","94002","12","","97500","19"
"4","","21600","432000","94002","12","","108000","20"
"4","","21600","474000","94002","12","","118500","21"
"4","","21600","516000","94002","12","","129000","22"
"4","","21600","562000","94002","12","","140500","23"
"4","","21600","600000","94002","12","","150000","24"
"4","","21600","642000","94002","12","","160500","25"
"4","","21600","684000","94002","12","","171000","26"
"4","","21600","726000","94002","12","","181500","27"
"4","","21600","768000","94002","12","","192000","28"
"4","","21600","810000","94002","12","","202500","29"
"4","","21600","852000","94002","12","","213000","30"
"4","","21600","894000","94002","12","","223500","31"
"4","","21600","920000","94002","12","","230000","32"
"4","","21600","940000","94002","12","","235000","33"
"4","","21600","960000","94002","12","","240000","34"
"4","","21600","980000","94002","12","","245000","35"
"5","","21600","48","93001","6","","12","1"
"6","","21600","48","93001","6","","12","1"
"7","","21600","48","93001","6","","12","1"
"8","","21600","48","93001","6","","12","1"
"11","","21600","48","93001","6","","12","1"
"12","","21600","48","93001","6","","12","1"
"19","","21600","48","93001","6","","12","1"
"23","4999999999","0","0","0","0","14999999999","1","0"
"25","","21600","48","93001","6","","12","1"
"28","","21600","48","93001","6","","12","1"
"30","","21600","48","93001","6","","12","1"
