edf192183914170df2e2b763535c9085969de2a214ccd7a8df1c42454722a68f,8342f226874b3c70063ee0b24b6d67e181ec168f21bf3899f9489afce6cf9c22,37ca2bcb6f620860053ba69588a5792267c54c75372111568bdc889682a4a4e8,abbb4cbc9704ce2bf252593401b670b8beab4b4d045fa8667e7163045a730bdd,0bdaf47df63c8cdfd7758c390c26892a09cea3734abd34b6ab8ed9a7652d4cd2,be056b785f0ebb779bd2be526c2d8aabdac0b54c976f545610e6d8c5315084c1,4353f2c027b7ac83f9a712c4a43d398d2d5d5ac9d5be33b135a576252e5b648f,f70d93801599a7780a09d52279cf8cf6260a8ec323ff80043b0b31d348af0f8f,f54ff44b8fd304e033a47fc980d0521b8d1c38209cb3d3a0727d347da4064196,d9c78bf48b61ff8256d40b20e75c835f2c3c9a3c5f0783042565d73743181fea,c70c4dca6a511e2d179584e105c81cfd0ec4591dfaeafab136f28b947092d227
"活動「美里的夏日聲援！　追夢的盛夏棒球隊」的\n特別章節已解放。","前往劇情","1004601","1","5046601","也可以從額外劇情中\n查看特別的劇情。","2020/12/04 16:00:00","活動特別章節","5046601","10046","2020/12/18 11:59:59"
"閱讀完活動「Happy‧Change‧Angels」的\n終幕後，即會解放特別的章節。","前往劇情","1004801","2","0","也可以從額外劇情中\n查看特別的劇情。","2020/12/31 16:00:00","活動特別章節","5048","10048","2021/01/14 15:59:59"
"活動「Happy‧Change‧Angels」中\n拉菲寄了信給你！","前往劇情","1004802","3","0","也可以從額外劇情中\n查看特別的劇情。","2020/12/31 16:00:00","活動特別章節","5048","10048","2021/01/14 15:59:59"
"活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。","前往劇情","1005601","4","5056601","也可以從額外劇情中\n查看特別的劇情。","2021/05/18 16:00:00","活動特別章節","5056","10056","2021/05/31 15:59:59"
"活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","前往劇情","1006101","3","5061601","可以從額外劇情中\n查看特別的劇情。","2021/07/05 16:00:00","活動特別章節","5061","10061","2021/07/19 15:59:59"
"活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","前往劇情","1006102","5","5061602","","2021/07/19 16:00:00","活動特別章節","10061","10061","2021/07/23 15:59:59"
"活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","前往劇情","1006103","3","5061601","可以從額外劇情中\n查看特別的劇情。","2021/07/23 16:00:00","活動特別章節","5061","10061","2021/07/31 15:59:59"
"小遊戲「大激戰！龍人們的接龍競賽」後\n解放了新的劇情","前往劇情","1006601","6","5027704","若要閱覽，必須在「大家的遊戲桌」\n購買「大激戰！龍人們的接龍競賽」後，\n遊玩EXTRA關卡","2021/09/01 16:00:00","小遊戲 劇情解放","1004","10066","2021/09/30 15:59:59"
"「暑假圖畫日記」中\n已追加伊緒老師的批改留言。","前往活動","1007001","5","5070601","可從「暑假圖畫日記」的封面進行切換，\n查看批改留言。","2021/11/15 16:00:00","追加來自伊緒的留言","10070","10070","2021/11/19 15:59:59"
"活動「美里的夏日聲援！　追夢的盛夏棒球隊」的\n特別章節已解放。","前往劇情","1007301","1","5046601","也可以從額外劇情中\n查看特別的劇情。","2021/12/17 16:00:00","活動特別章節","5046601","10073","2021/12/31 15:59:59"
"閱讀完活動「Happy‧Change‧Angels」的\n終幕後，即會解放特別的章節。","前往劇情","1007501","2","0","也可以從額外劇情中\n查看特別的劇情。","2022/01/26 16:00:00","活動特別章節","5048","10075","2022/01/31 15:59:59"
"活動「Happy‧Change‧Angels」中\n拉菲寄了信給你！","前往劇情","1007502","3","0","也可以從額外劇情中\n查看特別的劇情。","2022/01/26 16:00:00","活動特別章節","5048","10075","2022/01/31 15:59:59"
"已於「眾人同樂的年菜派對」\n追加大合照。","前往活動","1008201","5","5082601","","2022/05/16 16:00:00","追加大合照","1004","10082","2022/05/20 15:59:59"
"活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。","前往劇情","1008301","4","5056601","也可以從額外劇情中\n查看特別的劇情。","2022/05/18 16:00:00","活動特別章節","5056","10083","2022/05/24 15:59:59"
"活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","前往劇情","1008901","3","5061601","可以從額外劇情中\n查看特別的劇情。","2022/07/19 16:00:00","活動特別章節","5061","10089","2022/07/28 15:59:59"
"活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","前往劇情","1008902","5","5061602","","2022/07/26 16:00:00","活動特別章節","10089","10089","2022/07/28 15:59:59"
"活動「灰姑娘課程　璀璨的日子有著蘋果\n的滋味」的特別章節已解放。","前往劇情","1008903","3","5061601","可以從額外劇情中\n查看特別的劇情。","2022/07/28 16:00:00","活動特別章節","5061","10089","2022/07/31 15:59:59"
"活動「 Episode of Pirate　海盜島上被詛咒的遺寶」\n的活動特別章節已解放。","前往劇情","1009201","5","5092601","","2022/09/15 16:00:00","活動特別章節","10092","10092","2022/09/19 15:59:59"
"活動「真步真步的神奇旅程！　旅行的少女與\n邊境的大樹」的特別章節已解放。","前往劇情","1010001","5","5100601","","2023/01/16 16:00:00","活動特別章節","10100","10100","2023/01/20 15:59:59"
"已於「眾人同樂的年菜派對」\n追加大合照。","前往活動","1010901","5","5082601","","2023/05/26 16:00:00","追加大合照","1004","10109","2023/05/28 15:59:59"
"活動「 Episode of Pirate　海盜島上被詛咒的遺寶」\n的活動特別章節已解放。","前往劇情","1011901","5","5092601","","2023/09/25 16:00:00","活動特別章節","10119","10119","2023/09/28 15:59:59"
"活動「真步真步的神奇旅程！　旅行的少女與\n邊境的大樹」的特別章節已解放。","前往劇情","1012701","5","5100601","","2024/01/24 16:00:00","活動特別章節","10127","10127","2024/01/27 15:59:59"
"活動「新春美食家公主！ 賭上關鍵一擲的少女們」\n的特別章節已解放。","前往劇情","2003201","4","5056601","也可以從額外劇情中\n查看特別的劇情。","2022/05/18 16:00:00","活動特別章節","5056","20032","2022/05/24 15:59:59"
