1752974406ea795057f16feb2ecc602eef513d1216d088137ce35b420c1df6b4,c47c8ed81faebd962c5f864423d050fec6be92b89de2e7356d7c79490f686b2a,a614b3a9b7979772b08b21b55028454492b96bd067ae51e18497b31a86d4c687,61e369a8a7b6d9f2f8ab505705f5a8124272c0f672c35c6320395e311c5cb1e5,bae405e4fe4f4332e72eea773c49b64a74748578b257b71e58f1792a0efdd114,6b7d86639696f0a45db1c213d8561eb680bf9cee830a817f40c1bbb9857d14a0,5340af5c6da22205ebfb719e09c05fd21582a08db303257d16da2980710adc11,60bdeed774e1e84bc3aedba3fe9dbaeb2fcf097f4cf822c133bb8a985da7a801,1c83232aa065f278877f684ad88e92842336fe56ab0e8753cf7580365ed23d2b
"0","2","1","1","1","1","1","3","獨一無二的"
"0","2","1","2","1","1","1","3","完美無缺的"
"1","2","1","3","1","1","1","3","蘭德索爾最快的"
"0","2","1","4","1","1","1","3","明鏡止水的"
"0","2","1","5","1","1","1","3","史上最快的"
"0","2","1","6","1","1","1","3","最強最快的"
"2","2","1","7","1","1","1","3","極限的"
"0","2","1","8","1","1","1","3","一百分滿分"
"0","2","1","9","1","1","1","3","最優秀的"
"0","2","1","10","1","1","1","3","橫掃千軍的"
"0","2","1","11","1","1","1","3","獨一無二的"
"0","2","1","12","1","1","1","3","天下無雙的"
"0","2","1","13","1","0","1","3","泰然自若的"
"0","2","1","14","1","0","1","3","極度的"
"0","2","1","15","1","0","1","3","Light Speed"
"0","2","1","16","1","0","1","3","稀世的"
"0","2","1","17","1","0","1","3","極限的"
"0","2","1","18","1","0","1","3","至高的"
"0","2","1","19","1","0","1","3","閃耀的"
"0","2","1","20","1","0","1","3","千錘百鍊的"
"0","2","1","21","1","0","1","3","疾風迅雷的"
"0","2","1","22","1","0","1","3","電光石火的"
"0","2","1","23","0","1","1","3","變化自如的"
"0","2","1","24","0","1","1","3","空前絕後的"
"0","2","1","25","0","1","1","3","代表性的"
"0","2","1","26","0","1","1","3","音速的"
"0","2","1","27","0","1","1","3","超乎常理的"
"0","2","1","28","0","1","1","3","勇猛奮鬥的"
"2","2","1","29","0","1","1","3","勇猛果敢的"
"2","2","1","30","0","1","1","3","威風凜凜的"
"0","2","1","31","0","1","1","3","欲速則不達的"
"0","2","1","32","0","1","1","3","心態良好的"
"0","2","1","33","0","0","1","3","夢想的"
"0","2","1","34","0","0","1","3","佳的"
"0","2","1","35","0","0","1","3","一般般的"
"2","2","1","36","0","0","1","3","新手標記的"
"0","2","1","37","0","0","1","3","有未來的"
"0","2","1","38","0","0","1","3","新手的"
"0","2","1","39","0","0","1","3","初出茅廬的"
"0","2","1","40","0","0","1","3","慢慢的"
"0","2","1","41","0","0","1","3","新銳的"
"0","2","1","42","0","0","1","3","不屈不撓的"
"0","2","1","43","0","0","1","3","百折不撓的"
"0","2","1","44","0","0","1","3","努力的"
"0","2","2","45","1","1","1","3","被選中的"
"2","2","2","46","1","1","1","3","極限的"
"1","2","2","47","1","1","1","3","海藍色的"
